Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,Vel,10thVel,90thVel,MxVel,VelRange,HorzBrk,VertBrk,IndVertBrk,Spin,MxSpin,RelX,RelZ,Extension,EffectVel,HorzRelAngle,VertRelAngle,PlateVel,HorzApprAngle,VertApprAngle,PVX,PVZ
365,1212300033,N. George,Nolan George,George,Nolan,P,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,21,1049,84.9,75.5,91.2,93.7,15.7,0.4,-30.7,8.5,2170.7,2540.6,-15.2,73.0,6.19,84.8,-1.48,-1.10,77.9,-1.40,-6.80,2.7,-13.3
366,1292598272,S. Murchison,Sam Murchison,Murchison,Sam,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,15,1351,84.9,77.2,91.0,93.1,13.8,11.3,-26.1,13.9,2149.2,2544.7,-13.6,72.6,5.76,84.1,-2.20,-1.37,77.0,-0.18,-6.24,0.2,-12.1
367,1184281600,R. Brooks,Ryder Brooks,Brooks,Ryder,P,UC Irvine,UCI,3031,UC Irvine,BBC,L,L,20,1144,84.9,80.8,89.0,91.7,8.1,-7.4,-37.4,1.6,2302.1,2670.0,39.4,56.9,6.21,85.0,4.21,0.71,76.9,2.86,-6.25,-5.4,-12.4
368,1332929792,J. McCracken,J.D. McCracken,McCracken,J.D.,P,Rice University,RICE,2352,Rice,BBC,L,L,16,1158,84.9,79.9,89.0,92.2,9.1,-13.0,-33.0,7.9,2005.0,2463.7,20.1,74.2,5.10,82.8,2.83,-1.09,76.8,0.53,-7.12,-0.9,-14.0
369,1313846272,D. Lavelle,Declan Lavelle,Lavelle,Declan,P,Elon University,ELON,730252544,Elon,BBC,R,R,15,1253,84.9,76.8,90.2,92.9,13.4,1.1,-28.2,11.2,2278.7,2576.5,-10.9,70.8,6.09,84.4,-1.31,-1.27,77.1,-1.10,-6.52,2.1,-12.7
370,1125104128,G. Garcia Jr.,Guillermo Garcia Jr.,Garcia Jr.,Guillermo,P,Longwood University,LONG,730219264,Longwood,BBC,R,R,13,1281,84.9,79.5,91.5,93.9,12.1,0.4,-30.0,10.7,2451.7,3032.6,-15.3,73.7,5.12,83.0,-1.58,-1.53,77.4,-1.50,-7.02,2.8,-13.8
371,1692575936,L. Glidewell,Lyndon Glidewell,Glidewell,Lyndon,P,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,14,1237,84.9,79.1,90.1,92.1,11.0,13.7,-32.4,7.5,2149.1,2681.5,-26.8,66.5,5.62,84.0,-3.54,-0.45,77.1,-1.09,-6.44,2.0,-12.6
372,1169302528,G. Grinsell,Grayson Grinsell,Grinsell,Grayson,P,University of Oregon,ORE,4807,Oregon,BBC,L,L,16,1586,84.9,78.0,90.0,91.9,12.0,-10.6,-24.4,14.6,2030.6,3242.5,8.0,67.4,6.30,84.9,1.67,-1.47,77.2,-0.25,-6.08,0.6,-11.8
373,1282555136,P. Gardner,Patrick Gardner,Gardner,Patrick,P,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,L,L,15,1250,84.8,79.9,89.4,91.9,9.5,-10.5,-32.4,7.6,2220.5,2591.4,34.6,58.1,5.64,83.8,3.83,-0.06,76.8,1.95,-6.07,-3.6,-11.9
374,1564722927,A. Sparks,Alec Sparks,Sparks,Alec,P,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,12,1122,84.8,77.5,90.0,93.0,12.5,1.5,-27.9,11.1,2267.0,2737.6,-18.8,77.3,6.07,84.4,-1.72,-1.95,78.2,-1.45,-7.11,2.8,-14.1
375,1056444835,M. Smith,Mason Smith,Smith,Mason,P,Campbell University,CAMP,730187776,Campbell,BBC,R,R,14,1050,84.8,80.4,90.1,92.4,9.6,10.6,-31.1,9.3,1953.8,2525.7,-20.0,68.7,5.52,83.2,-2.71,-0.96,76.7,-0.82,-6.71,1.4,-13.1
376,1212105985,C. Van Assen,Cole Van Assen,Van Assen,Cole,P,Purdue University,PUR,730353152,Purdue,BBC,R,R,15,1037,84.8,78.9,89.3,90.7,10.5,11.4,-36.3,4.6,1958.5,2190.5,-19.8,66.7,4.99,82.8,-2.68,-0.69,77.3,-0.67,-7.29,1.1,-14.4
377,1334314752,A. Brouwer,Adam Brouwer,Brouwer,Adam,P,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,13,1111,84.8,76.9,91.4,94.2,14.5,0.2,-33.4,7.5,2156.2,2662.7,-17.7,69.6,5.27,83.2,-1.86,-0.72,77.0,-1.82,-6.84,3.4,-13.3
378,1201053184,G. Braunecker,Gavin Braunecker,Braunecker,Gavin,P,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,L,L,15,1119,84.8,81.2,88.1,90.3,6.9,-11.4,-24.9,13.8,2022.4,2385.7,15.8,70.6,6.03,84.8,2.23,-1.67,77.4,0.17,-6.36,-0.2,-12.5
379,1307084033,R. Hall,Regan Hall,Hall,Regan,P,University of Illinois,ILL,730163456,Illinois,BBC,L,L,14,1056,84.8,77.8,90.0,91.3,12.2,-8.7,-35.3,4.9,2165.4,2737.4,21.8,62.0,5.54,83.6,2.85,-0.00,77.1,1.30,-6.49,-2.3,-12.7
380,1208166656,L. Harrison,Luke Harrison,Harrison,Luke,P,University of Texas,TEX,245,Texas,BBC,L,L,15,1151,84.8,78.0,91.2,93.8,13.2,-1.4,-32.9,6.5,2230.2,3165.2,33.8,65.5,6.00,84.3,2.85,-0.33,77.5,2.59,-6.44,-5.0,-12.7
381,1116320256,A. Sachais,Alec Sachais,Sachais,Alec,P,Villanova University,VILL,730278400,Villanova,BBC,R,R,21,882,84.8,79.6,90.6,94.0,11.0,-0.7,-32.8,7.1,2340.6,2697.0,-16.0,70.7,5.70,83.9,-1.58,-0.74,77.1,-1.70,-6.79,3.3,-13.3
