Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,InZone%,InZoneMdl%,Swing%,Miss%,Chase%,CallStrk%,SwStrk%,CompLoc%,NonCompLoc%
130,1195546880,C. Diggins,Chase Diggins,Diggins,Chase,2B,University of Kansas,KU,730360064,Kansas,BBC,R,R,13,347,1328,46.6%,48.6%,44.9%,23.2%,25.0%,30.3%,10.4%,80.6%,19.4%
131,1258110976,R. Highfill,Ross Highfill,Highfill,Ross,C,Mississippi State University,MSST,5080,Mississippi State,BBC,R,R,32,946,3747,47.8%,48.6%,44.7%,33.8%,26.0%,33.6%,15.1%,79.4%,20.6%
132,1162501632,L. Vaughan,Logan Vaughan,Vaughan,Logan,C,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,S,R,36,1150,4182,53.6%,48.6%,45.1%,20.5%,18.4%,29.5%,9.3%,78.2%,21.8%
133,1251443200,A. Calarco,Alex Calarco,Calarco,Alex,C,University of Maryland-College Park,MD,730172928,Maryland,BBC,S,R,54,2185,8167,46.2%,48.6%,43.9%,23.8%,24.0%,29.3%,10.5%,78.8%,21.2%
134,1207773440,G. Jay,Grant Jay,Jay,Grant,C,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,41,1488,5609,45.7%,48.6%,44.4%,26.9%,27.0%,33.2%,11.9%,79.7%,20.3%
135,1336547840,M. Zelenka,Martin Zelenka,Zelenka,Martin,C,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,15,425,1589,47.0%,48.5%,43.5%,22.7%,22.1%,29.2%,9.9%,79.3%,20.7%
136,1137358080,J. Maroney,Jake Maroney,Maroney,Jake,C,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,46,1653,5868,53.0%,48.5%,44.1%,20.4%,19.2%,32.6%,9.0%,78.0%,22.0%
137,1207804160,S. McGahan,Shea McGahan,McGahan,Shea,C,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,39,1418,4965,45.8%,48.5%,47.2%,22.9%,29.1%,33.5%,10.8%,79.7%,20.3%
138,1056312556,Z. Thompson,Zack Thompson,Thompson,Zack,C,Mercer University,MER,730240512,Mercer,BBC,R,R,53,1830,6774,45.2%,48.5%,44.2%,22.4%,26.3%,33.3%,9.9%,79.3%,20.7%
139,1179735808,W. Jesske,Will Jesske,Jesske,Will,C,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,32,883,3382,46.1%,48.5%,43.9%,23.6%,25.0%,31.6%,10.4%,79.3%,20.7%
140,1176013056,Q. Ahearn,Qwynn Ahearn,Ahearn,Qwynn,C,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,26,885,3360,46.0%,48.5%,44.5%,25.8%,26.6%,31.4%,11.5%,78.1%,21.9%
141,1341412096,C. Kleinman,Casey Kleinman,Kleinman,Casey,SS,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,8,325,1222,46.4%,48.5%,41.0%,22.0%,21.8%,31.8%,9.0%,78.6%,21.4%
142,1342168600,N. Beasley,Nikhil Beasley,Beasley,Nikhil,C,Sacramento State University,SAC,730293760,Sacramento State,BBC,R,R,18,543,2002,46.7%,48.5%,46.7%,24.7%,27.6%,32.6%,11.5%,78.3%,21.7%
143,1134142464,J. Nielsen,Jack Nielsen,Nielsen,Jack,C,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,17,538,1954,47.3%,48.4%,45.0%,24.7%,24.9%,33.8%,11.1%,79.4%,20.6%
144,1075324928,J. Fogel,Justin Fogel,Fogel,Justin,LF,University of Memphis,MEM,730172160,Memphis,BBC,L,R,16,573,2198,44.7%,48.4%,41.1%,21.8%,23.9%,30.5%,9.0%,78.9%,21.1%
145,1018032643,A. Wright,Aydin Wright,Wright,Aydin,C,Central Michigan University,CMU,5342,Central Michigan,BBC,R,R,38,1544,5725,45.8%,48.4%,42.7%,19.0%,22.8%,30.0%,8.1%,77.8%,22.2%
146,1211099136,C. Saum,Charlie Saum,Saum,Charlie,C,Stanford University,STAN,730251264,Stanford,BBC,R,R,39,1473,5658,45.3%,48.4%,45.6%,26.4%,27.4%,29.7%,12.0%,79.3%,20.7%
147,1324713472,A. Gonzalez,Anthony Gonzalez,Gonzalez,Anthony,C,Stetson University,STET,730261504,Stetson,BBC,R,R,16,339,1305,48.0%,48.4%,44.3%,21.1%,23.0%,30.0%,9.4%,78.8%,21.2%
148,1257351424,L. Bard,Luke Bard,Bard,Luke,C,Houston Christian University,HCU,730157824,Houston Christian,BBC,R,R,35,1336,4704,51.3%,48.4%,47.1%,20.1%,22.6%,31.5%,9.4%,78.3%,21.7%
