Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,InZone%,InZoneMdl%,Swing%,Miss%,Chase%,CallStrk%,SwStrk%,CompLoc%,NonCompLoc%
386,1232548330,Z. Buchan,Zander Buchan,Buchan,Zander,C,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,S,R,15,430,1614,44.7%,46.4%,40.8%,23.3%,22.4%,27.0%,9.5%,77.7%,22.3%
387,1294963456,L. Heyman,Luke Heyman,Heyman,Luke,C,University of Florida,FLA,730168320,Florida,BBC,R,R,45,1605,6519,43.8%,46.4%,43.1%,29.9%,26.0%,33.0%,12.9%,77.4%,22.6%
388,1160909824,E. Sipe,Evan Sipe,Sipe,Evan,C,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,40,1600,6275,47.0%,46.4%,42.0%,22.7%,23.3%,32.1%,9.5%,78.0%,22.0%
389,1155635456,W. Weber,Wilson Weber,Weber,Wilson,C,Oregon State University,ORST,3111,Oregon State,BBC,R,R,63,2254,8971,45.3%,46.4%,43.5%,28.4%,25.7%,31.9%,12.4%,78.3%,21.7%
390,1473478008,N. Zajac,Nolan Zajac,Zajac,Nolan,C,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,12,314,1173,54.5%,46.4%,42.8%,20.4%,18.0%,31.4%,8.7%,78.2%,21.8%
391,1387215374,W. Robbins,Will Robbins,Robbins,Will,C,Princeton University,PRIN,730198784,Princeton,BBC,R,R,8,230,851,44.0%,46.4%,41.1%,20.6%,18.6%,26.5%,8.5%,74.0%,26.0%
392,1162307584,C. Romich,Cooper Romich,Romich,Cooper,C,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,28,1028,3211,55.6%,46.4%,43.9%,18.4%,14.8%,30.3%,8.1%,76.3%,23.7%
393,1758840332,J. Natili,Jack Natili,Natili,Jack,C,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,51,1853,7051,42.1%,46.4%,44.1%,23.7%,26.3%,31.3%,10.4%,76.3%,23.7%
394,1152890880,D. ONeill,Dean O'Neill,ONeill,Dean,C,University of Maine,ME,730275840,Maine,BBC,R,R,43,1588,5891,48.2%,46.3%,42.8%,21.3%,21.5%,31.0%,9.1%,77.5%,22.5%
395,1215125760,Z. Casebonne,Zackarie Casebonne,Casebonne,Zackarie,C,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,28,1112,4280,47.0%,46.3%,42.7%,22.0%,21.3%,30.4%,9.4%,75.7%,24.3%
396,1297336320,E. Kligman,Elie Kligman,Kligman,Elie,C,Sacramento State University,SAC,730293760,Sacramento State,BBC,S,R,25,849,3115,42.7%,46.3%,43.3%,21.7%,25.6%,31.9%,9.4%,76.6%,23.4%
397,1153422080,B. Walmsley,Brett Walmsley,Walmsley,Brett,C,University of Delaware,DEL,730203136,Delaware,BBC,R,R,21,757,2843,43.4%,46.3%,44.2%,27.8%,28.0%,31.7%,12.3%,77.8%,22.2%
398,1083615488,I. Daugherty,Ian Daugherty,Daugherty,Ian,C,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,R,44,1577,6163,44.4%,46.3%,44.7%,28.3%,26.9%,32.0%,12.6%,78.2%,21.8%
399,1330788352,R. Becker,Ryan Becker,Becker,Ryan,C,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,24,635,2382,43.8%,46.3%,39.7%,17.5%,20.4%,31.5%,7.0%,77.2%,22.8%
400,1116118528,M. Gonzalez,Matt Gonzalez,Gonzalez,Matt,C,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,9,308,1216,48.3%,46.3%,43.2%,26.5%,20.3%,27.6%,11.4%,77.8%,22.3%
401,1287356160,R. Bakes,Ryan Bakes,Bakes,Ryan,C,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,14,262,984,43.0%,46.3%,42.1%,28.5%,22.5%,28.6%,12.0%,78.8%,21.2%
402,1233740800,B. Whitacre,Brady Whitacre,Whitacre,Brady,C,Radford University,RAD,730267392,Radford,BBC,R,R,20,633,2315,43.2%,46.3%,41.8%,22.1%,21.4%,27.6%,9.2%,75.0%,25.0%
403,1872942440,L. Gregorio,Logan Gregorio,Gregorio,Logan,LF,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,L,R,28,1050,4055,43.8%,46.3%,42.4%,23.6%,24.6%,31.2%,10.0%,75.9%,24.1%
404,1342167005,X. Rios,Xavier Rios,Rios,Xavier,C,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,31,999,3728,42.4%,46.3%,41.7%,22.9%,24.7%,31.7%,9.5%,77.3%,22.7%
405,1134316032,J. Lind,Jackson Lind,Lind,Jackson,C,Seattle University,SEA,4504,Seattle,BBC,L,R,22,808,2867,44.2%,46.3%,42.7%,16.2%,22.8%,30.2%,6.9%,75.6%,24.4%
406,1262664192,K. Milewski,Kevin Milewsky,Milewski,Kevin,C,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,29,1206,4643,44.6%,46.3%,42.7%,19.9%,22.7%,29.3%,8.5%,76.7%,23.3%
407,1235364864,S. Britt,Sean Britt,Britt,Sean,C,St. John's University (NY),SJU,4285,St. John's,BBC,L,R,22,850,3212,43.0%,46.3%,40.7%,21.7%,21.2%,27.5%,8.8%,74.7%,25.3%
408,1243724032,R. Lee,Ryan Lee,Lee,Ryan,C,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,11,454,1671,50.1%,46.3%,43.1%,20.6%,16.9%,30.2%,8.9%,76.6%,23.4%
409,1334289408,C. Akers,Chris Akers,Akers,Chris,C,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,35,1123,4223,52.3%,46.3%,41.9%,19.4%,16.7%,31.3%,8.1%,77.4%,22.6%
410,1077600000,J. Hernandez,Jedier Hernandez,Hernandez,Jedier,C,University of Missouri,MIZZ,4806,Missouri,BBC,R,R,30,1163,4499,43.0%,46.2%,42.0%,24.5%,24.5%,30.7%,10.3%,75.6%,24.4%
411,1257344000,K. Carston,Koen Carston,Carston,Koen,C,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,12,341,1315,43.3%,46.2%,41.8%,22.5%,24.9%,29.8%,9.4%,76.4%,23.6%
412,1334075392,D. Bicknell,Drake Bicknell,Bicknell,Drake,C,University of the Pacific,PAC,730386944,Pacific,BBC,R,R,25,912,3382,48.8%,46.2%,43.7%,23.8%,18.7%,28.9%,10.4%,76.5%,23.5%
413,1281877760,K. Willis,Kaleb Willis,Willis,Kaleb,C,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,12,445,1718,42.8%,46.2%,39.4%,22.2%,22.9%,31.3%,8.7%,75.4%,24.6%
414,1198516992,B. Shevey,Boone Shevey,Shevey,Boone,C,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,S,R,12,335,1340,47.2%,46.2%,43.6%,19.5%,22.2%,26.1%,8.5%,78.1%,21.9%
415,1601928520,J. Golden,Jackson Golden,Golden,Jackson,C,Marshall University,MRSH,730333696,Marshall,BBC,R,R,19,443,1693,45.7%,46.2%,43.7%,24.4%,25.8%,30.2%,10.6%,78.2%,21.8%
416,1369787182,G. Arnold,Garrett Arnold,Arnold,Garrett,C,Ball State University,BALL,730195456,Ball State,BBC,R,R,44,1544,6055,49.9%,46.2%,41.7%,23.6%,19.3%,30.6%,9.8%,77.2%,22.8%
417,1257568210,G. Caban,Gregory Caban,Caban,Gregory,C,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,L,R,35,1216,4582,43.5%,46.2%,42.4%,22.3%,23.7%,28.2%,9.5%,76.7%,23.3%
418,1132728576,M. Graveline,Matthew Graveline,Graveline,Matthew,LF,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,19,827,3123,43.5%,46.1%,40.5%,22.0%,21.8%,28.7%,8.9%,76.5%,23.5%
419,1342167432,R. Schuerman,Rece Schuerman,Schuerman,Rece,C,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,37,1130,4455,45.7%,46.1%,42.1%,24.4%,22.8%,30.5%,10.3%,76.9%,23.1%
420,1100871936,R. MacDougall,Ryan MacDougall,MacDougall,Ryan,C,University of Dayton,DAY,730194688,Dayton,BBC,L,R,29,1174,4465,46.2%,46.1%,42.1%,24.3%,21.5%,30.3%,10.2%,75.9%,24.1%
421,1142436096,D. Burkes,Devin Burkes,Burkes,Devin,C,University of Kentucky,UK,5362,Kentucky,BBC,R,R,43,1589,6270,42.5%,46.1%,42.5%,26.2%,26.4%,32.2%,11.1%,78.6%,21.4%
422,1121807616,C. Blanchard,Colin Blanchard,Blanchard,Colin,C,University of Washington,WASH,3110,Washington,BBC,L,R,18,598,2378,47.5%,46.1%,41.5%,30.0%,20.3%,30.1%,12.5%,76.7%,23.3%
423,1162140416,B. Shealor,Bennett Shealor,Shealor,Bennett,C,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,31,695,2701,46.2%,46.1%,40.1%,24.0%,21.3%,30.1%,9.6%,75.2%,24.8%
424,1625677173,C. Martin,Cade Martin,Martin,Cade,C,Little Rock,UALR,730217472,Little Rock,BBC,R,R,49,1935,7515,49.4%,46.1%,42.4%,22.2%,19.9%,29.4%,9.4%,76.2%,23.8%
425,1245882880,K. Cottam,Keaton Cottam,Cottam,Keaton,C,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,22,765,2816,42.7%,46.1%,43.9%,24.9%,25.7%,30.8%,10.9%,76.4%,23.6%
426,1172422144,J. Thompson,Jackson Thompson,Thompson,Jackson,C,Campbell University,CAMP,730187776,Campbell,BBC,R,R,27,1061,4288,44.7%,46.1%,41.9%,25.2%,23.4%,29.9%,10.6%,78.5%,21.5%
427,1342169117,Z. Crandall,Zach Crandall,Crandall,Zach,C,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,18,597,2316,50.9%,46.1%,41.1%,25.2%,20.0%,32.9%,10.4%,79.8%,20.2%
428,1099315968,X. Ulrich,Xavier Ulrich,Ulrich,Xavier,C,Wagner College,WAG,730192640,Wagner,BBC,R,R,40,1428,4153,52.5%,46.1%,44.3%,14.6%,18.3%,27.3%,6.5%,76.7%,23.3%
429,1152915968,B. Balsz,Blake Balsz,Balsz,Blake,C,UCLA,UCLA,5048,UCLA,BBC,L,R,17,614,2397,44.2%,46.1%,41.2%,22.6%,21.6%,29.4%,9.3%,77.0%,23.0%
430,1342168145,N. Snakenborg,Nate Snakenborg,Snakenborg,Nate,C,University of Nevada,NEV,4784,Nevada,BBC,R,R,11,342,1206,43.8%,46.1%,44.1%,24.7%,24.7%,29.7%,10.9%,75.6%,24.4%
431,1305030656,J. Sutton,Jonah Sutton,Sutton,Jonah,C,University of Memphis,MEM,730172160,Memphis,BBC,R,R,40,1539,6009,42.3%,46.0%,41.3%,23.3%,24.0%,31.8%,9.6%,76.8%,23.2%
432,1196846336,T. McAndrews,Tommy McAndrews,McAndrews,Tommy,C,Fordham University,FOR,730324992,Fordham,BBC,R,R,40,1663,6125,46.6%,46.0%,43.0%,20.5%,23.1%,31.0%,8.8%,75.8%,24.2%
433,1196803072,L. Poteet,Logan Poteet,Poteet,Logan,C,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,48,1780,6831,43.9%,46.0%,45.7%,29.0%,29.3%,34.1%,13.3%,77.8%,22.2%
434,1084685312,J. Melendez,Jayden Melendez,Melendez,Jayden,C,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,29,1180,4486,44.1%,46.0%,42.3%,23.6%,23.4%,30.5%,10.0%,77.3%,22.7%
435,1086062848,J. Collura,Jaden Collura,Collura,Jaden,C,Nicholls State University,NICH,730284032,Nicholls State,BBC,L,R,21,858,3375,44.1%,46.0%,39.5%,20.9%,21.1%,28.7%,8.2%,76.3%,23.7%
436,1257423872,P. Goff,Parker Goff,Goff,Parker,C,Brigham Young University,BYU,730257152,BYU,BBC,R,R,45,1828,6898,42.9%,46.0%,43.7%,22.5%,25.1%,28.8%,9.8%,77.1%,22.9%
437,1255842560,A. Birge,Alex Birge,Birge,Alex,C,University of California,CAL,730152448,California,BBC,L,R,41,1517,5900,42.7%,46.0%,42.3%,26.2%,24.9%,29.7%,11.1%,76.9%,23.1%
438,1527324490,N. Biddle,Nick Biddle,Biddle,Nick,C,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,34,1225,4540,43.4%,46.0%,40.3%,18.2%,19.9%,27.9%,7.3%,76.4%,23.6%
439,1297587968,J. West,Jaxson West,West,Jaxson,C,Florida State University,FSU,101,Florida State,BBC,L,R,21,753,2964,41.4%,46.0%,41.2%,31.3%,26.7%,31.0%,12.9%,77.2%,22.8%
440,1117733376,R. Butler,Rob Butler,Butler,Rob,C,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,30,1141,4189,44.8%,46.0%,42.4%,18.4%,23.3%,29.6%,7.8%,77.5%,22.5%
441,1304736512,T. Cassidy,Trae Cassidy,Cassidy,Trae,1B,Ohio University,OHIO,730298368,Ohio,BBC,L,R,12,537,1910,54.2%,45.9%,40.7%,18.9%,13.8%,28.9%,7.7%,75.6%,24.4%
442,1336247040,N. Toro,Nicholas Toro,Toro,Nicholas,C,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,29,944,3556,44.5%,45.9%,42.9%,23.3%,24.9%,31.4%,10.0%,78.2%,21.8%
443,1132962304,L. Iverson,Luke Iverson,Iverson,Luke,RF,Utah Valley University,UVU,730263552,Utah Valley,BBC,S,R,12,489,1797,47.6%,45.9%,44.9%,23.4%,24.4%,32.5%,10.5%,76.7%,23.3%
444,1311965184,B. Roney,Brendan Roney,Roney,Brendan,C,Florida International University,FIU,4468,Florida International,BBC,R,R,39,1426,5703,42.9%,45.9%,40.8%,25.9%,24.3%,30.4%,10.6%,76.5%,23.5%
445,1972031807,T. Freeny,Tariq Freeny,Freeny,Tariq,C,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,28,1121,4167,43.5%,45.9%,42.1%,22.2%,23.6%,30.8%,9.4%,76.6%,23.4%
446,1064756010,M. Hersh,Marc Hersh,Hersh,Marc,C,Florida International University,FIU,4468,Florida International,BBC,R,R,15,389,1464,43.4%,45.9%,41.3%,26.0%,23.6%,28.0%,10.7%,75.4%,24.6%
447,1263747328,B. Kleiman,Brendan Kleiman,Kleiman,Brendan,C,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,29,1199,4596,48.1%,45.9%,41.9%,24.4%,19.8%,28.1%,10.2%,77.3%,22.7%
448,1801471405,H. Sute,Hunter Sute,Sute,Hunter,C,Manhattan College,MAN,730363648,Manhattan,BBC,L,R,20,605,2166,48.2%,45.9%,41.2%,21.3%,20.0%,31.6%,8.8%,74.9%,25.1%
449,1135899136,Z. Munton,Zach Munton,Munton,Zach,C,Butler University,BUT,730283520,Butler,BBC,L,R,26,688,2579,46.9%,45.9%,40.5%,16.1%,17.1%,26.0%,6.5%,73.7%,26.3%
450,1683790219,C. Papetti,Cameron Papetti,Papetti,Cameron,C,Bryant University,BRY,730266880,Bryant,BBC,R,R,28,1043,3970,45.2%,45.9%,43.6%,28.9%,25.3%,32.6%,12.6%,74.5%,25.5%
451,1096254976,J. Barnes,Jerry Barnes III,Barnes,Jerry,C,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,38,1418,5363,44.1%,45.9%,42.4%,25.7%,23.2%,28.9%,10.9%,76.6%,23.4%
452,1655382171,C. Sackett,Connor Sackett,Sackett,Connor,C,Butler University,BUT,730283520,Butler,BBC,R,R,28,1001,3490,44.2%,45.9%,41.6%,19.1%,20.8%,26.4%,8.0%,76.2%,23.8%
453,1342167868,S. Esposito,Scott Esposito,Esposito,Scott,C,Marist College,MRST,730374656,Marist,BBC,R,R,35,1372,5109,52.8%,45.9%,42.2%,21.3%,15.6%,29.2%,9.0%,76.2%,23.8%
454,1092700416,L. Godsey,Landon Godsey,Godsey,Landon,1B,Belmont University,BEL,730190336,Belmont,BBC,R,R,15,479,1898,42.6%,45.9%,39.9%,22.8%,21.0%,31.1%,9.1%,77.5%,22.5%
455,1092663040,C. Bergman,Carter Bergman,Bergman,Carter,C,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,48,1751,6605,44.6%,45.9%,43.2%,25.4%,24.9%,32.7%,11.0%,77.2%,22.8%
456,1097725952,M. McCommons,Mac McCommons,McCommons,Mac,C,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,11,272,967,40.3%,45.9%,43.5%,17.8%,24.8%,27.1%,7.8%,75.4%,24.6%
457,1934740630,J. Martinez,Jeremy Martinez,Martinez,Jeremy,C,Indiana State University,INST,730350080,Indiana State,BBC,R,R,46,1753,6127,43.7%,45.9%,44.0%,22.1%,23.7%,28.5%,9.7%,77.6%,22.4%
458,1236373248,C. Meggers,Chase Meggers,Meggers,Chase,C,University of Oregon,ORE,4807,Oregon,BBC,L,R,26,772,3058,42.9%,45.9%,41.0%,25.1%,24.2%,29.1%,10.3%,78.5%,21.5%
459,1153320448,B. Sylvester,Beau Sylvester,Sylvester,Beau,C,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,R,13,502,2014,44.6%,45.8%,45.6%,25.2%,24.6%,28.2%,11.5%,78.1%,21.9%
460,1874971185,E. Wainwright,Eric Wainwright,Wainwright,Eric,C,University of Maine,ME,730275840,Maine,BBC,R,R,11,335,1230,50.6%,45.8%,42.6%,25.8%,18.1%,31.2%,11.0%,77.6%,22.4%
461,1743237802,C. Bowling,Chet Bowling,Bowling,Chet,C,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,18,375,1384,41.6%,45.8%,43.6%,22.7%,24.4%,31.2%,9.9%,75.0%,25.0%
462,1734597370,D. Rogers,Drew Rogers,Rogers,Drew,C,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,18,468,1768,43.0%,45.8%,41.3%,26.3%,24.2%,31.9%,10.9%,76.9%,23.1%
463,1666779509,M. Houston,Matt Houston,Houston,Matt,C,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,R,R,13,458,1736,45.0%,45.8%,43.0%,30.7%,27.0%,35.3%,13.2%,77.5%,22.5%
464,1019713603,T. Koch,Tommy Koch,Koch,Tommy,C,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,41,1677,5639,50.6%,45.8%,44.4%,17.2%,15.8%,28.1%,7.6%,76.4%,23.6%
465,1150232064,R. Ayers,Robbie Ayers,Ayers,Robbie,C,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,45,1728,6819,44.4%,45.8%,41.2%,23.9%,22.6%,31.1%,9.8%,77.7%,22.3%
466,1097842176,K. Cincinnati,Kyle Cincinnati,Cincinnati,Kyle,C,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,30,936,3173,48.4%,45.8%,41.0%,21.0%,17.8%,28.1%,8.6%,75.3%,24.7%
467,1302422799,D. McGowan,Drew McGowan,McGowan,Drew,C,Marist College,MRST,730374656,Marist,BBC,L,R,13,299,1102,57.2%,45.8%,41.7%,16.2%,12.9%,30.5%,6.7%,74.7%,25.3%
468,1196788992,H. Perry,Hayden Perry,Perry,Hayden,C,Samford University,SAM,730386432,Samford,BBC,R,R,22,683,2609,45.0%,45.8%,41.5%,26.4%,23.2%,32.0%,10.9%,78.3%,21.7%
469,1512159905,C. Horneman,Colin Horneman,Horneman,Colin,C,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,12,283,1075,48.9%,45.8%,44.5%,20.3%,22.5%,30.4%,9.0%,77.5%,22.5%
470,1293680384,K. Morisaki,Kanoa Morisaki,Morisaki,Kanoa,TWP,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,S,R,22,598,2137,48.2%,45.8%,45.0%,21.1%,23.5%,30.9%,9.5%,75.7%,24.3%
471,1451114555,E. Taveras,Evan Taveras,Taveras,Evan,C,University of Miami,MIA,236,Miami,BBC,R,R,15,358,1398,43.3%,45.8%,42.9%,25.8%,28.6%,30.6%,11.1%,78.9%,21.1%
472,1222218338,C. Griggs,CJ Griggs,Griggs,CJ,C,Hofstra University,HOF,730245120,Hofstra,BBC,L,R,13,393,1475,44.7%,45.8%,38.1%,19.8%,17.8%,29.8%,7.5%,75.1%,24.9%
473,1153311232,D. Wyatt,Danny Wyatt,Wyatt,Danny,3B,UMBC,UMBC,730210304,UMBC,BBC,R,R,13,431,1545,48.6%,45.7%,42.4%,18.9%,20.6%,31.3%,8.0%,76.0%,24.0%
474,1563218164,W. Brooks,Will Brooks,Brooks,Will,C,Davidson College,DAV,730363136,Davidson,BBC,R,R,24,744,2816,42.7%,45.7%,41.5%,23.8%,22.4%,27.3%,9.9%,76.2%,23.8%
475,1142070272,R. Lavey,Robbie Lavey,Lavey,Robbie,C,George Washington University,GW,730249216,George Washington,BBC,L,R,27,1048,4017,42.8%,45.7%,41.1%,20.6%,22.5%,29.0%,8.5%,76.2%,23.8%
476,1100780800,J. Kuczik,JP Kuczik,Kuczik,JP,C,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,42,1553,5571,52.0%,45.7%,43.7%,21.2%,19.2%,31.1%,9.3%,77.1%,22.9%
477,1342167036,M. Howell,Martin Howell,Howell,Martin,C,University of Dayton,DAY,730194688,Dayton,BBC,R,R,27,1106,4204,45.6%,45.7%,41.0%,22.6%,19.3%,31.6%,9.2%,75.9%,24.1%
478,1330454017,N. Jouras,Noah Jouras,Jouras,Noah,C,Davidson College,DAV,730363136,Davidson,BBC,R,R,41,1554,5947,43.7%,45.7%,41.4%,23.4%,23.3%,30.4%,9.7%,76.0%,24.0%
479,1727942641,S. Alvarez,Salvador Alvarez,Alvarez,Salvador,C,Stetson University,STET,730261504,Stetson,BBC,R,R,42,1179,4582,44.3%,45.7%,43.8%,28.0%,26.4%,31.6%,12.3%,76.2%,23.8%
480,1142594304,H. Thomas,Hunter Thomas,Thomas,Hunter,C,Morehead State University,MORE,730158080,Morehead State,BBC,R,R,32,1441,5139,45.6%,45.7%,40.7%,20.5%,19.7%,28.9%,8.4%,75.0%,25.0%
481,1232301313,J. Torres,Jose Torres,Torres,Jose,C,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,57,2072,7820,43.7%,45.7%,43.3%,23.9%,27.2%,32.2%,10.3%,77.6%,22.4%
482,1114233856,O. Walewander,Owen Walewander,Walewander,Owen,C,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,37,1395,5355,43.8%,45.7%,39.3%,22.3%,21.1%,31.2%,8.8%,75.0%,25.0%
483,1269593088,A. Cordeiro,Antonio Cordeiro,Cordeiro,Antonio,C,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,40,1562,5605,50.5%,45.7%,42.6%,19.9%,18.0%,30.4%,8.5%,74.9%,25.1%
484,1279921049,A. Ludeiro,Alejandro Ludeiro,Ludeiro,Alejandro,C,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,14,542,1980,43.7%,45.7%,41.7%,20.5%,23.8%,27.1%,8.5%,77.7%,22.3%
485,1310352640,R. Gonzalez,Rudy Gonzalez,Gonzalez,Rudy,C,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,15,360,1299,44.3%,45.7%,44.2%,24.0%,27.6%,32.1%,10.6%,73.0%,27.0%
486,1310976000,I. Collier,Ian Collier,Collier,Ian,C,Texas State University,TXST,5420,Texas State,BBC,R,R,23,860,3247,43.5%,45.7%,42.0%,25.1%,25.0%,29.5%,10.5%,76.2%,23.8%
487,1513501382,C. Norton,Cade Norton,Norton,Cade,C,Mercer University,MER,730240512,Mercer,BBC,R,R,22,463,1802,41.6%,45.7%,41.8%,25.8%,23.8%,30.7%,10.8%,78.3%,21.7%
488,1131893504,C. Kenny,Craig Kenny,Kenny,Craig,C,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,44,1782,6442,50.5%,45.7%,42.3%,20.6%,18.2%,31.0%,8.7%,76.1%,23.9%
489,1448402806,C. Sheridan,Caden Sheridan,Sheridan,Caden,C,Morehead State University,MORE,730158080,Morehead State,BBC,R,R,22,897,3289,43.5%,45.7%,40.3%,21.1%,19.1%,28.8%,8.5%,75.7%,24.3%
490,1332973312,A. Agresti,Adam Agresti,Agresti,Adam,C,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,35,1429,5496,43.0%,45.7%,40.5%,19.2%,21.0%,30.4%,7.8%,75.1%,24.9%
491,1982748681,H. Travis,Harrison Travis,Travis,Harrison,C,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,20,812,3137,44.6%,45.6%,41.7%,19.9%,21.2%,29.3%,8.3%,76.4%,23.6%
492,1900944940,M. Cooper,Mason Cooper,Cooper,Mason,C,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,32,1106,4240,51.1%,45.6%,40.9%,23.2%,18.1%,31.1%,9.5%,76.8%,23.2%
493,1338271232,M. Toth,Michael Toth,Toth,Michael,C,University of Massachusetts,MASS,5451,UMass,BBC,R,R,28,1111,4158,49.0%,45.6%,39.5%,19.4%,15.1%,28.5%,7.7%,75.0%,25.0%
494,1085382144,J. Current,Joey Current,Current,Joey,C,Towson University,TOWS,730318336,Towson,BBC,R,R,14,307,1008,42.4%,45.6%,40.5%,15.3%,20.5%,26.5%,6.2%,77.0%,23.0%
495,1035363112,S. Fontenot,Seth Fontenot,Fontenot,Seth,C,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,18,445,1717,44.4%,45.6%,44.9%,32.2%,27.1%,29.8%,14.4%,75.1%,24.9%
496,1268059418,N. Goodwin,Nic Goodwin,Goodwin,Nic,C,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,16,493,1845,46.3%,45.6%,37.5%,17.8%,19.0%,29.9%,6.7%,75.0%,25.0%
497,1508812349,R. Stockton,Rylen Stockton,Stockton,Rylen,C,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,38,1546,6020,46.4%,45.6%,40.6%,21.4%,22.7%,32.0%,8.7%,76.2%,23.8%
498,1328140544,A. Savage,Andrew Savage,Savage,Andrew,C,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,32,1122,4130,45.2%,45.6%,42.8%,20.5%,23.5%,31.6%,8.8%,75.2%,24.8%
499,1274288640,V. Lackey,Vahn Lackey,Lackey,Vahn,C,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,50,1831,6982,41.8%,45.6%,42.8%,27.1%,25.8%,30.7%,11.6%,76.2%,23.8%
500,1136410368,R. McCarthy,Riley McCarthy,McCarthy,Riley,C,University of Portland,PORT,730360320,Portland,BBC,R,R,22,827,3144,49.2%,45.6%,42.5%,22.0%,20.9%,31.6%,9.4%,77.6%,22.4%
501,1192564993,C. Hynek,Colin Hynek,Hynek,Colin,C,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,44,1698,6446,42.4%,45.5%,43.0%,24.4%,25.2%,29.7%,10.5%,76.0%,24.0%
502,1123968768,J. Lobliner,Jayden Lobliner,Lobliner,Jayden,C,University of San Diego,USD,5320,San Diego,BBC,R,R,48,1670,6567,43.5%,45.5%,42.3%,25.6%,23.2%,31.8%,10.8%,75.9%,24.1%
503,1162524416,A. Schuldt,Andrew Schuldt,Schuldt,Andrew,C,Campbell University,CAMP,730187776,Campbell,BBC,R,R,30,1115,4187,43.6%,45.5%,43.2%,27.4%,25.3%,31.4%,11.8%,77.6%,22.4%
504,1101444096,G. Bogdanchik,Gavin Bogdanchik,Bogdanchik,Gavin,C,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,19,472,1863,42.5%,45.5%,41.2%,22.4%,24.2%,29.6%,9.2%,77.8%,22.2%
