Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,4Seam%,Sink2Seam%,Cutter%,Slider%,Curve%,Change%,Split%,Sweeper%,Unknown%,FastSink%,Soft%,Break%
297,1349689556,R. Mealy,Ryan Mealy,Mealy,Ryan,P,Monmouth University,MONM,4164,Monmouth,BBC,R,R,15,292,985,51.3%,0.1%,0.4%,17.9%,1.7%,28.5%,0.0%,0.0%,6.3%,51.4%,48.2%,19.6%
298,1802268698,E. Sanchez,Edwin Sanchez,Sanchez,Edwin,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,L,L,17,355,1359,51.3%,0.0%,0.0%,5.9%,11.8%,31.0%,0.0%,0.0%,62.7%,51.3%,48.7%,17.8%
299,1181533440,J. Lamkin,Justin Lamkin,Lamkin,Justin,P,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,L,15,350,1346,51.3%,2.4%,0.1%,33.6%,0.1%,12.6%,0.0%,0.0%,0.1%,53.6%,46.2%,33.6%
300,1100455936,T. Charlton,Tyler Charlton,Charlton,Tyler,P,Missouri State University,MOSU,5382,Missouri State,BBC,L,L,16,260,1057,51.2%,0.0%,0.5%,20.3%,14.6%,13.5%,0.0%,0.0%,16.5%,51.2%,48.4%,34.9%
301,1273112064,D. Beckner,Drew Beckner,Beckner,Drew,P,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,L,L,15,372,1471,51.1%,1.0%,0.0%,15.5%,6.6%,25.7%,0.1%,0.0%,37.9%,52.1%,47.9%,22.1%
302,1090704384,J. Turner,Jacob Turner,Turner,Jacob,P,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,16,292,1038,50.9%,6.7%,0.0%,25.9%,3.0%,13.4%,0.0%,0.0%,48.4%,57.6%,42.4%,28.9%
303,1142994176,L. Peterson,Liam Peterson,Peterson,Liam,P,University of Florida,FLA,730168320,Florida,BBC,R,R,16,305,1262,50.9%,0.2%,0.2%,31.3%,4.6%,12.7%,0.0%,0.1%,0.5%,51.1%,48.7%,36.0%
304,1179432448,D. Delvecchio,Dylan Delvecchio,Delvecchio,Dylan,P,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,L,L,18,311,1173,50.8%,0.3%,0.0%,19.7%,3.7%,25.4%,0.0%,0.1%,0.0%,51.2%,48.8%,23.4%
305,1085418496,K. Remington,Kyle Remington,Remington,Kyle,P,University of Minnesota,MINN,4864,Minnesota,BBC,L,R,15,297,1024,50.8%,1.7%,6.0%,25.6%,0.0%,15.9%,0.0%,0.0%,0.2%,52.4%,41.6%,25.6%
306,1086409984,T. Bryan,Tyler Bryan,Bryan,Tyler,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,14,347,1262,50.6%,0.3%,0.0%,28.3%,12.8%,7.2%,0.9%,0.0%,11.5%,50.9%,49.1%,41.1%
307,1421915542,C. Torres,Chris Torres,Torres,Chris,P,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,L,17,369,1320,50.6%,0.0%,12.2%,25.7%,3.2%,7.9%,0.0%,0.5%,1.6%,50.6%,37.3%,29.4%
308,1473506994,G. Kirn,Griffin Kirn,Kirn,Griffin,P,West Virginia University,WVU,5327,West Virginia,BBC,L,L,18,420,1546,50.6%,9.1%,0.8%,25.0%,0.3%,13.2%,0.0%,1.0%,0.1%,59.7%,39.5%,26.3%
309,1230322309,D. Wright,Davis Wright,Wright,Davis,P,Western Carolina University,WCU,730278144,Western Carolina,BBC,L,L,15,383,1500,50.4%,0.9%,0.6%,11.6%,19.4%,17.0%,0.0%,0.0%,6.0%,51.3%,48.1%,31.1%
310,1162233600,C. Obermueller,Cade Obermueller,Obermueller,Cade,P,University of Iowa,IOWA,1232,Iowa,BBC,L,L,15,356,1432,50.4%,2.6%,0.0%,43.5%,0.0%,3.1%,0.3%,0.0%,0.0%,53.0%,47.0%,43.5%
311,1146369280,Z. Longshore,Zach Longshore,Longshore,Zach,P,University of New Orleans,UNO,5380,New Orleans,BBC,L,L,17,303,1088,50.4%,4.8%,0.6%,22.6%,13.9%,7.7%,0.0%,0.0%,9.7%,55.1%,44.3%,36.5%
312,1277191168,M. Dalquist,Matthew Dalquist,Dalquist,Matthew,P,UC San Diego,UCSD,730348032,UC San Diego,BBC,S,R,14,347,1263,50.3%,0.0%,1.7%,20.5%,15.1%,11.2%,0.0%,0.6%,0.4%,50.3%,48.0%,36.8%
313,1313846272,D. Lavelle,Declan Lavelle,Lavelle,Declan,P,Elon University,ELON,730252544,Elon,BBC,R,R,15,367,1253,50.3%,0.0%,4.9%,25.9%,12.7%,5.2%,0.7%,0.3%,0.3%,50.3%,44.8%,38.9%
314,1093159424,B. Curley,Brian Curley,Curley,Brian,P,University of Georgia,UGA,226,Georgia,BBC,R,R,17,271,1096,50.3%,0.1%,23.1%,14.0%,11.4%,0.3%,0.0%,0.8%,0.2%,50.4%,26.5%,26.2%
315,1604541126,T. Hillen,Trent Hillen,Hillen,Trent,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,14,349,1239,50.3%,1.8%,0.0%,29.8%,10.2%,8.0%,0.0%,0.0%,7.8%,52.1%,47.9%,39.9%
316,1002892320,M. Hagler,Micah Hagler,Hagler,Micah,P,Seattle University,SEA,4504,Seattle,BBC,R,R,16,266,913,50.2%,3.4%,1.0%,23.3%,6.6%,15.5%,0.0%,0.0%,13.6%,53.6%,45.4%,29.9%
317,1100149248,P. Schmitz,Paul Schmitz,Schmitz,Paul,P,University of Houston,HOU,3030,Houston,BBC,R,R,14,275,1108,50.2%,0.5%,19.0%,8.3%,15.1%,4.2%,2.6%,0.1%,0.7%,50.7%,30.3%,23.5%
318,1338119552,D. Thomas,Daniel Thomas,Thomas,Daniel,P,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,16,300,967,50.1%,0.0%,0.0%,24.1%,0.0%,25.7%,0.0%,0.0%,61.8%,50.1%,49.9%,24.1%
319,1204042240,H. Elliott,Hunter Elliott,Elliott,Hunter,P,University of Mississippi,MISS,5322,Ole Miss,BBC,L,L,17,361,1474,50.1%,3.7%,0.4%,9.1%,4.3%,32.5%,0.0%,0.0%,0.0%,53.7%,45.9%,13.4%
