Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,Swing%,Miss%,Contact%,Strike%,InPlay%,Foul%,InZone%,Chase%,CallStrk%,SwStrk%,P/BF,CompLoc%,NonCompLoc%
681,1656400118,C. Crossland,Cade Crossland,Crossland,Cade,P,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,L,16,316,1293,47.6%,32.1%,67.9%,63.0%,30.4%,37.5%,40.9%,34.1%,29.4%,15.3%,4.09,76.5%,23.5%
682,1195612672,B. Pruett,Brad Pruett,Pruett,Brad,P,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,28,285,1130,43.9%,35.5%,64.5%,59.5%,35.3%,29.2%,40.7%,27.5%,27.8%,15.6%,3.96,74.1%,25.9%
683,1179432448,D. Delvecchio,Dylan Delvecchio,Delvecchio,Dylan,P,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,L,L,18,311,1173,44.5%,32.6%,67.4%,62.5%,37.0%,30.5%,40.6%,28.8%,32.4%,14.5%,3.77,74.3%,25.7%
684,1310868737,C. McGarrh,Cade McGarrh,McGarrh,Cade,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,15,342,1219,45.4%,25.7%,74.3%,62.6%,42.3%,32.0%,40.6%,29.1%,31.5%,11.6%,3.56,76.9%,23.1%
685,1299957248,J. Ackerman,Jess Ackerman,Ackerman,Jess,P,Mercer University,MER,730240512,Mercer,BBC,L,L,18,315,1270,43.9%,32.6%,67.4%,60.6%,32.6%,34.8%,40.5%,28.9%,29.6%,14.3%,4.03,76.6%,23.4%
686,1297496064,I. Fix,Isaac Fix,Fix,Isaac,P,Davidson College,DAV,730363136,Davidson,BBC,R,L,16,334,1275,43.2%,23.2%,76.8%,57.9%,39.4%,37.4%,40.5%,28.3%,25.9%,10.0%,3.82,76.6%,23.4%
687,1077994240,J. Katz,Josh Katz,Katz,Josh,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,13,227,837,46.1%,28.0%,72.0%,62.4%,40.2%,31.9%,40.0%,29.5%,30.2%,12.9%,3.69,74.5%,25.5%
688,1153452544,J. Logar,Jackson Logar,Logar,Jackson,P,James Madison University,JMU,730340096,James Madison,BBC,R,R,15,336,1334,37.9%,24.0%,76.0%,57.3%,38.2%,37.8%,40.0%,22.9%,31.4%,9.1%,3.97,73.4%,26.6%
689,1212105985,C. Van Assen,Cole Van Assen,Van Assen,Cole,P,Purdue University,PUR,730353152,Purdue,BBC,R,R,15,297,1037,44.5%,24.7%,75.3%,62.1%,47.9%,27.3%,39.9%,29.3%,28.8%,11.0%,3.49,78.0%,22.0%
690,1507662845,T. Brooks,Ty Brooks,Brooks,Ty,P,Indiana State University,INST,730350080,Indiana State,BBC,R,R,17,258,904,41.4%,23.5%,76.5%,57.6%,46.8%,29.7%,39.9%,26.2%,26.5%,9.7%,3.50,76.0%,24.0%
691,1408559031,L. Kinneen,Liam Kinneen,Kinneen,Liam,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,11,238,939,41.4%,21.9%,78.1%,58.5%,39.1%,39.1%,39.7%,25.8%,29.1%,9.1%,3.95,75.3%,24.7%
692,1100119040,P. Gubler,Payton Gubler,Gubler,Payton,P,Brigham Young University,BYU,730257152,BYU,BBC,R,R,12,264,963,42.6%,22.9%,77.1%,56.5%,42.0%,35.1%,39.6%,22.3%,24.2%,9.8%,3.65,72.4%,27.6%
693,1190568448,T. McKee,Tate McKee,McKee,Tate,P,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,16,362,1418,39.4%,26.3%,73.7%,56.9%,42.0%,31.7%,37.9%,24.1%,28.9%,10.4%,3.92,71.3%,28.7%
694,1328495337,L. Trout,Luke Trout,Trout,Luke,P,Brown University,BRWN,730236160,Brown,BBC,R,R,11,221,874,37.6%,24.3%,75.7%,57.0%,44.1%,31.6%,37.1%,23.5%,30.9%,9.2%,3.95,71.8%,28.2%
695,1263954688,J. Ford,Jermel Ford,Ford,Jermel,TWP,Alcorn State University,ALCN,5376,Alcorn State,BBC,L,L,14,322,839,28.5%,5.4%,94.6%,46.7%,81.6%,13.0%,36.7%,9.7%,17.6%,1.5%,2.61,65.3%,34.7%
