Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,CThrows,CThrowsOnTrgt,CThrowsOffTrgt,CThrowSpd,PopTime,CExchTime,CTimeToBase,CThrowHeight,CThrowDownLineDist
122,1097842176,K. Cincinnati,Kyle Cincinnati,Cincinnati,Kyle,C,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,34,22,2,77.1,1.87,0.82,1.07,2.18,1.6
122,1635128394,D. Rogers,Daniel Rogers,Rogers,Daniel,C,University of Iowa,IOWA,1232,Iowa,BBC,L,R,34,24,1,79.3,2.04,0.92,1.15,1.29,2.9
122,1342168539,T. Sparrer,Tyler Sparrer,Sparrer,Tyler,C,Radford University,RAD,730267392,Radford,BBC,R,R,34,27,0,73.9,2.08,0.81,1.25,1.36,1.7
132,1109527296,D. Mathews,Duncan Mathews,Mathews,Duncan,C,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,33,16,7,77.1,2.02,0.81,1.23,1.59,5.1
132,1305030656,J. Sutton,Jonah Sutton,Sutton,Jonah,C,University of Memphis,MEM,730172160,Memphis,BBC,R,R,33,23,7,81.1,1.87,0.72,1.14,2.81,1.4
132,1248441600,L. Nascimento,Luke Nascimento,Nascimento,Luke,C,Bucknell University,BUCK,730214144,Bucknell,BBC,R,R,33,17,8,76.9,2.02,0.84,1.16,3.05,4.5
132,1284013056,H. Helligso,Hogan Helligso,Helligso,Hogan,C,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,33,19,9,79.9,1.97,0.86,1.16,3.75,1.4
132,1318575104,S. Pisacreta,Sebastian Pisacreta,Pisacreta,Sebastian,C,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,33,21,5,74.3,1.93,0.77,1.16,3.18,3.4
132,1310584064,M. Serna,Mateo Serna,Serna,Mateo,C,University of Missouri,MIZZ,4806,Missouri,BBC,S,R,33,22,6,76.5,1.96,0.78,1.17,1.67,3.0
132,1296545280,Z. Ramppen,Zack Ramppen,Ramppen,Zack,C,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,33,15,3,78.4,1.91,0.71,1.15,1.11,4.2
132,1100812800,P. Daniels,Phillips Daniels,Daniels,Phillips,C,The Citadel,CIT,730366720,The Citadel,BBC,R,R,33,23,2,76.3,2.00,0.79,1.20,1.58,3.3
132,1758840332,J. Natili,Jack Natili,Natili,Jack,C,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,33,20,9,80.2,2.04,0.90,1.10,4.47,2.4
132,1223725653,C. Berry,Caleb Berry,Berry,Caleb,C,Michigan State University,MSU,1551,Michigan State,BBC,R,R,33,17,11,78.3,1.99,0.78,1.21,3.60,0.7
