Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,CThrows,CThrowsOnTrgt,CThrowsOffTrgt,CThrowSpd,PopTime,CExchTime,CTimeToBase,CThrowHeight,CThrowDownLineDist
553,1730210732,V. Gamberdella,Vince Gamberdella,Gamberdella,Vince,C,UNLV,UNLV,730161664,UNLV,BBC,L,R,6,5,0,78.7,2.18,0.93,1.27,2.12,1.0
553,1679871440,J. Giordano,Jack Giordano,Giordano,Jack,P,University of San Diego,USD,5320,San Diego,BBC,R,R,6,4,0,83.0,1.76,0.82,0.99,1.41,5.6
553,1858822691,M. Young,Michael Young,Young,Michael,C,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,6,3,3,82.0,2.02,0.84,1.21,3.93,1.2
553,1761673592,N. Lombardi,Niko Lombardi,Lombardi,Niko,C,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,6,6,0,78.0,2.03,1.00,1.07,2.41,3.8
553,1151531062,G. Marlow,Geoff Marlow,Marlow,Geoff,C,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,6,3,1,77.5,1.83,0.80,1.01,6.66,5.3
553,1125280816,D. Jackson,Dylan Jackson,Jackson,Dylan,C,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,6,5,0,77.9,2.03,0.96,1.07,1.40,1.1
553,1999398253,M. Brooks,Maddux Brooks,Brooks,Maddux,C,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,6,5,0,75.3,2.03,0.91,1.14,2.96,4.5
553,1342167514,C. Carbone,Cole Carbone,Carbone,Cole,C,University of Houston,HOU,3030,Houston,BBC,L,R,6,3,1,76.4,1.96,0.80,1.19,2.65,2.8
589,1085396480,B. Connors,Braden Connors,Connors,Braden,C,College of the Holy Cross,HC,730310656,Holy Cross,BBC,L,R,5,2,2,76.9,2.11,0.78,1.29,2.51,2.3
589,1116118528,M. Gonzalez,Matt Gonzalez,Gonzalez,Matt,C,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,5,3,1,78.1,2.30,1.12,1.05,3.31,-0.3
589,1105510656,A. Lamb,Andrew Lamb,Lamb,Andrew,C,University of Southern California,USC,5047,USC,BBC,L,R,5,4,1,74.2,2.05,0.68,1.26,2.74,3.0
589,1293680384,K. Morisaki,Kanoa Morisaki,Morisaki,Kanoa,TWP,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,S,R,5,3,2,76.7,1.94,0.77,1.21,3.55,1.1
589,1224669696,N. Brooks,Noah Brooks,Brooks,Noah,1B,Siena College,SIE,730382592,Siena,BBC,R,R,5,0,0,72.9,-,0.75,-,-,-
589,1167304960,K. Wilkey,Kaleb Wilkey,Wilkey,Kaleb,C,University of Evansville,EVAN,730327808,Evansville,BBC,R,R,5,1,2,77.3,2.17,0.88,1.30,3.35,-3.7
589,1303793408,R. Lastres,Rene Lastres,Lastres,Rene,C,Florida International University,FIU,4468,Florida International,BBC,R,R,5,3,1,83.6,1.87,0.82,1.07,-0.18,-0.4
589,1097554432,C. Marcellus,Chris Marcellus,Marcellus,Chris,C,Grambling State University,GRAM,5378,Grambling State,BBC,R,R,5,3,1,76.6,2.06,0.87,1.16,3.35,1.8
589,1126571008,J. Rodriguez,Jorge Rodriguez,Rodriguez,Jorge,C,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,5,4,1,74.5,2.09,0.73,1.36,1.15,-1.0
589,1333122048,K. Jimenez,Kenneth Jimenez,Jimenez,Kenneth,C,University of Houston,HOU,3030,Houston,BBC,R,R,5,4,0,72.9,1.78,0.73,1.04,0.10,3.1
589,1266574336,D. Joseph,Dominic Joseph,Joseph,Dominic,C,Southern University,SOU,4767,Southern,BBC,R,R,5,3,1,77.4,2.12,0.82,1.29,0.31,-0.2
589,1090062592,J. Gregson,JD Gregson,Gregson,JD,C,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,R,5,3,2,76.7,1.89,0.74,1.15,1.66,8.0
589,1334322432,M. Schwalbach,Mason Schwalbach,Schwalbach,Mason,C,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,5,4,1,75.2,1.99,0.78,1.27,4.95,3.6
589,1093140224,T. Hill,Trey Hill,Hill,Trey,C,Little Rock,UALR,730217472,Little Rock,BBC,R,R,5,1,2,75.7,2.10,0.76,1.30,7.50,1.2
589,1250235648,D. Schramm,Dagen Schramm,Schramm,Dagen,C,South Dakota State University,SDST,730323200,South Dakota State,BBC,L,R,5,3,1,77.6,1.91,0.81,1.16,3.12,4.8
589,1077998080,C. Campbell,Cole Campbell,Campbell,Cole,C,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,5,4,1,79.3,2.26,1.02,1.25,1.62,0.5
589,1310373632,E. Fouraker,Eric Fouraker,Fouraker,Eric,C,University of North Florida,UNF,730296832,North Florida,BBC,R,R,5,2,3,78.2,2.14,0.84,1.30,6.79,10.2
589,1099416320,V. Klein,Van Klein,Klein,Van,C,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,5,4,1,76.2,2.19,0.87,1.30,2.84,1.2
589,1126275584,J. Ramos,Josh Ramos,Ramos,Joshua,C,Northwestern University,NW,730247680,Northwestern,BBC,R,R,5,4,1,80.7,2.08,1.02,1.06,1.96,6.5
589,1310352640,R. Gonzalez,Rudy Gonzalez,Gonzalez,Rudy,C,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,5,2,1,78.5,1.96,0.87,0.99,4.92,4.8
589,1085406464,J. Bollin,Jake Bollin,Bollin,Jake,C,Villanova University,VILL,730278400,Villanova,BBC,R,R,5,1,1,76.3,2.29,0.96,1.39,5.33,0.9
589,1150057472,L. Melton,Luke Melton,Melton,Luke,C,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,R,R,5,3,1,77.2,2.09,0.87,1.20,3.50,4.3
589,1196797184,P. Ebbing,Payton Ebbing,Ebbing,Payton,C,Kent State University,KENT,730315008,Kent State,BBC,R,R,5,4,0,76.7,1.89,0.73,1.20,0.38,6.1
589,1278162432,P. Mendiola,Patrick Mendiola,Mendiola,Patrick,C,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,5,1,1,75.8,1.98,0.79,1.13,4.05,-1.2
589,1087427840,H. Faildo,Hunter Faildo,Faildo,Hunter,C,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,5,5,0,78.6,1.91,0.77,1.09,2.23,3.2
589,1099903744,J. Austin,Jack Austin,Austin,Jack,C,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,R,5,3,2,75.3,2.19,0.88,1.31,2.57,4.4
589,1310307840,M. Elko,Michael Elko,Elko,Michael,2B,University of Richmond,RICH,730171904,Richmond,BBC,L,R,5,3,0,75.2,1.86,0.78,1.01,-0.23,1.4
589,1411778899,C. Young,Caden Young,Young,Caden,C,Fordham University,FOR,730324992,Fordham,BBC,R,R,5,1,2,75.3,1.93,0.83,1.07,3.35,10.4
589,1029366313,O. Hooper,Owen Hooper,Hooper,Owen,C,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,5,3,0,80.3,2.03,0.76,1.10,0.22,3.0
589,1046485320,J. Fernandez,Jose Fernandez,Fernandez,Jose,C,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,5,3,0,77.4,1.89,0.85,1.10,1.88,4.1
589,1884274785,C. Erdos,Creed Erdos,Erdos,Creed,C,James Madison University,JMU,730340096,James Madison,BBC,R,R,5,2,0,78.4,1.80,0.74,1.05,0.19,1.0
589,1067010784,K. Hartmann,Kyle Hartmann,Hartmann,Kyle,C,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,5,2,0,81.2,2.18,0.87,1.27,2.88,4.3
589,1738127352,E. Sepulveda,Esteban Sepulveda,Sepulveda,Esteban,C,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,5,4,0,73.4,1.96,0.77,1.18,0.56,3.0
589,1493011308,D. Jackson,Daniel Jackson,Jackson,Daniel,RF,University of Georgia,UGA,226,Georgia,BBC,R,R,5,2,1,81.3,1.84,0.78,1.09,2.46,-0.6
589,1222218338,C. Griggs,CJ Griggs,Griggs,CJ,C,Hofstra University,HOF,730245120,Hofstra,BBC,L,R,5,3,1,76.3,2.16,0.84,1.33,1.21,5.8
589,1342167202,H. Wolfe,Henry Wolfe,Wolfe,Henry,C,Elon University,ELON,730252544,Elon,BBC,R,R,5,1,1,78.9,2.01,0.86,1.08,4.01,8.3
589,1194571891,J. Martin,Jarrett Martin,Martin,Jarrett,C,Campbell University,CAMP,730187776,Campbell,BBC,R,R,5,1,3,79.4,2.22,0.90,1.25,2.72,-5.8
589,1317308271,Z. Butler,Zac Butler,Butler,Zac,C,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,5,4,1,78.4,2.07,0.88,1.19,3.50,2.7
589,1192430554,B. Sexton,Brody Sexton,Sexton,Brody,C,Grand Canyon University,GC,5310,Grand Canyon,BBC,R,R,5,1,4,80.5,1.80,0.77,0.98,5.24,0.9
589,1878479949,S. Ryan,Sadir Ryan,Ryan,Sadir,C,Southern University,SOU,4767,Southern,BBC,R,R,5,3,0,76.4,1.96,0.80,1.14,2.64,3.4
589,1605613711,J. Holley,John Holley,Holley,John,C,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,5,3,2,76.8,2.06,0.74,1.32,2.00,4.9
589,1848126072,K. Hepburn,Kyle Hepburn,Hepburn,Kyle,C,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,5,2,1,75.5,2.24,0.91,1.34,7.91,-3.6
589,1220216626,J. LeFrancois,Jake LeFrancois,LeFrancois,Jake,P,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,R,R,5,2,1,77.7,1.85,0.77,1.12,2.67,3.9
589,1760602027,M. Mendoza,Matteo Mendoza,Mendoza,Matteo,C,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,5,4,0,72.9,2.08,0.76,1.34,0.66,2.0
633,1324686592,C. Baillargeon,Chris Baillargeon,Baillargeon,Chris,1B,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,4,1,2,68.7,2.23,0.74,1.50,8.45,-11.0
633,1142992896,C. Spelman,Conner Spelman,Spelman,Conner,C,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,4,1,0,79.6,2.10,0.87,1.28,3.54,-1.9
633,1261647104,C. Cooke,Conor Cooke,Cooke,Conor,1B,Brown University,BRWN,730236160,Brown,BBC,R,R,4,4,0,75.7,1.93,0.74,1.23,2.80,5.0
633,1099145728,J. Galloway,Jacob Galloway,Galloway,Jacob,C,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,R,4,4,0,76.6,2.16,0.83,1.33,2.32,1.7
633,1293160192,N. Cmeyla,Nathan Cmeyla,Cmeyla,Nathan,C,Florida State University,FSU,101,Florida State,BBC,R,R,4,4,0,79.6,1.94,0.84,1.02,2.73,0.0
633,1142924032,K. Klingenbeck,Kory Klingenbeck,Klingenbeck,Kory,C,University of Cincinnati,CIN,5465,Cincinnati,BBC,S,R,4,4,0,81.4,2.19,0.92,1.23,1.02,4.0
633,1248462336,T. Lang,Tyler Lang,Lang,Tyler,C,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,R,4,3,0,74.8,2.06,0.78,1.28,1.52,2.6
633,1245163264,K. Benavidez,Kade Benavidez,Benavidez,Kade,P,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,4,4,0,75.8,2.04,0.95,1.09,2.12,3.2
633,1334935552,L. Gaffney,Luke Gaffney,Gaffney,Luke,1B,Clemson University,CLEM,730358784,Clemson,BBC,R,R,4,1,1,72.7,2.22,0.73,1.45,3.82,4.2
633,1110068480,R. Rickabaugh,RJ Rickabaugh,Rickabaugh,RJ,C,University of Richmond,RICH,730171904,Richmond,BBC,L,R,4,0,1,78.4,2.04,0.80,1.28,6.30,2.7
633,1205259520,A. Diaz,Alex Diaz,Diaz,Alex,C,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,4,2,0,70.5,2.01,0.77,1.22,-0.64,6.4
633,1279825152,J. Power,Jack Power,Power,Jack,1B,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,L,R,4,1,1,78.1,1.97,0.80,1.22,1.34,-4.8
633,1213485312,F. Ferrentino,Frankie Ferrentino,Ferrentino,Frankie,C,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,4,4,0,78.8,2.23,0.98,1.25,3.88,3.9
633,1167173120,M. Whitcomb,Mack Whitcomb,Whitcomb,Mack,C,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,4,0,1,76.9,1.99,0.70,1.32,7.19,-4.7
633,1297507072,F. Micallef,Frank Micallef,Micallef,Frank,C,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,4,2,1,74.4,2.15,0.80,1.35,2.24,-2.1
633,1336578304,J. Fitz,Jonathan Fitz,Fitz,Jonathan,C,University of San Diego,USD,5320,San Diego,BBC,R,R,4,2,0,81.0,1.80,0.78,1.02,0.07,-1.0
633,1118938880,M. Buffington,Matthew Buffington,Buffington,Matthew,C,University of South Florida,USF,2292,South Florida,BBC,R,R,4,4,0,81.1,1.78,0.71,1.01,2.50,4.0
633,1226688512,C. Murray,Cameron Murray,Murray,Cameron,C,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,4,2,0,74.2,1.77,0.68,1.12,1.21,1.6
633,1243724032,R. Lee,Ryan Lee,Lee,Ryan,C,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,4,2,0,77.1,1.95,0.91,0.84,2.05,5.3
633,1218555648,R. Grace,Rashard Grace,Grace,Rashard,C,Southern University,SOU,4767,Southern,BBC,R,R,4,1,1,80.7,2.11,0.93,1.21,4.91,3.4
633,1126573056,B. Voth,Brant Voth,Voth,Brant,P,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,L,R,4,3,0,75.0,2.17,0.85,1.35,3.18,0.4
633,1196809217,R. Reese,Ripken Reese,Reese,Ripken,2B,Kent State University,KENT,730315008,Kent State,BBC,S,R,4,3,0,77.1,1.85,0.70,1.14,2.51,0.1
633,1296585216,G. Athanasiadis,George Athanasiadis,Athanasiadis,George,C,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,4,3,1,73.8,1.98,0.89,1.09,1.92,3.0
633,1287356160,R. Bakes,Ryan Bakes,Bakes,Ryan,C,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,4,3,0,79.0,2.13,0.86,1.28,2.18,-3.1
633,1119193600,H. Torres,Hederick Torres,Torres,Hederick,C,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,4,3,0,74.8,1.80,0.73,0.99,3.51,2.3
633,1356286583,J. Farmer,Jeremiah Farmer,Farmer,Jeremiah,C,Alcorn State University,ALCN,5376,Alcorn State,BBC,R,R,4,0,2,64.0,2.34,0.76,1.59,9.95,-0.0
633,1852864419,K. Krill,Kevin Krill,Krill,Kevin,C,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,4,3,1,73.4,2.35,1.08,1.27,1.49,4.7
633,1850462131,C. Kilgore,Cal Kilgore,Kilgore,Cal,C,University of Utah,UTAH,730328320,Utah,BBC,R,R,4,3,0,81.3,1.88,0.79,1.10,1.38,2.6
633,1017276345,E. Holstein,Evan Holstein,Holstein,Evan,C,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,4,1,0,78.9,-,0.78,1.18,-0.29,9.4
633,1578374661,M. Brousseau,Mack Brousseau,Brousseau,Mack,C,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,4,2,0,75.1,2.08,0.81,1.32,1.67,-1.2
633,1833974277,C. King,Caleb King,King,Caleb,C,Delaware State University,DSU,730217984,Delaware State,BBC,R,R,4,2,0,74.3,2.07,0.69,1.37,-0.18,7.4
633,1914298599,K. Crisp,Kyle Crisp,Crisp,Kyle,C,Radford University,RAD,730267392,Radford,BBC,S,R,4,3,1,75.0,1.93,0.84,1.09,4.70,4.6
633,1083279450,G. Nottleman,Grant Nottleman,Nottleman,Grant,C,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,R,4,2,0,72.7,2.10,0.75,1.37,1.12,-1.7
633,1707683796,M. Morales,Miguel Morales,Morales,Miguel,C,Texas Southern University,TXSO,4768,Texas Southern,BBC,L,R,4,3,0,74.7,1.97,0.80,1.19,3.87,3.9
633,1342167775,C. Pourciau,Clayton Pourciau,Pourciau,Clayton,C,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,4,2,1,76.9,1.99,0.93,1.18,5.18,-1.6
633,1720889442,J. Hauk,Jacob Hauk,Hauk,Jacob,C,University of Maryland-College Park,MD,730172928,Maryland,BBC,R,R,4,0,3,78.0,2.02,0.71,1.28,5.49,-1.1
633,1268743637,S. Huerta,Sebastian Huerta,Huerta,Sebastian,C,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,4,2,1,71.2,2.19,0.78,1.41,2.97,4.6
633,1573222752,B. Short,Brodie Short,Short,Brodie,C,Lindenwood University,LU,730322176,Lindenwood,BBC,L,R,4,0,2,79.3,2.09,0.84,1.25,2.78,12.6
633,1084799195,C. Chamberlain,Cole Chamberlain,Chamberlain,Cole,C,University of Texas,TEX,245,Texas,BBC,L,R,4,3,0,77.9,2.08,0.87,1.25,-0.84,1.6
633,1473478008,N. Zajac,Nolan Zajac,Zajac,Nolan,C,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,4,4,0,81.9,1.57,0.78,0.90,2.10,0.1
633,1064756010,M. Hersh,Marc Hersh,Hersh,Marc,C,Florida International University,FIU,4468,Florida International,BBC,R,R,4,3,1,79.3,1.83,0.72,1.14,2.79,3.4
633,1342167318,S. Leis,Sammy Leis,Leis,Sammy,C,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,4,2,0,78.0,1.70,1.08,1.03,-1.41,-0.6
633,1498066546,J. Vanoncini,Jack Vanoncini,Vanoncini,Jack,C,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,4,4,0,76.0,2.19,0.86,1.31,1.02,1.1
633,1421282530,J. Lyall,Jake Lyall,Lyall,Jake,C,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,4,3,0,75.8,1.90,0.81,1.05,0.81,5.1
633,1820036147,C. Pawlowski,Connor Pawlowski,Pawlowski,Connor,C,Bellarmine University,BU,730167552,Bellarmine,BBC,R,R,4,3,0,77.3,2.05,0.78,1.29,0.49,2.3
633,1501036350,J. Ambriz,Jacob Ambriz,Ambriz,Jacob,C,Little Rock,UALR,730217472,Little Rock,BBC,R,R,4,1,1,74.4,2.05,0.69,1.11,0.79,-2.1
633,1215682743,C. Alexander,Carter Alexander,Alexander,Carter,C,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,4,2,0,75.5,2.03,0.78,1.33,1.07,-1.9
680,1292501504,T. Waugh,Tyler Waugh,Waugh,Tyler,LF,UAB,UAB,730345984,UAB,BBC,L,R,3,1,1,77.3,2.39,1.00,1.32,0.38,10.4
680,1093141248,T. Rhoades,Ty Rhoades,Rhoades,Ty,3B,Little Rock,UALR,730217472,Little Rock,BBC,L,R,3,2,1,75.6,2.63,1.46,1.17,1.74,-1.0
680,1300425984,T. Sheridan,Tommy Sheridan,Sheridan,Tommy,C,Canisius College,CAN,730218752,Canisius,BBC,R,R,3,1,0,81.6,2.29,0.88,1.23,4.68,2.1
680,1207712256,M. Dye,Mcaddin Dye,Dye,Macaddin,C,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,3,1,1,73.6,1.72,0.78,0.92,5.16,2.7
680,1074241280,D. Carr,Davis Carr,Carr,Davis,C,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,3,2,0,78.6,2.07,1.22,0.85,0.10,5.8
680,1173787904,K. Kram,Kaden Kram,Kram,Kaden,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,3,2,0,76.7,1.78,0.74,1.08,2.19,-0.4
680,1297004288,D. Prieto,Diego Prieto,Prieto,Diego,C,Fordham University,FOR,730324992,Fordham,BBC,R,R,3,1,0,70.3,2.60,1.05,1.55,2.14,0.7
680,1310552320,C. Soto,Christian Soto,Soto,Christian,C,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,3,2,1,75.7,2.14,0.83,1.31,1.53,2.1
680,1245161728,L. Moressi,Lorenzo Moressi,Moressi,Lorenzo,C,UTSA,UTSA,730373120,UTSA,BBC,S,R,3,2,0,79.1,1.46,0.67,0.82,2.67,5.9
680,1304736512,T. Cassidy,Trae Cassidy,Cassidy,Trae,1B,Ohio University,OHIO,730298368,Ohio,BBC,L,R,3,1,1,75.4,2.06,0.75,1.33,4.02,-0.0
680,1198411264,A. Vining,Ashby Vining,Vining,Ashby,C,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,3,3,0,79.1,1.96,0.82,1.14,1.64,4.0
680,1174785792,A. Aroz,Anson Aroz,Aroz,Anson,LF,University of Oregon,ORE,4807,Oregon,BBC,S,R,3,2,1,76.9,1.72,0.65,1.16,0.89,-2.0
680,1257433856,K. Huff,Kade Huff,Huff,Kade,C,Grand Canyon University,GC,5310,Grand Canyon,BBC,L,R,3,1,1,75.4,2.13,0.82,1.10,2.84,-1.6
680,1162286592,A. DeMastrie,A.J. DeMastrie,DeMastrie,AJ,C,Dartmouth College,DART,730216192,Dartmouth,BBC,S,R,3,2,0,75.0,-,0.83,1.15,3.44,-0.8
680,1214263552,A. Febo,Anthony Febo,Febo,Anthony,C,Iona College,IONA,730242048,Iona,BBC,R,R,3,1,0,70.8,2.09,0.73,1.37,0.57,7.6
680,1125365504,B. Reed,Blake Reed,Reed,Blake,C,Ohio University,OHIO,730298368,Ohio,BBC,R,R,3,1,2,73.0,2.23,0.86,1.37,6.75,5.7
680,1189283072,D. Walls,Dawson Walls,Walls,Dawson,C,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,3,2,1,74.6,2.43,1.11,1.34,5.09,-1.0
680,1243693056,T. Harmon,Trevor Harmon,Harmon,Trevor,1B,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,3,2,0,79.6,1.96,0.74,1.08,2.10,2.2
680,1324713472,A. Gonzalez,Anthony Gonzalez,Gonzalez,Anthony,C,Stetson University,STET,730261504,Stetson,BBC,R,R,3,2,1,79.3,2.07,0.81,1.26,4.32,0.5
680,1174778369,M. Shor,Maxwell Shor,Shor,Maxwell,C,Fresno State,FRES,730384384,Fresno State,BBC,R,R,3,2,0,72.9,2.16,0.78,1.39,3.66,-3.2
680,1892805094,C. Ketzner,Cole Ketzner,Ketzner,Cole,C,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,3,1,2,76.6,2.09,0.77,1.19,2.36,10.5
680,1342166913,M. Reising,Mason Reising,Reising,Mason,C,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,3,3,0,75.8,2.05,0.87,1.18,1.43,2.9
680,1929966737,J. Embury,Jon Embury,Embury,Jon,3B,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,R,R,3,3,0,79.3,1.94,0.89,1.10,1.76,2.8
680,1398146705,H. Carlson,Hunter Carlson,Carlson,Hunter,C,Wichita State University,WICH,730203904,Wichita State,BBC,L,R,3,1,0,76.1,1.72,0.99,0.88,-1.16,4.9
680,1350520919,J. Crabbe,J.T. Crabbe,Crabbe,J.T.,C,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,3,1,0,76.7,2.09,1.07,1.25,-1.29,9.8
680,1900944940,M. Cooper,Mason Cooper,Cooper,Mason,C,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,3,2,0,76.2,2.12,0.80,1.29,1.40,0.1
680,1576035714,E. Stephens,Eli Stephens,Stephens,Eli,C,Mercer University,MER,730240512,Mercer,BBC,L,R,3,1,0,77.6,1.53,0.76,0.78,4.13,-4.2
680,1232579968,C. Niclai,Coen Niclai,Niclai,Coen,C,University of Oregon,ORE,4807,Oregon,BBC,R,R,3,3,0,76.9,2.26,0.96,1.30,0.84,3.0
680,1253268027,B. Primrose,Blake Primrose,Primrose,Blake,C,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,3,2,1,76.6,1.84,0.68,1.17,2.21,-0.2
680,1914563475,T. Popoff,Tommy Popoff,Popoff,Tommy,C,Binghamton University,BING,730155776,Binghamton,BBC,R,R,3,3,0,75.5,1.60,0.73,0.87,1.18,3.6
680,1170700775,P. Smith,Parker Smith,Smith,Parker,TWP,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,3,2,1,75.3,1.96,0.77,1.19,2.55,3.6
680,1387024195,T. Early,Tom Early,Early,Tom,C,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,3,1,0,70.6,2.34,0.80,1.50,-1.86,5.0
680,1505415651,M. Barela,Mason Barela,Barela,Mason,P,Cornell University,COR,730298624,Cornell,BBC,R,R,3,1,1,73.3,2.16,0.82,1.34,-1.19,0.7
680,1075259393,J. Pitts,Jack Pitts,Pitts,Jack,C,University of Memphis,MEM,730172160,Memphis,BBC,R,R,3,2,0,75.5,2.07,0.85,1.34,2.55,2.5
680,1924819905,W. Torres-Santiago,Wilfred Torres-Santiago,Torres-Santiago,Wilfred,C,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,3,2,1,73.4,2.24,0.86,1.25,4.79,8.7
680,1342169228,A. Herrera,AJ Herrera,Herrera,AJ,C,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,R,3,0,2,76.1,1.58,0.72,1.07,5.21,-5.7
716,1093147136,L. Steele,Lucas Steele,Steele,Lucas,C,Auburn University,AUB,5466,Auburn,BBC,S,R,2,1,1,74.5,-,-,1.35,6.84,2.6
716,1310397696,O. Michelson,Owen Michelson,Michelson,Owen,LF,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,2,2,0,71.7,2.05,0.90,1.15,5.39,4.9
716,1167541504,H. Parker,Hudson Parker,Parker,Hudson,C,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,2,2,0,84.6,2.00,0.79,1.21,1.87,-0.2
716,1162307584,C. Romich,Cooper Romich,Romich,Cooper,C,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,2,1,1,80.9,1.98,0.75,1.20,0.10,4.3
716,1318237696,D. Ratfield,Donovan Ratfield,Ratfield,Donovan,1B,University of Nevada,NEV,4784,Nevada,BBC,R,R,2,1,0,80.4,1.99,0.74,1.21,-1.39,5.7
716,1093163520,C. Gerecke,Cooper Gerecke,Gerecke,Cooper,C,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,2,0,1,70.4,2.20,0.73,1.45,-1.16,-6.3
716,1257914880,C. Lomanto,Colton Lomanto,Lomanto,Colton,1B,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,2,2,0,76.8,1.98,0.68,1.09,2.81,2.9
716,1081123584,D. Gamester,Dennis Gamester,Gamester,Dennis,C,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,2,2,0,77.6,1.62,0.82,0.86,2.28,2.6
716,1238097920,B. Lummus,Brock Lummus,Lummus,Brock,C,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,2,1,0,77.9,-,0.73,1.19,3.79,4.1
