Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,AB,AVG,xAVG,xAVGDf,xOBP,SLG,xSLG,xSLGDf,ISO,xISO,xISODf,wOBA,xWOBA,xWOBADf
456,1229117952,Z. Willingham,Zach Willingham,Willingham,Zach,P,University of South Alabama,USA,730298880,South Alabama,BBC,L,L,14,333,282,.255,.285,-.030,.389,.379,.434,-.054,.124,.148,-.024,.335,.359,-.023
457,1257329152,N. Chapman,Noah Chapman,Chapman,Noah,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,L,L,21,292,257,.276,.285,-.009,.350,.432,.427,.004,.156,.142,.014,.338,.334,.004
458,1742320429,M. Vaisvila,Max Vaisvila,Vaisvila,Max,P,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,L,L,16,304,273,.377,.286,.092,.345,.593,.468,.125,.216,.183,.033,.438,.346,.092
459,1310380288,B. Poynter,Bradley Poynter,Poynter,Bradley,P,Morehead State University,MORE,730158080,Morehead State,BBC,R,R,14,287,257,.374,.286,.088,.349,.576,.423,.152,.202,.138,.064,.431,.331,.100
460,1749819658,B. Kimball,Blake Kimball,Kimball,Blake,P,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,18,338,291,.289,.286,.003,.362,.505,.440,.065,.216,.155,.062,.372,.341,.030
461,1694755002,S. Sarre,Serigne Sarre,Sarre,Serigne,P,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,L,14,319,282,.273,.286,-.013,.361,.436,.483,-.047,.163,.197,-.034,.345,.360,-.015
462,1115419904,J. Bergman,Jackson Bergman,Bergman,Jackson,P,University of Toledo,TOL,5388,Toledo,BBC,L,R,16,292,249,.249,.286,-.037,.378,.365,.411,-.046,.116,.125,-.008,.319,.344,-.025
463,1162505216,I. May,Ian May,May,Ian,P,UCLA,UCLA,5048,UCLA,BBC,R,L,27,304,262,.244,.287,-.042,.366,.454,.498,-.044,.210,.212,-.002,.339,.364,-.025
464,1265428992,T. Chadwick,Tyrelle Chadwick,Chadwick,Tyrelle,P,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,14,338,296,.257,.287,-.030,.361,.389,.430,-.042,.132,.143,-.012,.321,.341,-.021
465,1143021312,G. Gambradella,Gianni Gambradella,Gambradella,Gianni,P,University of Maine,ME,730275840,Maine,BBC,R,R,15,278,237,.278,.287,-.008,.364,.460,.418,.041,.181,.132,.050,.354,.336,.018
466,1660995022,N. Schutte,Nic Schutte,Schutte,Nic,P,Murray State University,MURR,730188032,Murray State,BBC,R,R,18,435,356,.233,.287,-.054,.402,.362,.460,-.098,.129,.173,-.044,.327,.373,-.046
