Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,InZone%,High%,VMid%,Low%,UpHalf%,LowHalf%,Inside%,HMid%,Outside%,InHalf%,OutHalf%
321,1226682112,Z. Taylor,Zane Taylor,Taylor,Zane,P,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,15,365,1306,48.9%,29.3%,28.6%,42.2%,42.4%,57.6%,17.6%,26.3%,56.0%,30.1%,69.9%
322,1162067200,E. Sargent,Eddie Sargent,Sargent,Eddie,P,UMBC,UMBC,730210304,UMBC,BBC,L,L,13,257,852,48.9%,14.7%,28.6%,56.7%,26.8%,73.2%,24.4%,25.2%,50.5%,37.0%,63.0%
323,1288367360,A. Elges,Alek Elges,Elges,Alek,P,Longwood University,LONG,730219264,Longwood,BBC,R,R,22,310,1048,48.9%,23.5%,29.8%,46.7%,36.4%,63.6%,27.7%,25.4%,47.0%,40.2%,59.8%
324,1093040640,T. O'Neill,Tyler O'Neill,O'Neill,Tyler,P,Bucknell University,BUCK,730214144,Bucknell,BBC,R,R,12,333,1227,48.8%,23.8%,30.2%,46.0%,37.2%,62.8%,18.7%,23.1%,58.2%,27.7%,72.3%
325,1094165504,A. Pingeton,Anthony Pingeton,Pingeton,Anthony,P,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,15,311,1208,48.8%,40.7%,28.9%,30.3%,57.8%,42.2%,32.0%,22.6%,45.4%,42.4%,57.6%
326,1132735744,C. Ingram,Chase Ingram,Ingram,Chase,P,UAB,UAB,730345984,UAB,BBC,R,R,15,266,911,48.8%,29.3%,29.8%,40.9%,43.4%,56.6%,28.6%,26.0%,45.4%,41.0%,59.0%
327,1310590208,M. Heuer,Mac Heuer,Heuer,Mac,P,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,14,243,1034,48.7%,21.1%,27.5%,51.4%,34.2%,65.8%,26.3%,25.9%,47.9%,37.1%,62.9%
328,1251441152,W. Rogers,Will Rogers,Rogers,Will,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,23,260,945,48.7%,31.4%,32.7%,36.0%,49.0%,51.0%,24.0%,22.2%,53.7%,33.7%,66.3%
329,1316364032,S. Stearns,Spencer Stearns,Stearns,Spencer,P,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,13,290,1093,48.7%,40.2%,26.3%,33.5%,53.6%,46.4%,28.2%,26.3%,45.6%,42.7%,57.3%
330,1257329152,N. Chapman,Noah Chapman,Chapman,Noah,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,L,L,21,292,1116,48.7%,26.7%,27.4%,45.9%,40.8%,59.2%,34.7%,22.6%,42.7%,45.7%,54.3%
331,1214276096,T. Levesque,Trystan Levesque,Levesque,Trystan,P,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,L,16,401,1485,48.7%,26.4%,25.8%,47.8%,38.5%,61.5%,30.5%,27.6%,41.9%,43.8%,56.2%
332,1082443399,C. Moak,Clint Moak,Moak,Clint,P,Marshall University,MRSH,730333696,Marshall,BBC,R,R,19,282,989,48.7%,36.8%,27.1%,36.1%,48.8%,51.2%,27.0%,25.1%,47.9%,39.2%,60.8%
333,1153300736,J. Anker,Jack Anker,Anker,Jack,P,Fresno State,FRES,730384384,Fresno State,BBC,R,R,16,432,1678,48.7%,30.6%,29.7%,39.7%,45.3%,54.7%,23.7%,23.8%,52.5%,35.6%,64.4%
334,1198297344,T. Perry,Tanner Perry,Perry,Tanner,P,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,16,329,1239,48.7%,38.3%,29.4%,32.3%,54.1%,45.9%,22.1%,24.1%,53.7%,34.3%,65.7%
335,1279297536,J. Brink,Jake Brink,Brink,Jake,P,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,16,407,1410,48.7%,23.8%,27.8%,48.4%,37.0%,63.0%,28.8%,26.5%,44.7%,40.7%,59.3%
