Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,G,GS,W,L,QS,SV,IP,H,ER,R,ER/G,R/G,BB,K,HR,ERA,FIP,WHIP,K/9,BB/9,K/BB,HR/9,IP/G
2862,1084400384,A. Garcia,AJ Garcia,Garcia,AJ,RF,University of Michigan,MICH,2290,Michigan,BBC,L,L,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1085405952,A. Velazquez,Alfredo Velazquez,Velazquez,Alfredo,P,University of Michigan,MICH,2290,Michigan,BBC,L,L,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1085411840,B. Mann,Brandon Mann,Mann,Brandon,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,183,10,0,0,0,0,0,9.1,10,11,13,1.10,1.30,9,7,0,10.61,6.18,2.04,6.75,8.68,0.78,0.00,1.0
2862,1251446016,J. Longo,Joe Longo,Longo,Joe,1B,University of Michigan,MICH,2290,Michigan,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1259951616,J. Park,Joonsung Park,Park,Joonsung,3B,University of Michigan,MICH,2290,Michigan,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1309418240,J. Counsell,Jack Counsell,Counsell,Jack,2B,Northwestern University,NW,730247680,Northwestern,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1176122880,L. Odom,Lawson Odom,Odom,Lawson,C,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1244427520,B. Luke,Braden Luke,Luke,Braden,P,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1084697088,J. Rogers,Jahlani Rogers,Rogers,Jahlani,RF,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1092663040,C. Bergman,Carter Bergman,Bergman,Carter,C,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1096221440,J. McCutcheon,Jake McCutcheon,McCutcheon,Jake,LF,Missouri State University,MOSU,5382,Missouri State,BBC,L,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1157144064,S. Gregersen,Simon Gregersen,Gregersen,Simon,P,University of Kentucky,UK,5362,Kentucky,BBC,R,R,606,21,0,0,6,0,2,33.0,26,17,24,0.81,1.14,23,27,3,4.64,5.18,1.48,7.36,6.27,1.17,0.82,1.2
2862,1162048000,G. Ferguson,Garrett Ferguson,Ferguson,Garrett,P,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,415,21,0,0,3,0,1,19.2,27,17,24,0.81,1.14,13,19,3,7.78,5.67,2.03,8.69,5.95,1.46,1.37,1.0
2862,1203580672,P. Stinson,Parker Stinson,Stinson,Parker,RF,University of Oregon,ORE,4807,Oregon,BBC,L,L,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1208727296,D. Listi,Dom Listi,Listi,Dom,LF,Clemson University,CLEM,730358784,Clemson,BBC,L,L,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1281738496,H. Brown,Henry Brown,Brown,Henry,3B,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1184454144,J. Nove,Jackson Nove,Nove,Jackson,P,University of Kentucky,UK,5362,Kentucky,BBC,L,L,715,22,0,1,2,0,1,38.0,34,18,21,0.82,0.95,18,54,2,4.26,2.91,1.37,12.79,4.26,3.00,0.47,1.2
2862,1297578240,R. Iffrig,Riley Iffrig,Iffrig,Riley,1B,Saint Louis University,SLU,2291,St. Louis,BBC,L,L,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1287354624,B. Guerin,Blake Guerin,Guerin,Blake,1B,University of Iowa,IOWA,1232,Iowa,BBC,R,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
2862,1299983104,J. Whitlock,Jack Whitlock,Whitlock,Jack,P,University of Iowa,IOWA,1232,Iowa,BBC,L,R,205,13,0,0,0,0,0,15.2,12,7,9,0.54,0.69,4,12,3,4.02,5.48,1.02,6.89,2.30,3.00,1.72,1.1
2862,1124908800,C. Wheatley,Chas Wheatley,Wheatley,Chas,P,University of Iowa,IOWA,1232,Iowa,BBC,R,R,468,24,0,2,1,0,1,24.1,22,10,12,0.42,0.50,19,28,3,3.70,5.19,1.68,10.36,7.03,1.47,1.11,1.0
2862,1191720192,L. Bushey,Liam Bushey,Bushey,Liam,1B,Western Illinois University,WIU,730370560,Western Illinois,BBC,L,R,0,0,0,0,0,0,0,0.0,0,0,0,0.00,0.00,0,0,0,-,3.18,-,-,-,-,-,0.0
