Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,1B%,x1B%,2B%,x2B%,3B%,x3B%,HR%,xHR%,XBH%,xXBH%
,1408531850,S. Grube,Sam Grube,Grube,Sam,2B,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1549740470,N. Book,Nolan Book,Book,Nolan,SS,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1173809201,P. Hebda,Paddy Hebda,Hebda,Paddy,RF,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1394676085,R. Hoeft,Ryan Hoeft,Hoeft,Ryan,C,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1760769161,E. Flaugher,Ethan Flaugher,Flaugher,Ethan,C,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,S,R,0,0,-,-,-,-,-,-,-,-,-,-
,1144247574,K. Johnson,Kendyl Johnson,Johnson,Kendyl,CF,Texas Tech University,TTU,2350,Texas Tech,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1792414126,A. Grabau,Anthony Grabau,Grabau,Anthony,SS,Fordham University,FOR,730324992,Fordham,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1603694284,A. Bouffard,Andre Bouffard,Bouffard,Andre,3B,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1775631829,T. Worth,Tyler Worth,Worth,Tyler,1B,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1557937217,S. Alford,Seth Alford,Alford,Seth,SS,University of North Florida,UNF,730296832,North Florida,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1660722588,P. Brzustewicz,Parker Brzustewicz,Brzustewicz,Parker,1B,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1922448476,S. Benjamin,Sean Benjamin,Benjamin,Sean,LF,University of North Florida,UNF,730296832,North Florida,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1142049987,C. Pryor,Cort Pryor,Pryor,Cort,2B,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1268743637,S. Huerta,Sebastian Huerta,Huerta,Sebastian,C,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1342166901,S. Reynolds,Sam Reynolds,Reynolds,Sam,CF,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1342168283,L. Lusk,Lane Lusk,Lusk,Lane,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1259898070,C. Brown,Cade Brown,Brown,Cade,RF,University of Georgia,UGA,226,Georgia,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1285375748,I. Wirtz,Ian Wirtz,Wirtz,Ian,C,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1206161204,N. Earley,Nathan Earley,Earley,Nathan,1B,University of Louisville,LOU,5467,Louisville,BBC,L,L,0,0,-,-,-,-,-,-,-,-,-,-
,1342167798,G. Baker,George Baker,Baker,George,C,University of Louisville,LOU,5467,Louisville,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1342167803,T. Tyson,Tagger Tyson,Tyson,Tagger,C,University of Louisville,LOU,5467,Louisville,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1337954556,M. Brandt,Matt Brandt,Brandt,Matt,1B,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1702634591,J. Johnson,Jaylon Johnson,Johnson,Jaylon,2B,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1913435040,K. Veal,Kentavious Veal,Veal,Kentavious,2B,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1950690271,J. Moss,Jason Moss,Moss,Jason,3B,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1137033332,P. Vazquez,Paul Vazquez,Vazquez,Paul,3B,Oregon State University,ORST,3111,Oregon State,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1597874169,J. Hertel,Jayden Hertel,Hertel,Jayden,SS,UNLV,UNLV,730161664,UNLV,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1730210732,V. Gamberdella,Vince Gamberdella,Gamberdella,Vince,C,UNLV,UNLV,730161664,UNLV,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1915316674,M. Serrano,Martin Serrano,Serrano,Martin,P,Oregon State University,ORST,3111,Oregon State,BBC,L,R,0,0,-,-,-,-,-,-,-,-,-,-
,1232579968,C. Niclai,Coen Niclai,Niclai,Coen,C,University of Oregon,ORE,4807,Oregon,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1534945533,J. Cote,Josh Cote,Cote,Josh,C,University of Toledo,TOL,5388,Toledo,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1616370818,T. Morehouse,Tylor Morehouse,Morehouse,Tylor,P,University of Toledo,TOL,5388,Toledo,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
,1667195766,B. Mabeus,Burke-Lee Mabeus,Mabeus,Burke-Lee,C,University of Oregon,ORE,4807,Oregon,BBC,S,R,0,0,-,-,-,-,-,-,-,-,-,-
,1837319158,P. Romney,Park Romney,Romney,Park,CF,University of the Pacific,PAC,730386944,Pacific,BBC,R,R,0,0,-,-,-,-,-,-,-,-,-,-
