Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,SB2,CS2,CSBA2Throws,CSBA2ThrowsOnTrgt,CSBA2ThrowsOffTrgt,CSBA2ThrowSpd,PopTimeSBA2,CSBA2ExchTime,CSBA2TimeToBase,CSBA2ThrowHeight,CSBA2ThrowDownLineDist
128,1820036147,C. Pawlowski,Connor Pawlowski,Pawlowski,Connor,C,Bellarmine University,BU,730167552,Bellarmine,BBC,R,R,10,1,4,3,0,77.3,2.05,0.78,1.29,0.49,2.3
128,1347089114,E. Dean,Easton Dean,Dean,Easton,C,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,R,10,4,4,3,1,76.2,1.90,0.70,1.20,1.26,-19.7
128,1342167514,C. Carbone,Cole Carbone,Carbone,Cole,C,University of Houston,HOU,3030,Houston,BBC,L,R,10,2,5,2,1,78.1,2.12,0.82,1.29,2.79,3.1
144,1297350912,K. Bowen,Karson Bowen,Bowen,Karson,C,Texas Christian University,TCU,5045,TCU,BBC,R,R,11,5,14,6,3,75.5,2.07,0.76,1.29,2.22,-0.5
144,1292067584,B. Donay,Brody Donay,Donay,Brody,C,University of Florida,FLA,730168320,Florida,BBC,R,R,11,4,12,5,6,86.5,1.95,0.78,1.16,5.87,0.9
144,1107635456,D. Haab,Daniel Haab,Haab,Daniel,RF,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,11,1,6,4,0,80.9,2.05,0.78,1.27,0.77,-1.1
144,1245882880,K. Cottam,Keaton Cottam,Cottam,Keaton,C,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,11,3,6,4,0,77.6,1.99,0.70,1.31,0.41,5.4
144,1101444096,G. Bogdanchik,Gavin Bogdanchik,Bogdanchik,Gavin,C,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,11,4,11,5,2,74.3,2.13,0.77,1.37,1.27,6.3
144,1226688768,W. Scafidi,Witt Scafidi,Scafidi,Witt,C,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,11,0,7,4,1,79.1,2.30,1.01,1.26,3.16,-0.8
144,1097725952,M. McCommons,Mac McCommons,McCommons,Mac,C,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,11,1,4,3,0,78.7,2.13,0.84,1.28,-0.55,4.6
144,1146160128,J. Ruiz,Justin Ruiz,Ruiz,Justin,C,High Point University,HP,730321152,High Point,BBC,R,R,11,5,8,7,0,83.5,2.01,0.83,1.17,2.49,1.0
144,1109515264,C. Ross,Camden Ross,Ross,Camden,C,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,11,4,12,5,0,76.2,2.11,0.76,1.33,0.37,0.6
144,1228393728,M. Aranda,Marcus Aranda,Aranda,Marcus,C,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,11,3,6,1,0,77.1,1.90,0.65,1.29,3.02,-1.0
144,1311049472,A. Anderson,Aric Anderson,Anderson,Aric,C,Rice University,RICE,2352,Rice,BBC,L,R,11,6,14,7,3,77.6,1.93,0.70,1.23,2.31,2.5
144,1304736512,T. Cassidy,Trae Cassidy,Cassidy,Trae,1B,Ohio University,OHIO,730298368,Ohio,BBC,L,R,11,5,3,1,1,75.4,2.06,0.75,1.33,4.02,-0.0
144,1182843904,D. Johnson,Davis Johnson,Johnson,Davis,C,University of Notre Dame,ND,225,Notre Dame,BBC,L,R,11,3,9,2,3,81.9,2.09,0.86,1.23,5.63,7.0
144,1236373248,C. Meggers,Chase Meggers,Meggers,Chase,C,University of Oregon,ORE,4807,Oregon,BBC,L,R,11,8,11,4,1,82.5,1.96,0.74,1.18,1.31,5.8
144,1224787200,L. Patton,Liam Patton,Patton,Liam,C,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,11,6,8,4,3,75.2,2.15,0.88,1.28,2.34,2.7
