Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,AB,HLeft%,HCtr%,HRight%,HPull%,HOppFld%,HFarLft%,HLftCtr%,HDeadCtr%,HRtCtr%,HFarRt%
85,1304696832,T. Nunnally,Tait Nunnally,Nunnally,Tait,RF,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,L,L,55,187,16.4%,32.8%,50.8%,50.8%,16.4%,8.6%,15.6%,18.8%,22.7%,34.4%
86,1143055104,H. Moore,Hayden Moore,Moore,Hayden,CF,Saint Louis University,SLU,2291,St. Louis,BBC,S,R,52,173,25.4%,38.8%,35.8%,50.7%,10.4%,13.4%,19.4%,22.4%,23.9%,20.9%
87,1316274176,T. Johnson,Ty Johnson,Johnson,Ty,CF,Baylor University,BAY,3033,Baylor,BBC,L,R,53,176,15.9%,33.3%,50.7%,50.7%,15.9%,7.2%,13.0%,22.5%,37.7%,19.6%
88,1227161344,M. Gray,Murf Gray,Gray,Murf,3B,Fresno State,FRES,730384384,Fresno State,BBC,R,R,60,241,50.7%,34.9%,14.4%,50.7%,14.4%,30.1%,29.7%,20.6%,15.3%,4.3%
89,1322403840,C. Brady,Cavan Brady,Brady,Cavan,SS,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,47,182,50.7%,20.5%,28.8%,50.7%,28.8%,35.6%,20.5%,13.7%,11.0%,19.2%
90,1216253696,J. Kelly,Jordan Kelly,Kelly,Jordan,RF,Princeton University,PRIN,730198784,Princeton,BBC,L,R,41,122,18.7%,30.7%,50.7%,50.7%,18.7%,6.7%,25.3%,13.3%,24.0%,30.7%
91,1263647744,J. Thorbahn,Jack Thorbahn,Thorbahn,Jack,1B,Stonehill College,SC,730238464,Stonehill,BBC,L,R,52,187,22.8%,26.6%,50.6%,50.6%,22.8%,8.9%,17.7%,15.2%,36.7%,21.5%
92,1257423872,P. Goff,Parker Goff,Goff,Parker,C,Brigham Young University,BYU,730257152,BYU,BBC,R,R,45,141,50.5%,29.9%,19.6%,50.5%,19.6%,33.0%,23.7%,19.6%,14.4%,9.3%
93,1190621184,D. Dickinson,Daniel Dickinson,Dickinson,Daniel,2B,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,68,238,50.5%,30.0%,19.5%,50.5%,19.5%,28.5%,30.0%,17.5%,13.0%,11.0%
94,1257458688,C. Tinney,Carson Tinney,Tinney,Carson,C,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,48,158,50.4%,33.3%,16.2%,50.4%,16.2%,32.5%,25.6%,19.7%,12.0%,10.3%
95,1089571840,J. Doyle,Jacob Doyle,Doyle,Jacob,RF,University of Nevada,NEV,4784,Nevada,BBC,R,R,53,190,50.4%,30.9%,18.7%,50.4%,18.7%,33.3%,22.0%,22.0%,11.4%,11.4%
96,1153713408,A. Walton,Aaron Walton,Walton,Aaron,CF,University of Arizona,ARIZ,232,Arizona,BBC,R,R,65,253,50.2%,36.2%,13.6%,50.2%,13.6%,30.5%,30.0%,22.1%,10.8%,6.6%
97,1204040192,C. Hayslip,Camden Hayslip,Hayslip,Camden,RF,UAB,UAB,730345984,UAB,BBC,L,L,50,185,18.3%,31.7%,50.0%,50.0%,18.3%,7.1%,15.1%,21.4%,23.8%,32.5%
97,1205542912,K. Reinertson,Kade Reinertson,Reinertson,Kade,C,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,43,126,50.0%,30.4%,19.6%,50.0%,19.6%,29.4%,29.4%,14.7%,17.6%,8.8%
97,1293170944,T. OBrien,Timmy OBrien,OBrien,Timmy,1B,Bradley University,BRAD,730253312,Bradley,BBC,R,R,51,185,50.0%,34.4%,15.6%,50.0%,15.6%,25.6%,32.2%,25.6%,13.3%,3.3%
97,1167698432,R. Kozar,Rees Kozar,Kozar,Rees,C,Niagara University,NIAG,730156544,Niagara,BBC,R,R,39,143,50.0%,31.7%,18.3%,50.0%,18.3%,23.3%,41.7%,11.7%,13.3%,10.0%
97,1242501120,J. Niles,Josh Niles,Niles,Josh,3B,Canisius College,CAN,730218752,Canisius,BBC,R,R,39,117,50.0%,36.1%,13.9%,50.0%,13.9%,30.6%,25.0%,25.0%,13.9%,5.6%
97,1322527232,A. Taylor,AJ Taylor,Taylor,A.J.,SS,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,42,166,50.0%,28.4%,21.6%,50.0%,21.6%,27.6%,25.4%,19.4%,20.1%,7.5%
97,1209740289,B. Christensen,Brady Christensen,Christensen,Brady,RF,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,R,49,169,22.7%,27.3%,50.0%,50.0%,22.7%,6.8%,20.5%,9.1%,36.4%,27.3%
97,1310331648,K. Byrd,Kameron Byrd,Byrd,Kameron,RF,Southern University,SOU,4767,Southern,BBC,R,R,41,154,50.0%,25.9%,24.1%,50.0%,24.1%,25.9%,27.8%,16.7%,13.0%,16.7%
97,1279297280,C. Scanlon,Christian Scanlon,Scanlon,Christian,RF,Merrimack College,MRMK,730295552,Merrimack,BBC,L,L,49,151,18.2%,31.8%,50.0%,50.0%,18.2%,4.5%,15.9%,18.2%,36.4%,25.0%
97,1163965026,D. Reynolds,Drew Reynolds,Reynolds,Drew,1B,University of Maine,ME,730275840,Maine,BBC,L,R,46,173,21.6%,28.4%,50.0%,50.0%,21.6%,14.7%,10.3%,13.8%,33.6%,27.6%
97,1295264227,G. Olson,Griffin Olson,Olson,Griffin,3B,Morehead State University,MORE,730158080,Morehead State,BBC,L,R,52,188,19.1%,30.9%,50.0%,50.0%,19.1%,7.4%,14.9%,19.1%,25.5%,33.0%
97,1624172059,D. Kenealy,Damion Kenealy,Kenealy,Damion,1B,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,49,187,50.0%,31.6%,18.4%,50.0%,18.4%,26.5%,33.1%,16.2%,15.4%,8.8%
97,1233030622,T. Hawsey,Trey Hawsey,Hawsey,Trey,1B,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,L,49,156,25.0%,25.0%,50.0%,50.0%,25.0%,15.5%,12.9%,18.1%,22.4%,31.0%
97,1341082951,T. Bates,Taj Bates,Bates,Taj,3B,Southern University,SOU,4767,Southern,BBC,R,R,44,176,50.0%,32.9%,17.1%,50.0%,17.1%,32.9%,25.7%,17.1%,15.7%,8.6%
97,1508248254,K. Brookins,Kendall Brookins,Brookins,Kendall,CF,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,L,L,39,128,12.5%,37.5%,50.0%,50.0%,12.5%,0.0%,12.5%,37.5%,12.5%,37.5%
