Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,InZone%,High%,VMid%,Low%,UpHalf%,LowHalf%,Inside%,HMid%,Outside%,InHalf%,OutHalf%
1233,1275426560,J. Waldon,JT Waldon,Waldon,JT,1B,University of the Pacific,PAC,730386944,Pacific,BBC,L,L,52,208,834,46.6%,28.4%,28.3%,43.2%,39.2%,60.8%,25.7%,24.5%,49.8%,37.6%,62.4%
1233,1099161088,G. Sotomayor,Griffen Sotomayor,Sotomayor,Griffen,1B,Fresno State,FRES,730384384,Fresno State,BBC,R,R,52,234,838,46.6%,28.8%,28.8%,42.4%,42.5%,57.5%,28.2%,23.9%,47.9%,39.4%,60.6%
1233,1141017344,A. Rivera,Angel Rivera,Rivera,Angel,C,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,42,152,440,46.6%,25.5%,25.2%,49.3%,38.3%,61.7%,21.0%,21.7%,57.2%,33.1%,66.9%
1236,1238179072,L. Devenport,Logen Devenport,Devenport,Logen,CF,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,46,215,872,46.6%,25.4%,25.1%,49.5%,37.4%,62.6%,22.1%,26.3%,51.6%,33.3%,66.7%
1237,1342167366,J. Sheffield,Jeremy Sheffield,Sheffield,Jeremy,3B,Georgetown University,GTWN,2330,Georgetown,BBC,R,R,54,225,851,46.6%,29.7%,30.3%,40.1%,46.4%,53.6%,17.5%,26.1%,56.4%,27.7%,72.3%
1238,1205036800,T. Eisenstat,Tommy Eisenstat,Eisenstat,Tommy,1B,Gonzaga University,GONZ,730200832,Gonzaga,BBC,L,R,53,238,897,46.6%,31.1%,29.7%,39.2%,44.8%,55.2%,21.2%,24.2%,54.6%,33.1%,66.9%
1238,1191743488,L. Hughes,Logan Hughes,Hughes,Logan,LF,Texas Tech University,TTU,2350,Texas Tech,BBC,L,L,52,246,866,46.6%,26.1%,27.7%,46.2%,37.6%,62.4%,29.8%,24.4%,45.8%,41.3%,58.7%
1240,1324737280,J. Perry,Jake Perry,Perry,Jake,3B,University of Minnesota,MINN,4864,Minnesota,BBC,L,R,44,161,573,46.6%,29.0%,32.2%,38.8%,44.8%,55.2%,31.3%,23.9%,44.8%,41.5%,58.5%
1241,1139726848,J. Humphrey,Jacob Humphrey,Humphrey,Jacob,RF,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,R,50,190,678,46.6%,29.3%,22.5%,48.2%,41.0%,59.0%,29.9%,23.8%,46.3%,41.4%,58.6%
1242,1334935552,L. Gaffney,Luke Gaffney,Gaffney,Luke,1B,Clemson University,CLEM,730358784,Clemson,BBC,R,R,53,228,819,46.6%,29.0%,27.3%,43.7%,42.3%,57.7%,32.2%,22.2%,45.6%,41.9%,58.1%
1242,1882429176,J. Beebe,Jared Beebe,Beebe,Jared,1B,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,53,263,888,46.6%,37.8%,28.2%,34.0%,52.9%,47.1%,23.2%,27.1%,49.7%,35.1%,64.9%
1244,1245161472,A. Lugo,Aaron Lugo,Lugo,Aaron,3B,University of Houston,HOU,3030,Houston,BBC,R,R,54,225,817,46.6%,29.2%,29.0%,41.8%,43.7%,56.3%,29.9%,22.7%,47.4%,41.9%,58.1%
1245,1169397760,B. Ham,Billy Ham,Ham,Billy,1B,University of Nevada,NEV,4784,Nevada,BBC,L,R,54,236,881,46.6%,31.7%,28.1%,40.2%,44.5%,55.5%,23.7%,22.2%,54.2%,33.1%,66.9%
