Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,Swing#,Miss#,Strike#,InPlay#,Foul#,InZone#,Chase#,CallStrk#
1740,1334287616,G. Roessler,Gabe Roessler,Roessler,Gabe,SS,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,59,288,1033,374,41,602,213,120,438,68,228
1740,1263704064,D. Nevar,Dylan Nevar,Nevar,Dylan,LF,Western Michigan University,WMU,730165248,Western Michigan,BBC,L,L,50,228,894,374,85,535,154,135,438,91,161
1749,1156909056,J. Lewis,Jeriah Lewis,Lewis,Jeriah,CF,San Jose State University,SJSU,730206720,San Jose State,BBC,L,R,59,258,1021,489,132,633,163,194,439,139,144
1749,1204862208,M. Stellrecht,Mike Stellrecht,Stellrecht,Mike,SS,Binghamton University,BING,730155776,Binghamton,BBC,S,R,55,229,888,394,98,547,148,148,439,89,153
1749,1097562368,B. Nigh,Brandon Nigh,Nigh,Brandon,SS,Oakland University,OAK,5386,Oakland,BBC,R,R,60,283,1071,439,86,636,176,177,439,107,197
1749,1075201536,C. Smith,Christian Smith,Smith,Christian,LF,High Point University,HP,730321152,High Point,BBC,L,L,58,252,1069,442,114,622,143,185,439,134,180
1749,1717911281,D. Arambula,Daniel Arambula,Arambula,Daniel,3B,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,59,254,979,410,89,607,185,136,439,109,197
1754,1260756992,D. Bargo,Dalton Bargo,Bargo,Dalton,LF,University of Tennessee,TENN,730153728,Tennessee,BBC,L,R,62,236,951,488,142,605,141,205,440,144,117
1754,1336599040,J. Shields,Jonah Shields,Shields,Jonah,2B,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,54,249,958,353,67,548,179,107,440,65,195
1754,1266603520,T. Dooley,Ty Dooley,Dooley,Ty,SS,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,L,R,54,223,932,340,73,562,132,135,440,103,222
1754,1141430784,M. Brooks,Michael Brooks,Brooks,Michael,3B,University of Kansas,KU,730360064,Kansas,BBC,R,R,60,272,1060,402,85,574,172,145,440,123,172
1754,1122512640,B. Calloway,Bryce Calloway,Calloway,Bryce,TWP,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,54,244,958,402,121,568,146,135,440,91,166
1754,1273293056,C. Moore,Connor Moore,Moore,Connor,LF,University of North Florida,UNF,730296832,North Florida,BBC,R,R,55,246,915,458,110,582,182,166,440,121,124
1754,1354194566,A. Kirchner,Andrew Kirchner,Kirchner,Andrew,1B,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,L,R,56,267,996,504,176,642,175,153,440,168,138
1761,1176027648,A. Raygoza,Armani Raygoza,Raygoza,Armani,1B,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,L,R,53,247,935,450,109,579,171,170,441,127,129
1761,1176047872,E. Moomau,Easton Moomau,Moomau,Easton,3B,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,L,R,54,257,994,414,40,600,194,180,441,122,186
