Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,4Seam%,Sink2Seam%,Cutter%,Slider%,Curve%,Change%,Split%,Sweeper%,Unknown%,FastSink%,Soft%,Break%
308,1238288640,C. Sanchez,Cade Sanchez,Sanchez,Cade,2B,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,R,R,51,224,800,55.4%,2.7%,3.5%,10.3%,19.9%,7.8%,0.3%,0.1%,10.6%,58.0%,38.5%,30.3%
309,1135092480,B. Fierenzi,Ben Fierenzi,Fierenzi,Ben,SS,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,41,192,690,55.4%,2.2%,2.5%,23.3%,9.2%,7.2%,0.2%,0.0%,25.9%,57.5%,39.9%,32.5%
310,1182011904,B. Sullivan,Braden Sullivan,Sullivan,Braden,2B,University of Massachusetts,MASS,5451,UMass,BBC,R,R,44,192,780,55.4%,2.1%,2.4%,25.7%,8.9%,5.5%,0.0%,0.0%,51.2%,57.5%,40.2%,34.6%
311,1471652542,J. Daly,Jamie Daly,Daly,Jamie,CF,Davidson College,DAV,730363136,Davidson,BBC,L,R,50,211,890,55.4%,7.8%,1.9%,16.6%,6.3%,11.2%,0.4%,0.5%,9.1%,63.2%,35.0%,23.4%
312,1099412224,T. Recchio,Tanner Recchio,Recchio,Tanner,2B,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,R,48,229,822,55.4%,8.3%,2.6%,19.9%,6.1%,5.9%,0.6%,1.2%,40.0%,63.7%,33.7%,27.2%
313,1701939516,A. Nanez,Antonio Nanez,Nanez,Antonio,2B,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,59,242,869,55.4%,3.0%,3.4%,23.9%,6.1%,8.2%,0.0%,0.0%,15.4%,58.4%,38.2%,30.1%
314,1227836160,W. Gallagher,Will Gallagher,Gallagher,Will,TWP,Rider University,RID,730174976,Rider,BBC,R,R,52,222,723,55.4%,5.6%,3.0%,26.2%,6.0%,3.4%,0.4%,0.0%,67.8%,60.9%,36.1%,32.2%
315,1625677173,C. Martin,Cade Martin,Martin,Cade,C,Little Rock,UALR,730217472,Little Rock,BBC,R,R,50,197,746,55.4%,2.2%,2.9%,23.5%,9.0%,6.5%,0.4%,0.0%,3.6%,57.6%,39.5%,32.5%
316,1967439649,M. DAmato,Matt DAmato,DAmato,Matt,LF,Bryant University,BRY,730266880,Bryant,BBC,L,R,49,214,827,55.3%,7.8%,2.2%,16.4%,3.0%,13.5%,1.6%,0.1%,18.3%,63.2%,34.6%,19.5%
317,1077702912,D. Marshall,David Marshall,Marshall,David,2B,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,S,R,49,231,829,55.3%,4.3%,1.6%,21.7%,5.0%,11.7%,0.3%,0.0%,25.0%,59.6%,38.7%,26.7%
318,1342168678,A. Howard,Aden Howard,Howard,Aden,CF,University of San Diego,USD,5320,San Diego,BBC,S,R,56,234,854,55.3%,1.9%,2.5%,15.1%,7.6%,15.8%,0.8%,1.1%,0.5%,57.2%,40.4%,23.8%
318,1605117576,C. Doughty,Chanz Doughty,Doughty,Chanz,RF,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,49,202,733,55.3%,3.1%,4.1%,22.4%,7.6%,6.7%,0.2%,0.6%,30.4%,58.4%,37.5%,30.6%
320,1223994880,C. Brumbaugh,Cayden Brumbaugh,Brumbaugh,Cayden,2B,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,61,287,1097,55.3%,4.0%,4.7%,21.4%,5.5%,8.1%,0.2%,0.8%,0.0%,59.3%,35.9%,27.6%
321,1714474887,L. DiBeradin,Landon DiBeradin,DiBeradin,Landon,C,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,48,198,692,55.3%,2.9%,3.4%,22.6%,5.8%,10.1%,0.0%,0.0%,69.9%,58.2%,38.5%,28.4%
322,1309501696,K. Morse,Krayton Morse,Morse,Krayton,C,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,47,217,726,55.3%,5.5%,4.0%,20.6%,5.8%,7.0%,1.5%,0.3%,45.2%,60.8%,35.2%,26.6%
323,1266488832,C. Blauser,Cooper Blauser,Blauser,Cooper,2B,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,R,R,61,278,1077,55.3%,4.4%,2.8%,21.9%,6.8%,7.8%,1.0%,0.0%,1.0%,59.7%,37.5%,28.7%
324,1162228480,B. Slanker,Ben Slanker,Slanker,Ben,RF,Ohio University,OHIO,730298368,Ohio,BBC,L,R,50,239,994,55.2%,2.0%,3.5%,18.1%,6.2%,14.6%,0.3%,0.0%,39.4%,57.2%,39.3%,24.3%
325,1141524224,M. Henning,Mark Henning,Henning,Mark,1B,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,L,R,45,203,673,55.2%,3.3%,0.9%,15.4%,6.9%,18.3%,0.0%,0.0%,33.3%,58.6%,40.5%,22.3%
326,1248381322,M. McGann,Matt McGann,McGann,Matt,C,Oakland University,OAK,5386,Oakland,BBC,R,R,48,215,801,55.2%,0.3%,5.3%,20.9%,8.9%,8.9%,0.3%,0.0%,22.5%,55.6%,39.1%,30.0%
327,1123956992,T. Gillen,Tate Gillen,Gillen,Tate,CF,Creighton University,CREI,730243840,Creighton,BBC,L,L,59,292,1121,55.2%,5.3%,2.2%,19.2%,5.6%,11.7%,0.9%,0.0%,8.7%,60.5%,37.3%,24.7%
328,1318766080,E. Schwartz,Ellis Schwartz,Schwartz,Ellis,CF,George Washington University,GW,730249216,George Washington,BBC,L,L,53,253,979,55.2%,3.2%,2.0%,20.6%,6.8%,10.8%,0.8%,0.6%,13.1%,58.4%,39.6%,28.0%
329,1286155776,B. OSullivan,Brenden OSullivan,OSullivan,Brenden,1B,UNLV,UNLV,730161664,UNLV,BBC,R,R,47,194,750,55.2%,1.8%,9.6%,18.9%,5.3%,8.4%,0.0%,0.8%,1.7%,57.0%,33.4%,25.0%
330,1342167035,B. Stang,Bobby Stang,Stang,Bobby,C,University of Dayton,DAY,730194688,Dayton,BBC,R,R,48,199,775,55.2%,0.2%,1.3%,28.8%,6.2%,6.4%,2.0%,0.0%,20.8%,55.4%,43.3%,35.0%
331,1214619904,C. Bishop,Casey Bishop,Bishop,Casey,2B,Towson University,TOWS,730318336,Towson,BBC,R,R,50,181,566,55.2%,2.4%,4.4%,26.6%,5.3%,5.5%,0.4%,0.0%,20.3%,57.6%,37.9%,31.9%
332,1182582784,T. Hillier,Three Hillier,Hillier,Three,C,High Point University,HP,730321152,High Point,BBC,L,R,54,232,866,55.2%,7.4%,1.7%,17.2%,4.8%,13.5%,0.1%,0.0%,3.6%,62.6%,35.7%,22.0%
333,1162512128,T. Lyssy,Thomas Lyssy,Lyssy,Thomas,3B,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,L,R,48,215,691,55.2%,5.4%,1.8%,14.9%,9.7%,12.6%,0.5%,0.0%,35.7%,60.6%,37.6%,24.5%
334,1301085696,B. Greer,Benjamin Greer,Greer,Benjamin,2B,Abilene Christian University,AC,730375936,Abilene Christian,BBC,S,R,57,265,1059,55.2%,4.6%,4.3%,15.3%,4.9%,15.4%,0.4%,0.0%,11.5%,59.8%,36.0%,20.2%
335,1516396414,T. Bass,Tyson Bass,Bass,Tyson,RF,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,61,273,1087,55.2%,3.1%,6.3%,15.0%,7.6%,12.1%,0.0%,0.7%,0.0%,58.3%,35.5%,23.4%
336,1155638016,E. Saldivar,Eddie Saldivar,Saldivar,Eddie,2B,Fresno State,FRES,730384384,Fresno State,BBC,L,R,58,283,926,55.1%,2.3%,4.6%,17.2%,6.8%,13.2%,0.3%,0.3%,2.1%,57.4%,37.9%,24.4%
337,1322872064,D. Amaral,Dre Amaral,Amaral,Dre,SS,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,48,203,568,55.1%,0.4%,0.7%,22.1%,7.2%,14.5%,0.0%,0.0%,51.4%,55.4%,43.8%,29.3%
338,1324444929,K. Halligan,Katcher Halligan,Halligan,Katcher,1B,Houston Christian University,HCU,730157824,Houston Christian,BBC,L,L,57,246,803,55.1%,4.4%,2.1%,21.3%,7.1%,8.9%,1.1%,0.0%,29.9%,59.5%,38.4%,28.4%
339,1259726848,J. Nunez,Julian Nunez,Nunez,Julian,3B,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,53,224,817,55.1%,3.6%,3.6%,21.9%,5.8%,9.9%,0.0%,0.1%,9.3%,58.7%,37.7%,27.8%
340,1212862976,S. Lancia,Steven Lancia,Lancia,Steven,C,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,48,211,833,55.0%,2.6%,1.3%,26.0%,6.4%,8.3%,0.4%,0.0%,8.4%,57.7%,41.0%,32.4%
341,1126847744,K. Irvin,Karson Irvin,Irvin,Karson,CF,Nicholls State University,NICH,730284032,Nicholls State,BBC,L,R,49,219,823,55.0%,2.9%,0.3%,21.1%,8.8%,11.1%,0.8%,0.0%,4.9%,58.0%,41.8%,29.9%
342,1838954047,J. Laskofski,Jamie Laskofski,Laskofski,Jamie,3B,College of William & Mary,WM,730232064,William & Mary,BBC,L,R,55,246,880,55.0%,3.1%,5.9%,17.9%,5.6%,11.5%,0.6%,0.4%,8.6%,58.2%,36.0%,23.9%
343,1544331058,M. Carter,Merik Carter,Carter,Merik,2B,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,L,R,48,219,865,55.0%,4.1%,3.3%,15.4%,8.6%,13.1%,0.5%,0.0%,4.6%,59.2%,37.6%,24.0%
344,1330724096,T. Takats,TJ Takats,Takats,TJ,CF,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,L,L,40,194,761,55.0%,1.4%,2.5%,18.2%,4.7%,17.9%,0.0%,0.0%,53.0%,56.4%,41.1%,23.2%
345,1418555165,R. Beheler,Reese Beheler,Beheler,Reese,1B,Lamar University,LAM,730162432,Lamar,BBC,L,R,48,210,780,55.0%,6.1%,1.4%,14.9%,5.8%,15.6%,0.8%,0.3%,0.5%,61.1%,37.5%,21.1%
346,1590045009,Z. Goodwin,Zak Goodwin,Goodwin,Zak,C,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,L,R,39,177,707,55.0%,8.3%,4.3%,14.2%,5.5%,12.3%,0.4%,0.0%,25.2%,63.3%,32.3%,19.7%
347,1162593536,S. Sakaino,Shunsuke Sakaino,Sakaino,Shunsuke,2B,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,R,56,263,929,55.0%,5.2%,1.5%,21.9%,4.5%,7.6%,0.6%,3.7%,50.3%,60.2%,38.3%,30.1%
348,1263100160,R. Liddington,Robbie Liddington,Liddington,Robbie,1B,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,L,50,241,824,55.0%,4.7%,1.8%,23.3%,9.7%,5.3%,0.2%,0.0%,40.2%,59.6%,38.5%,33.1%
349,1168411393,C. Iriotakis,Charlie Iriotakis,Iriotakis,Charlie,RF,College of William & Mary,WM,730232064,William & Mary,BBC,L,R,54,222,811,55.0%,1.6%,4.2%,19.3%,8.0%,10.7%,0.4%,0.7%,9.4%,56.6%,39.2%,28.0%
350,1180135944,P. Blackman,Parker Blackman,Blackman,Parker,CF,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,L,55,226,845,54.9%,2.2%,6.1%,12.1%,9.9%,13.3%,1.4%,0.0%,41.4%,57.2%,36.8%,22.0%
351,1088448768,M. Dobie,Mason Dobie,Dobie,Mason,1B,University of Dayton,DAY,730194688,Dayton,BBC,L,R,57,256,895,54.9%,0.1%,1.8%,25.1%,6.6%,9.6%,1.8%,0.0%,18.7%,55.1%,43.1%,31.7%
352,1143107328,P. Lester,Parker Lester,Lester,Parker,1B,Mercer University,MER,730240512,Mercer,BBC,L,R,59,263,1019,54.9%,1.5%,2.3%,18.0%,6.0%,16.9%,0.2%,0.0%,2.6%,56.5%,41.2%,24.1%
353,1200816384,E. Pelayo,Elijah Pelayo,Pelayo,Elijah,SS,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,56,232,885,54.9%,4.0%,4.8%,24.7%,3.8%,6.9%,0.5%,0.3%,10.5%,59.0%,36.2%,28.8%
354,1302783489,J. Perez,Jaime Perez,Perez,Jaime,C,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,48,215,781,54.9%,2.3%,1.0%,27.5%,5.9%,8.4%,0.0%,0.0%,21.9%,57.2%,41.8%,33.4%
355,1100789760,B. Wooldridge,Braydon Wooldridge,Wooldridge,Braydon,TWP,UC Davis,UCD,730153984,UC Davis,BBC,L,L,53,221,804,54.9%,6.7%,2.8%,15.2%,7.0%,12.1%,0.1%,0.9%,3.7%,61.6%,35.5%,23.3%
356,1434089284,A. Barrist,Alex Barrist,Barrist,Alex,2B,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,47,204,713,54.9%,6.6%,4.3%,23.5%,4.0%,6.6%,0.0%,0.0%,2.7%,61.5%,34.1%,27.5%
357,1939568033,C. Lorch,Carson Lorch,Lorch,Carson,3B,Tarleton State University,TAR,730236416,Tarleton State,BBC,R,R,42,179,637,54.9%,1.7%,1.2%,23.6%,8.6%,9.6%,0.3%,0.0%,10.2%,56.6%,42.1%,32.2%
358,1645393576,M. Collins,Mitchell Collins,Collins,Mitchell,SS,University of North Florida,UNF,730296832,North Florida,BBC,L,R,54,225,920,54.9%,7.5%,2.7%,14.4%,4.5%,15.6%,0.4%,0.0%,22.2%,62.4%,34.9%,18.9%
359,1266377728,C. Brown,Chris Brown,Brown,Chris,3B,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,R,R,48,224,773,54.9%,1.3%,0.4%,31.0%,2.2%,9.3%,0.9%,0.0%,70.8%,56.2%,43.4%,33.2%
360,1090286592,J. Doyle,Jack Doyle,Doyle,Jack,3B,Northeastern University,NE,343,Northeastern,BBC,R,R,47,190,729,54.8%,2.9%,5.9%,21.1%,4.7%,8.8%,0.0%,1.7%,20.7%,57.8%,36.3%,27.5%
361,1119242496,J. Whitlinger,Jake Whitlinger,Whitlinger,Jake,CF,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,48,221,786,54.8%,1.1%,3.3%,27.9%,3.8%,8.8%,0.1%,0.0%,10.7%,56.0%,40.7%,31.8%
362,1084459776,C. Coates,Colton Coates,Coates,Colton,1B,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,R,R,56,263,1004,54.8%,3.4%,3.7%,14.8%,5.0%,17.3%,0.9%,0.0%,9.2%,58.2%,38.0%,19.8%
363,1299946496,M. Jackson,Miles Jackson,Jackson,Miles,LF,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,41,174,460,54.8%,0.5%,0.0%,20.7%,9.1%,14.9%,0.0%,0.0%,54.8%,55.3%,44.7%,29.8%
364,1280568832,J. Gustafson,Jaden Gustafson,Gustafson,Jaden,LF,Wichita State University,WICH,730203904,Wichita State,BBC,L,L,54,208,811,54.8%,5.9%,4.4%,19.3%,4.4%,10.6%,0.6%,0.0%,3.7%,60.7%,35.0%,23.7%
365,1085293568,G. Donohue,Gavin Donohue,Donohue,Gavin,SS,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,51,252,875,54.8%,6.5%,3.1%,22.0%,6.2%,6.2%,1.2%,0.0%,63.1%,61.3%,35.6%,28.2%
366,1577654543,A. Walters,Andrew Walters,Walters,Andrew,3B,California Baptist University,CBU,5091,California Baptist,BBC,R,R,52,216,806,54.8%,4.0%,3.2%,17.4%,9.1%,11.0%,0.4%,0.1%,1.7%,58.8%,38.0%,26.6%
367,1391696428,G. Gandy,Gus Gandy,Gandy,Gus,SS,Samford University,SAM,730386432,Samford,BBC,R,R,54,220,759,54.8%,2.9%,2.6%,26.8%,7.0%,5.8%,0.1%,0.0%,9.1%,57.7%,39.7%,33.8%
368,1237055488,C. Larson,Connor Larson,Larson,Connor,SS,University of Richmond,RICH,730171904,Richmond,BBC,R,R,50,187,664,54.8%,7.3%,2.1%,23.0%,5.2%,7.5%,0.2%,0.0%,7.1%,62.1%,35.8%,28.2%
369,1122512640,B. Calloway,Bryce Calloway,Calloway,Bryce,TWP,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,54,244,958,54.8%,1.3%,0.1%,21.4%,12.4%,8.9%,0.8%,0.0%,12.3%,56.1%,43.8%,34.0%
370,1187663360,A. Seguine,Alex Seguine,Seguine,Alex,SS,Little Rock,UALR,730217472,Little Rock,BBC,R,R,59,271,1059,54.7%,4.1%,4.0%,21.2%,8.5%,7.0%,0.5%,0.0%,6.2%,58.9%,37.1%,29.6%
371,1307928448,C. Miller,Caden Miller,Miller,Caden,1B,UTSA,UTSA,730373120,UTSA,BBC,L,R,59,257,1027,54.7%,3.0%,5.7%,15.5%,7.4%,13.3%,0.4%,0.0%,0.1%,57.8%,36.6%,22.9%
372,1281616129,H. Shupe,Hudson Shupe,Shupe,Hudson,2B,Gonzaga University,GONZ,730200832,Gonzaga,BBC,L,R,53,250,915,54.7%,1.3%,4.1%,20.2%,7.6%,11.8%,0.2%,0.0%,7.5%,56.0%,39.8%,27.8%
373,1309347584,P. Berstein,Philip Berstein,Berstein,Philip,RF,University of Richmond,RICH,730171904,Richmond,BBC,L,R,43,198,783,54.7%,6.5%,2.7%,18.7%,5.0%,11.5%,0.7%,0.1%,5.2%,61.2%,36.1%,24.0%
374,1209232640,R. Hernandez,Ryder Hernandez,Hernandez,Ryder,SS,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,R,48,202,764,54.7%,4.7%,3.3%,21.0%,7.1%,9.2%,0.0%,0.0%,35.9%,59.4%,37.3%,28.2%
375,1180845312,K. Ashworth,Kyle Ashworth,Ashworth,Kyle,RF,Long Beach State University,LBSU,730224128,Long Beach State,BBC,L,R,52,242,1023,54.7%,7.3%,1.5%,17.7%,5.5%,11.9%,0.3%,1.1%,8.1%,62.0%,36.5%,24.3%
376,1178085632,F. Ingersoll,Fisher Ingersoll,Ingersoll,Fisher,SS,Nicholls State University,NICH,730284032,Nicholls State,BBC,L,R,41,155,637,54.7%,4.7%,0.2%,21.4%,6.5%,12.1%,0.3%,0.0%,4.1%,59.4%,40.4%,28.0%
377,1167266816,S. Penney,Scott Penney,Penney,Scott,2B,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,R,56,238,954,54.6%,6.0%,3.9%,18.0%,3.4%,13.0%,1.0%,0.0%,7.5%,60.7%,35.5%,21.4%
378,1262020096,M. Namie,Mitch Namie,Namie,Mitch,LF,New Mexico State University,NMSU,730302720,New Mexico State,BBC,L,R,55,258,979,54.6%,3.8%,4.0%,18.4%,3.3%,15.0%,0.6%,0.3%,7.7%,58.4%,37.6%,22.0%
379,1552347049,C. Prince,Cooper Prince,Prince,Cooper,CF,University of West Georgia,UOWG,730308864,West Georgia,BBC,L,R,50,226,820,54.6%,13.4%,1.0%,13.1%,5.8%,11.7%,0.3%,0.0%,64.5%,68.0%,30.9%,18.9%
380,1367875521,W. Perez,Wilbert Perez,Perez,Wilbert,1B,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,49,218,639,54.6%,0.2%,0.7%,25.4%,7.6%,11.4%,0.0%,0.0%,34.1%,54.9%,44.4%,33.0%
381,1336600320,A. Potestio,Anthony Potestio,Potestio,Anthony,SS,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,R,40,203,808,54.6%,5.2%,2.9%,19.3%,6.1%,10.8%,0.8%,0.4%,2.4%,59.8%,37.3%,25.7%
382,1294345728,S. Stephenson,Sam Stephenson,Stephenson,Sam,SS,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,56,270,997,54.6%,2.3%,1.6%,24.8%,9.7%,6.9%,0.0%,0.0%,14.2%,57.0%,41.4%,34.5%
383,1100780800,J. Kuczik,JP Kuczik,Kuczik,JP,C,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,48,194,652,54.6%,7.8%,0.7%,24.5%,3.5%,8.5%,0.4%,0.0%,56.7%,62.4%,36.9%,28.0%
384,1246725888,E. Pelc,Eddy Pelc,Pelc,Eddy,CF,Grand Canyon University,GC,5310,Grand Canyon,BBC,L,L,58,268,1106,54.6%,4.9%,2.6%,19.6%,4.7%,12.6%,1.0%,0.0%,7.4%,59.5%,37.9%,24.3%
385,1108626176,H. Zipay,Henry Zipay,Zipay,Henry,3B,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,L,R,48,225,797,54.6%,5.1%,1.9%,19.9%,5.1%,12.9%,0.3%,0.2%,19.3%,59.7%,38.4%,25.2%
386,1083611136,W. Clark,Wallace Clark,Clark,Wallace,SS,Duke University,DUKE,730336256,Duke,BBC,S,R,60,302,1169,54.6%,5.9%,4.3%,15.1%,4.6%,14.4%,1.0%,0.0%,1.1%,60.5%,35.2%,19.7%
387,1205518848,M. Diaz,Michael Diaz,Diaz,Michael,LF,Grand Canyon University,GC,5310,Grand Canyon,BBC,L,R,52,200,834,54.6%,5.0%,1.3%,20.6%,6.4%,11.8%,0.3%,0.0%,10.6%,59.5%,39.1%,27.1%
388,1140384256,B. Daniels,Brady Daniels,Daniels,Brady,CF,Delaware State University,DSU,730217984,Delaware State,BBC,S,R,38,150,477,54.5%,0.0%,0.0%,21.8%,0.0%,23.6%,0.0%,0.0%,88.5%,54.5%,45.5%,21.8%
388,1231043840,T. Yaghoubi,Tank Yaghoubi,Yaghoubi,Tank,CF,Elon University,ELON,730252544,Elon,BBC,L,L,56,233,900,54.5%,10.3%,3.3%,15.2%,5.2%,11.1%,0.4%,0.0%,1.0%,64.9%,31.9%,20.3%
390,1648612133,N. Noonan,Nevan Noonan,Noonan,Nevan,1B,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,59,266,981,54.5%,1.6%,3.1%,22.2%,8.1%,10.4%,0.1%,0.0%,3.4%,56.1%,40.8%,30.3%
391,1563728805,A. Kelsey,Alex Kelsey,Kelsey,Alex,CF,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,L,L,51,253,1001,54.5%,6.7%,1.8%,17.7%,5.4%,12.1%,1.3%,0.4%,9.5%,61.3%,37.0%,23.5%
392,1336599040,J. Shields,Jonah Shields,Shields,Jonah,2B,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,54,249,958,54.5%,5.8%,2.9%,23.4%,3.6%,9.0%,0.8%,0.0%,23.8%,60.3%,36.8%,27.0%
393,1876553123,K. Holiday,Khi Holiday,Holiday,Khi,CF,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,56,272,1040,54.5%,2.1%,4.8%,24.9%,5.7%,8.1%,0.0%,0.0%,25.4%,56.6%,38.7%,30.5%
394,1201797120,J. Cannon,Jack Cannon,Cannon,Jack,LF,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,L,38,169,606,54.5%,1.7%,1.7%,29.2%,5.6%,6.7%,0.0%,0.6%,70.6%,56.2%,42.1%,35.4%
395,1299566848,K. Amaro,Kristian Amaro,Amaro,Kristian,C,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,S,R,42,162,611,54.5%,4.5%,1.7%,14.5%,4.5%,17.9%,2.4%,0.0%,23.4%,59.0%,39.3%,19.0%
395,1374148127,T. Denet,Tim Denet,Denet,Tim,3B,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,44,199,739,54.5%,0.0%,5.8%,23.7%,5.1%,10.9%,0.0%,0.0%,78.9%,54.5%,39.7%,28.8%
397,1614022593,S. Hardcastle,Sam Hardcastle,Hardcastle,Sam,3B,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,46,185,707,54.4%,3.6%,6.7%,20.7%,4.2%,10.1%,0.2%,0.0%,9.1%,58.0%,35.3%,25.0%
398,1279541248,B. Martin,Brayden Martin,Martin,Brayden,2B,University of Maryland-College Park,MD,730172928,Maryland,BBC,L,R,56,279,1161,54.4%,8.6%,5.1%,15.2%,6.6%,9.9%,0.1%,0.1%,6.3%,63.1%,31.9%,21.9%
399,1138590720,E. Cloyd,Evan Cloyd,Cloyd,Evan,1B,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,54,245,860,54.4%,3.6%,4.5%,21.9%,6.3%,7.3%,1.6%,0.4%,10.2%,58.0%,37.4%,28.6%
400,1057497695,T. Clay,Todd Clay,Clay,Todd,3B,UAB,UAB,730345984,UAB,BBC,R,R,53,239,1019,54.4%,2.5%,6.4%,24.7%,4.2%,7.4%,0.4%,0.0%,2.9%,56.9%,36.7%,28.9%
401,1330702592,C. Capece,Connor Capece,Capece,Connor,C,Creighton University,CREI,730243840,Creighton,BBC,R,R,50,201,754,54.4%,4.0%,3.9%,23.8%,5.2%,8.5%,0.1%,0.0%,11.0%,58.4%,37.7%,29.1%
402,1306879489,D. Ruiz,Damian Ruiz,Ruiz,Damian,RF,Lamar University,LAM,730162432,Lamar,BBC,R,R,56,274,1052,54.4%,6.8%,2.2%,22.5%,6.6%,6.9%,0.4%,0.3%,5.8%,61.2%,36.6%,29.4%
403,1137355264,T. Neuer,Trenton Neuer,Neuer,Trenton,LF,Ohio University,OHIO,730298368,Ohio,BBC,R,R,45,180,673,54.4%,2.7%,4.9%,25.2%,6.8%,6.1%,0.0%,0.0%,38.8%,57.0%,38.1%,32.0%
404,1204862208,M. Stellrecht,Mike Stellrecht,Stellrecht,Mike,SS,Binghamton University,BING,730155776,Binghamton,BBC,S,R,55,229,888,54.4%,9.2%,3.2%,15.5%,2.7%,14.6%,0.1%,0.3%,15.9%,63.6%,33.2%,18.5%
405,1238179072,L. Devenport,Logen Devenport,Devenport,Logen,CF,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,46,215,872,54.3%,4.6%,2.6%,11.9%,17.0%,9.6%,0.0%,0.0%,20.9%,59.0%,38.4%,28.8%
406,1239350528,M. Maulik,Matthew Maulik,Maulik,Matthew,3B,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,L,R,44,193,654,54.3%,5.6%,3.9%,19.6%,4.8%,9.0%,1.4%,1.4%,45.4%,59.9%,36.1%,25.8%
407,1028221213,R. Harmon,Reese Harmon,Harmon,Reese,3B,Seattle University,SEA,4504,Seattle,BBC,L,R,52,228,817,54.3%,1.3%,0.3%,15.7%,8.5%,18.8%,1.1%,0.0%,13.5%,55.6%,44.1%,24.2%
408,1279296512,C. Maldonado,Cam Maldonado,Maldonado,Cam,CF,Northeastern University,NE,343,Northeastern,BBC,R,R,60,272,1085,54.3%,2.7%,3.7%,22.1%,6.5%,9.9%,0.2%,0.6%,17.4%,57.0%,39.3%,29.2%
409,1341412096,C. Kleinman,Casey Kleinman,Kleinman,Casey,SS,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,42,180,647,54.3%,12.3%,0.9%,20.3%,6.8%,5.1%,0.4%,0.0%,11.7%,66.5%,32.6%,27.1%
410,1242501120,J. Niles,Josh Niles,Niles,Josh,3B,Canisius College,CAN,730218752,Canisius,BBC,R,R,39,145,469,54.3%,6.4%,3.2%,19.1%,2.1%,14.9%,0.0%,0.0%,80.0%,60.6%,36.2%,21.3%
411,1220193792,C. Davalan,Charles Davalan,Davalan,Charles,LF,University of Arkansas,ARK,3375,Arkansas,BBC,L,R,65,317,1187,54.2%,2.0%,6.4%,14.7%,6.7%,15.0%,0.9%,0.0%,1.8%,56.2%,37.3%,21.4%
