Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,1B%,x1B%,x1B%Df,2B%,x2B%,x2B%Df,3B%,x3B%,x3B%Df,HR%,xHR%,xHR%Df,XBH%,xXBH%,xXBH%Df
369,1912854991,D. Longo,Dom Longo,Longo,Dom,3B,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,61,282,15.2%,16.4%,-1.2%,6.0%,5.6%,0.4%,1.1%,0.5%,0.5%,3.9%,4.4%,-0.5%,11.0%,9.1%,1.9%
370,1306802176,L. Luskey,Luke Luskey,Luskey,Luke,1B,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,40,172,15.1%,11.6%,3.5%,5.2%,3.2%,2.0%,0.6%,0.4%,0.2%,8.1%,4.4%,3.7%,14.0%,6.9%,7.0%
371,1310334209,J. Salk,Jonas Salk,Salk,Jonas,SS,University of Portland,PORT,730360320,Portland,BBC,R,R,46,207,11.6%,13.2%,-1.6%,5.3%,3.7%,1.6%,0.0%,0.4%,-0.4%,6.3%,4.4%,1.9%,11.6%,7.0%,4.6%
372,1209740289,B. Christensen,Brady Christensen,Christensen,Brady,RF,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,R,49,212,8.5%,8.4%,0.1%,5.2%,2.3%,2.9%,1.9%,0.4%,1.5%,4.7%,4.4%,0.3%,11.8%,5.6%,6.2%
373,1184596480,C. Vercollone,Conner Vercollone,Vercollone,Conner,RF,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,47,206,13.1%,8.7%,4.4%,2.4%,3.9%,-1.4%,0.5%,0.5%,-0.0%,4.9%,4.4%,0.5%,7.8%,7.2%,0.6%
374,1085384448,K. Neri,Kyle Neri,Neri,Kyle,LF,Rider University,RID,730174976,Rider,BBC,R,R,52,251,19.1%,19.0%,0.1%,5.6%,4.8%,0.8%,0.8%,0.7%,0.1%,2.4%,4.4%,-2.0%,8.8%,8.4%,0.4%
375,1083731007,J. Lemm,Johnny Lemm,Lemm,Johnny,C,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,55,235,7.7%,14.6%,-6.9%,4.7%,6.1%,-1.5%,0.4%,1.0%,-0.5%,8.1%,4.4%,3.7%,13.2%,8.8%,4.4%
376,1172733844,A. Richter,Alex Richter,Richter,Alex,3B,Ball State University,BALL,730195456,Ball State,BBC,L,R,58,271,8.9%,11.9%,-3.1%,2.6%,4.8%,-2.2%,0.7%,0.8%,-0.0%,6.3%,4.4%,1.9%,9.6%,7.4%,2.2%
377,1258114566,J. Thomas,Justin Thomas,Thomas,Justin,CF,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,62,214,15.9%,13.1%,2.8%,2.8%,4.2%,-1.4%,0.5%,0.4%,0.1%,4.2%,4.4%,-0.2%,7.5%,6.9%,0.5%
378,1339568350,D. Cerda,Derek Cerda,Cerda,Derek,CF,University of Kansas,KU,730360064,Kansas,BBC,R,R,50,245,13.1%,12.3%,0.8%,4.9%,6.1%,-1.2%,0.4%,0.5%,-0.1%,4.1%,4.4%,-0.3%,9.4%,8.8%,0.6%
379,1428244453,J. Mislan,Jack Mislan,Mislan,Jack,LF,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,45,188,14.9%,13.9%,0.9%,3.2%,4.3%,-1.2%,0.5%,0.4%,0.1%,4.3%,4.4%,-0.1%,8.0%,8.0%,-0.1%
380,1213485312,F. Ferrentino,Frankie Ferrentino,Ferrentino,Frankie,C,Merrimack College,MRMK,730295552,Merrimack,BBC,R,R,48,214,14.0%,10.4%,3.7%,4.2%,2.3%,1.9%,0.0%,0.3%,-0.3%,6.1%,4.4%,1.7%,10.3%,6.1%,4.2%
381,1092991488,B. Compton,Brandon Compton,Compton,Brandon,LF,Arizona State University,ASU,5035,Arizona State,BBC,L,L,59,261,11.5%,13.7%,-2.2%,7.3%,4.8%,2.5%,0.0%,0.6%,-0.6%,3.4%,4.4%,-0.9%,10.7%,8.0%,2.8%
382,1294963968,D. Faurot,Drew Faurot,Faurot,Drew,2B,Florida State University,FSU,101,Florida State,BBC,S,R,58,251,17.1%,19.1%,-2.0%,3.2%,4.3%,-1.1%,0.0%,0.5%,-0.5%,6.4%,4.4%,2.0%,9.6%,8.0%,1.6%
383,1273292800,J. Vastine,Jonathan Vastine,Vastine,Jonathan,SS,Vanderbilt University,VAN,5046,Vanderbilt,BBC,L,R,60,232,15.9%,14.5%,1.5%,2.6%,3.5%,-0.9%,0.4%,0.5%,-0.1%,3.9%,4.3%,-0.5%,6.9%,7.1%,-0.2%
384,1299328000,C. Vest,Cooper Vest,Vest,Cooper,1B,Brigham Young University,BYU,730257152,BYU,BBC,L,L,55,261,11.5%,11.5%,-0.1%,5.0%,4.9%,0.1%,0.8%,0.7%,0.1%,6.1%,4.3%,1.8%,11.9%,8.3%,3.5%
385,1070924665,S. Mexico,Sebastian Mexico,Mexico,Sebastian,RF,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,R,52,215,14.4%,15.3%,-0.9%,5.6%,5.0%,0.6%,0.9%,0.8%,0.2%,5.6%,4.3%,1.2%,12.1%,8.5%,3.6%
386,1187810560,J. Ybarra,Jeter Ybarra,Ybarra,Jeter,1B,University of Michigan,MICH,2290,Michigan,BBC,L,R,56,234,15.4%,17.4%,-2.0%,5.1%,5.9%,-0.8%,0.4%,0.9%,-0.5%,3.0%,4.3%,-1.3%,8.5%,9.5%,-1.0%
387,1232140544,L. Hugo,Logan Hugo,Hugo,Logan,RF,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,51,255,14.5%,14.9%,-0.4%,5.1%,5.5%,-0.4%,0.8%,0.4%,0.3%,4.7%,4.3%,0.4%,10.6%,8.4%,2.2%
388,1099927808,D. Dillehay,DJ Dillehay,Dillehay,DJ,SS,Brown University,BRWN,730236160,Brown,BBC,R,R,39,168,16.7%,16.9%,-0.2%,4.2%,4.0%,0.2%,0.0%,0.6%,-0.6%,3.6%,4.3%,-0.8%,7.7%,8.0%,-0.3%
389,1273276928,C. Giusti,Connor Giusti,Giusti,Connor,3B,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,47,189,11.6%,11.8%,-0.2%,1.6%,4.9%,-3.3%,0.0%,0.3%,-0.3%,4.2%,4.3%,-0.1%,5.8%,7.9%,-2.0%
390,1237557163,K. Scobey,KJ Scobey,Scobey,KJ,3B,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,56,221,15.4%,14.5%,0.9%,3.2%,5.4%,-2.2%,0.0%,0.6%,-0.6%,3.6%,4.3%,-0.7%,6.8%,8.9%,-2.1%
391,1545077087,A. Rivera,Anibal Rivera,Rivera,Anibal,SS,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,L,R,53,234,12.0%,11.3%,0.7%,1.7%,2.1%,-0.4%,0.4%,0.4%,<0.1%,3.0%,4.3%,-1.3%,5.1%,5.4%,-0.3%
392,1297521920,M. Sprockett,Michael Sprockett,Sprockett,Michael,C,Belmont University,BEL,730190336,Belmont,BBC,L,R,53,216,15.7%,13.9%,1.9%,3.2%,4.0%,-0.8%,0.5%,0.6%,-0.1%,5.6%,4.3%,1.2%,9.3%,8.1%,1.2%
393,1828778419,B. Watters,Bino Watters,Watters,Bino,LF,University of Notre Dame,ND,225,Notre Dame,BBC,L,L,44,202,16.3%,16.3%,<0.1%,4.5%,3.8%,0.6%,0.5%,0.6%,-0.1%,4.5%,4.3%,0.1%,9.4%,7.1%,2.3%
394,1188416000,S. Smith,Sean Smith,Smith,Sean,LF,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,47,203,18.2%,16.9%,1.3%,4.4%,4.6%,-0.2%,1.0%,0.5%,0.5%,4.4%,4.3%,0.1%,9.9%,7.5%,2.3%
395,1112939209,A. Evasco,A.J. Evasco,Evasco,A.J.,RF,Kansas State University,KSU,730270464,Kansas State,BBC,L,R,56,221,16.3%,19.0%,-2.7%,5.4%,5.3%,0.1%,0.5%,0.6%,-0.2%,5.0%,4.3%,0.7%,10.9%,9.0%,1.9%
396,1303371520,K. Caster,Kavi Caster,Caster,Kavi,LF,Georgetown University,GTWN,2330,Georgetown,BBC,L,L,55,237,16.5%,17.1%,-0.6%,5.9%,3.6%,2.3%,1.3%,0.5%,0.8%,3.8%,4.3%,-0.5%,11.0%,7.3%,3.7%
397,1162524416,A. Schuldt,Andrew Schuldt,Schuldt,Andrew,C,Campbell University,CAMP,730187776,Campbell,BBC,R,R,56,250,10.8%,11.5%,-0.7%,5.2%,5.3%,-0.1%,0.0%,0.5%,-0.5%,4.4%,4.3%,0.1%,9.6%,7.9%,1.7%
398,1279488512,K. Wagner,Kai Wagner,Wagner,Kai,3B,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,L,R,51,250,15.6%,14.5%,1.1%,6.4%,5.1%,1.3%,0.8%,0.6%,0.2%,4.0%,4.3%,-0.3%,11.2%,8.1%,3.1%
399,1006020866,A. Phillips,Austin Phillips,Phillips,Austin,SS,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,48,193,14.0%,13.3%,0.7%,2.1%,3.7%,-1.6%,0.0%,0.6%,-0.6%,3.1%,4.3%,-1.2%,5.2%,7.5%,-2.3%
400,1310404864,A. Lopez,Adrian Lopez,Lopez,Adrian,LF,University of Southern California,USC,5047,USC,BBC,R,R,58,251,16.7%,15.0%,1.7%,8.4%,6.9%,1.5%,0.8%,0.6%,0.2%,3.2%,4.3%,-1.1%,12.4%,10.5%,1.9%
401,1969246323,B. Shannon,Brady Shannon,Shannon,Brady,1B,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,47,192,12.5%,11.2%,1.3%,1.6%,3.5%,-2.0%,1.0%,0.4%,0.7%,5.2%,4.3%,0.9%,7.8%,7.1%,0.8%
402,1248850176,B. DeLamielleure,Blake DeLamielleure,DeLamielleure,Blake,RF,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,56,247,15.4%,17.4%,-2.1%,6.1%,6.9%,-0.8%,0.0%,0.4%,-0.4%,2.4%,4.3%,-1.9%,8.5%,10.1%,-1.6%
403,1925267789,C. Kozeal,Cam Kozeal,Kozeal,Cam,1B,University of Arkansas,ARK,3375,Arkansas,BBC,L,R,60,256,17.2%,17.5%,-0.4%,7.0%,5.6%,1.4%,0.0%,0.8%,-0.8%,5.9%,4.3%,1.6%,12.9%,9.7%,3.2%
404,1164160512,J. Mendez,Jonathan Mendez,Mendez,Jonathan,2B,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,54,250,15.6%,15.1%,0.5%,6.8%,6.2%,0.6%,0.8%,0.6%,0.2%,4.4%,4.3%,0.1%,12.0%,9.7%,2.3%
405,1210991872,M. Bardowell,Matthew Bardowell,Bardowell,Matthew,LF,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,52,241,17.4%,13.7%,3.7%,6.6%,4.9%,1.7%,0.4%,0.5%,-0.1%,3.3%,4.3%,-1.0%,10.4%,8.3%,2.1%
406,1086619809,D. Wentz,Dalton Wentz,Wentz,Dalton,3B,Wake Forest University,WAKE,730373376,Wake Forest,BBC,S,R,57,245,16.3%,14.4%,1.9%,5.7%,5.1%,0.6%,0.0%,0.5%,-0.5%,5.3%,4.3%,1.0%,11.0%,8.6%,2.4%
407,1843543813,C. Gunderson,Cody Gunderson,Gunderson,Cody,1B,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,45,195,17.9%,14.0%,4.0%,4.1%,5.6%,-1.5%,0.5%,0.5%,<0.1%,4.1%,4.3%,-0.2%,8.7%,8.4%,0.4%
408,1152890880,D. ONeill,Dean O'Neill,ONeill,Dean,C,University of Maine,ME,730275840,Maine,BBC,R,R,47,214,15.9%,12.7%,3.2%,4.7%,5.5%,-0.8%,0.0%,0.6%,-0.6%,3.3%,4.3%,-1.0%,7.9%,9.3%,-1.3%
409,1273293312,B. Poppell,Broedy Poppell,Poppell,Broedy,C,Florida A&M University,FAMU,5416,Florida A&M,BBC,S,R,58,268,15.3%,12.2%,3.1%,2.6%,2.6%,<0.1%,3.4%,0.5%,2.9%,4.5%,4.3%,0.2%,10.4%,5.8%,4.7%
410,1279825152,J. Power,Jack Power,Power,Jack,1B,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,L,R,58,268,10.8%,10.6%,0.2%,4.5%,5.0%,-0.6%,0.0%,0.6%,-0.6%,6.0%,4.3%,1.7%,10.4%,7.8%,2.7%
411,1100228608,M. Ball,Michael Ball,Ball,Michael,SS,University of Nevada,NEV,4784,Nevada,BBC,R,R,55,260,18.1%,15.3%,2.8%,5.0%,4.4%,0.6%,0.4%,0.5%,-0.1%,4.2%,4.3%,-0.1%,9.6%,8.2%,1.4%
412,1117733120,E. Genther,Eric Genther,Genther,Eric,RF,University of Rhode Island,URI,730163712,Rhode Island,BBC,L,R,60,300,18.7%,17.6%,1.1%,5.7%,5.0%,0.7%,1.0%,0.6%,0.4%,3.3%,4.3%,-0.9%,10.0%,7.9%,2.1%
413,1100224000,C. Vance,Cooper Vance,Vance,Cooper,SS,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,52,219,16.0%,14.2%,1.7%,6.4%,4.9%,1.5%,0.5%,0.5%,-0.0%,2.7%,4.3%,-1.5%,9.6%,8.3%,1.3%
414,1170236928,E. Brown,Eli Brown,Brown,Eli,LF,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,52,205,9.8%,7.5%,2.2%,6.3%,5.2%,1.2%,0.5%,0.4%,0.1%,2.0%,4.3%,-2.3%,8.8%,8.0%,0.8%
415,1948744121,L. Johnson,Landen Johnson,Johnson,Landen,1B,High Point University,HP,730321152,High Point,BBC,L,L,57,272,17.3%,14.6%,2.6%,6.6%,5.9%,0.7%,0.0%,0.8%,-0.8%,5.9%,4.3%,1.6%,12.5%,9.0%,3.5%
416,1210662400,D. Bade,Devan Bade,Bade,Devan,3B,Binghamton University,BING,730155776,Binghamton,BBC,R,R,55,258,19.0%,13.6%,5.4%,5.8%,3.9%,1.9%,0.0%,0.5%,-0.5%,5.0%,4.3%,0.8%,10.9%,7.4%,3.5%
417,1204040448,G. Hussey,Grant Hussey,Hussey,Grant,1B,West Virginia University,WVU,5327,West Virginia,BBC,L,R,60,227,14.5%,14.9%,-0.4%,5.3%,4.9%,0.4%,0.4%,0.6%,-0.2%,3.1%,4.3%,-1.2%,8.8%,8.4%,0.4%
418,1251692544,B. Evans,Brayden Evans,Evans,Brayden,LF,Lamar University,LAM,730162432,Lamar,BBC,L,L,56,275,17.5%,14.6%,2.8%,4.0%,4.6%,-0.6%,1.1%,0.8%,0.3%,3.3%,4.2%,-1.0%,8.4%,8.2%,0.1%
419,1297514496,J. Rinehart,Jace Rinehart,Rinehart,Jace,LF,West Virginia University,WVU,5327,West Virginia,BBC,R,R,57,221,14.5%,15.5%,-1.0%,9.5%,4.9%,4.6%,0.0%,0.7%,-0.7%,4.1%,4.2%,-0.2%,13.6%,8.6%,5.0%
420,1077535470,T. Lucas,Trevor Lucas,Lucas,Trevor,3B,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,58,272,12.1%,13.4%,-1.2%,5.5%,5.5%,<0.1%,0.0%,0.5%,-0.5%,3.3%,4.2%,-0.9%,8.8%,8.2%,0.6%
421,1166182912,J. Hyde,Jake Hyde,Hyde,Jake,1B,Duke University,DUKE,730336256,Duke,BBC,L,R,58,269,13.0%,12.4%,0.6%,4.8%,4.5%,0.3%,1.1%,0.6%,0.6%,4.5%,4.2%,0.2%,10.4%,7.6%,2.8%
422,1104432384,B. Bean,Brady Bean,Bean,Brady,RF,University of Portland,PORT,730360320,Portland,BBC,R,R,52,252,17.9%,17.4%,0.5%,4.8%,3.2%,1.5%,0.0%,0.4%,-0.4%,3.6%,4.2%,-0.7%,8.3%,6.6%,1.7%
423,1309472512,T. Sallie,Ty Sallie,Sallie,Ty,CF,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,52,239,18.0%,15.4%,2.6%,5.9%,3.9%,1.9%,0.4%,0.5%,-0.1%,0.8%,4.2%,-3.4%,7.1%,7.2%,-0.1%
424,1327330048,J. Bessette,Jackson Bessette,Bessette,Jackson,C,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,49,218,10.1%,11.2%,-1.1%,2.8%,2.7%,0.1%,1.8%,0.5%,1.3%,4.1%,4.2%,-0.1%,8.7%,5.7%,3.0%
425,1821462699,J. Lausch,Jack Lausch,Lausch,Jack,CF,Northwestern University,NW,730247680,Northwestern,BBC,L,R,44,177,14.1%,12.5%,1.7%,5.1%,4.7%,0.3%,0.0%,0.6%,-0.6%,3.4%,4.2%,-0.8%,8.5%,8.1%,0.3%
426,1354194566,A. Kirchner,Andrew Kirchner,Kirchner,Andrew,1B,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,L,R,56,267,15.7%,14.3%,1.4%,6.0%,4.9%,1.1%,0.7%,0.6%,0.1%,4.5%,4.2%,0.3%,11.2%,8.7%,2.6%
427,1153296384,T. Thach,Tanner Thach,Thach,Tanner,1B,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,L,L,58,277,19.1%,16.8%,2.3%,4.0%,4.7%,-0.7%,0.7%,0.7%,<0.1%,4.3%,4.2%,0.1%,9.0%,8.3%,0.7%
428,1962798655,C. Katayama-Stall,Cole Katayama-Stall,Katayama-Stall,Cole,3B,University of Portland,PORT,730360320,Portland,BBC,L,R,49,202,10.4%,13.6%,-3.2%,5.0%,5.5%,-0.5%,1.0%,0.7%,0.3%,4.5%,4.2%,0.2%,10.4%,8.4%,2.0%
429,1142522368,C. Call,Chase Call,Call,Chase,RF,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,52,248,13.3%,10.3%,3.0%,4.8%,5.4%,-0.5%,0.4%,0.4%,-0.0%,4.4%,4.2%,0.2%,9.7%,7.4%,2.2%
430,1169397760,B. Ham,Billy Ham,Ham,Billy,1B,University of Nevada,NEV,4784,Nevada,BBC,L,R,54,236,16.1%,15.6%,0.5%,8.9%,5.8%,3.1%,0.0%,0.7%,-0.7%,3.0%,4.2%,-1.2%,11.9%,8.8%,3.1%
431,1196832256,S. McGee,Sean McGee,McGee,Sean,SS,Stonehill College,SC,730238464,Stonehill,BBC,R,R,44,217,10.6%,9.1%,1.5%,3.2%,6.6%,-3.4%,0.5%,0.2%,0.2%,4.1%,4.2%,-0.0%,7.8%,9.3%,-1.4%
432,1208590592,M. Moise,Mac Moise,Moise,Mac,C,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,R,R,60,262,9.9%,11.3%,-1.3%,3.8%,4.8%,-1.0%,0.0%,0.5%,-0.5%,2.7%,4.2%,-1.5%,6.5%,7.0%,-0.5%
433,1867932206,K. Jorge,Kainen Jorge,Jorge,Kainen,RF,Old Dominion University,ODU,3090,Old Dominion,BBC,R,R,53,240,12.9%,12.3%,0.6%,5.8%,5.4%,0.5%,0.4%,0.4%,0.1%,3.3%,4.2%,-0.9%,9.6%,8.2%,1.4%
434,1260772353,Z. Rose,Zion Rose,Rose,Zion,LF,University of Louisville,LOU,5467,Louisville,BBC,R,R,66,301,15.3%,18.1%,-2.8%,5.3%,4.8%,0.6%,1.0%,0.5%,0.4%,4.3%,4.2%,0.1%,10.6%,7.9%,2.7%
435,1848151360,B. Campbell,Bryce Campbell,Campbell,Bryce,1B,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,39,182,15.9%,13.8%,2.1%,5.5%,5.4%,0.1%,0.0%,0.5%,-0.5%,3.3%,4.2%,-0.9%,8.8%,8.5%,0.3%
436,1225722624,B. Parker,Ben Parker,Parker,Ben,CF,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,56,273,20.5%,17.6%,2.9%,8.4%,7.0%,1.4%,1.5%,0.6%,0.8%,4.0%,4.2%,-0.2%,13.9%,10.0%,3.9%
437,1198394112,M. Crossland,Michael Crossland,Crossland,Michael,CF,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,50,241,16.2%,14.8%,1.4%,6.2%,6.1%,0.1%,0.4%,0.5%,-0.1%,6.2%,4.2%,2.0%,12.9%,9.2%,3.7%
438,1060614616,J. Dobie,Jayce Dobie,Dobie,Jayce,TWP,University of Nevada,NEV,4784,Nevada,BBC,R,R,55,220,19.5%,19.1%,0.4%,6.8%,6.1%,0.7%,0.0%,0.6%,-0.6%,3.2%,4.2%,-1.0%,10.0%,9.5%,0.5%
439,1297349376,L. Sauve,Logan Sauve,Sauve,Logan,C,West Virginia University,WVU,5327,West Virginia,BBC,R,R,54,247,15.0%,15.8%,-0.8%,4.9%,5.7%,-0.8%,0.4%,0.5%,-0.1%,3.2%,4.2%,-0.9%,8.5%,8.8%,-0.3%
440,1141495808,K. Snell,Kade Snell,Snell,Kade,LF,University of Alabama,ALA,730206976,Alabama,BBC,L,L,58,261,20.3%,17.3%,3.0%,5.0%,5.9%,-0.9%,0.4%,0.8%,-0.4%,3.8%,4.2%,-0.3%,9.2%,8.8%,0.4%
441,1191505152,J. Cotrone,Jack Cotrone,Cotrone,Jack,SS,Davidson College,DAV,730363136,Davidson,BBC,R,R,54,239,12.1%,12.0%,0.2%,3.3%,3.6%,-0.2%,0.0%,0.4%,-0.4%,5.0%,4.2%,0.8%,8.4%,6.7%,1.7%
442,1204929024,D. Barbero,Danny Barbero,Barbero,Danny,3B,Butler University,BUT,730283520,Butler,BBC,R,R,54,204,11.3%,14.0%,-2.7%,5.9%,3.7%,2.1%,0.0%,0.4%,-0.4%,3.9%,4.2%,-0.3%,9.8%,7.0%,2.8%
443,1275128576,T. Allen,Ty Allen,Allen,Ty,RF,Belmont University,BEL,730190336,Belmont,BBC,R,R,60,266,18.8%,17.6%,1.2%,4.9%,4.5%,0.4%,0.0%,0.6%,-0.6%,4.5%,4.2%,0.3%,9.4%,8.1%,1.3%
444,1093146112,C. Mizell,Coleman Mizell,Mizell,Coleman,LF,University of Alabama,ALA,730206976,Alabama,BBC,L,L,48,192,12.5%,15.1%,-2.6%,3.1%,3.2%,-0.0%,0.0%,0.5%,-0.5%,3.1%,4.2%,-1.0%,6.3%,6.4%,-0.1%
445,1885806529,C. Kitchens,Cole Kitchens,Kitchens,Cole,P,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,53,244,20.9%,23.9%,-3.0%,7.8%,5.6%,2.2%,0.4%,0.5%,-0.1%,4.9%,4.2%,0.8%,13.1%,9.3%,3.8%
446,1325105152,J. Simpson,Joe Simpson,Simpson,Joe,LF,Campbell University,CAMP,730187776,Campbell,BBC,R,R,44,175,18.9%,14.9%,3.9%,4.0%,4.2%,-0.2%,0.6%,0.2%,0.3%,5.7%,4.2%,1.6%,10.3%,7.2%,3.1%
447,1143009280,M. Winslow,Macon Winslow,Winslow,Macon,C,Duke University,DUKE,730336256,Duke,BBC,R,R,57,245,13.1%,11.9%,1.2%,5.3%,4.2%,1.1%,0.4%,0.5%,-0.1%,3.7%,4.2%,-0.5%,9.4%,7.2%,2.2%
448,1079752704,L. Ellis,Lee Ellis,Ellis,Lee,SS,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,38,175,15.4%,13.8%,1.7%,3.4%,5.5%,-2.0%,1.1%,0.5%,0.7%,4.0%,4.2%,-0.2%,8.6%,8.2%,0.4%
449,1162555136,R. Brome,Ryan Brome,Brome,Ryan,1B,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,R,42,198,15.2%,13.9%,1.2%,5.6%,3.7%,1.8%,1.0%,0.6%,0.5%,6.1%,4.2%,1.9%,12.6%,6.6%,6.0%
450,1310419200,E. Bouldin,Evan Bouldin,Bouldin,Evan,3B,University of Delaware,DEL,730203136,Delaware,BBC,R,R,53,245,12.7%,15.5%,-2.8%,6.5%,6.7%,-0.1%,0.4%,0.8%,-0.3%,3.3%,4.2%,-0.9%,10.2%,10.2%,-0.0%
451,1625310371,M. McGwire,Max McGwire,McGwire,Max,RF,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,52,216,13.0%,11.6%,1.4%,2.8%,4.2%,-1.4%,0.5%,0.3%,0.1%,3.2%,4.2%,-0.9%,6.5%,7.2%,-0.7%
452,1281620736,C. Reeder,Canon Reeder,Reeder,Canon,CF,Oregon State University,ORST,3111,Oregon State,BBC,R,R,55,228,15.4%,14.8%,0.6%,4.8%,5.0%,-0.1%,0.4%,0.4%,-0.0%,3.5%,4.1%,-0.6%,8.8%,7.9%,0.9%
453,1276857856,A. Salgado,AJ Salgado,Salgado,AJ,RF,UCLA,UCLA,5048,UCLA,BBC,L,R,64,282,13.5%,16.2%,-2.7%,6.7%,5.1%,1.6%,1.4%,0.6%,0.8%,4.3%,4.1%,0.1%,12.4%,8.2%,4.2%
454,1072068937,C. Nicoletto,Cayden Nicoletto,Nicoletto,Cayden,1B,University of Missouri,MIZZ,4806,Missouri,BBC,L,L,47,171,14.0%,13.6%,0.5%,4.7%,4.3%,0.4%,0.6%,0.6%,-0.0%,3.5%,4.1%,-0.6%,8.8%,8.0%,0.8%
455,1256946688,D. Coppedge,David Coppedge,Coppedge,David,3B,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,55,257,12.8%,13.3%,-0.5%,7.0%,5.7%,1.3%,0.8%,0.5%,0.3%,3.5%,4.1%,-0.6%,11.3%,8.6%,2.7%
456,1310440960,J. Jaffe,Jordan Jaffe,Jaffe,Jordan,1B,University of Richmond,RICH,730171904,Richmond,BBC,R,R,52,252,19.4%,19.7%,-0.3%,7.5%,6.1%,1.4%,0.4%,0.7%,-0.3%,4.0%,4.1%,-0.2%,11.9%,9.4%,2.5%
457,1238969088,C. Bloomer,Chase Bloomer,Bloomer,Chase,SS,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,53,249,17.3%,17.3%,<0.1%,4.4%,5.4%,-0.9%,1.2%,0.6%,0.6%,5.6%,4.1%,1.5%,11.2%,9.4%,1.9%
458,1030419949,T. DePerno,Ty DePerno,DePerno,Ty,C,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,50,197,19.3%,15.6%,3.7%,2.0%,3.9%,-1.9%,0.0%,0.5%,-0.5%,2.5%,4.1%,-1.6%,4.6%,6.6%,-2.0%
459,1300572628,C. Suto,Cam Suto,Suto,Cam,1B,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,L,58,249,12.4%,11.6%,0.8%,5.2%,4.4%,0.8%,0.0%,0.4%,-0.4%,4.4%,4.1%,0.3%,9.6%,7.7%,2.0%
460,1544322135,B. Corn,Brayden Corn,Corn,Brayden,CF,Western Carolina University,WCU,730278144,Western Carolina,BBC,R,R,57,273,16.5%,15.7%,0.8%,4.8%,4.8%,-0.1%,0.0%,0.5%,-0.5%,4.0%,4.1%,-0.1%,8.8%,7.6%,1.2%
461,1282217739,J. Melton,Jackson Melton,Melton,Jackson,2B,High Point University,HP,730321152,High Point,BBC,R,R,51,238,16.4%,12.8%,3.6%,5.9%,5.8%,0.1%,0.8%,0.4%,0.4%,4.2%,4.1%,0.1%,10.9%,8.2%,2.8%
462,1271007232,E. Frey,Ethan Frey,Frey,Ethan,RF,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,61,212,14.6%,14.1%,0.5%,7.1%,6.0%,1.0%,0.5%,0.5%,-0.1%,6.1%,4.1%,2.0%,13.7%,9.1%,4.6%
