Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,1B%,x1B%,x1B%Df,2B%,x2B%,x2B%Df,3B%,x3B%,x3B%Df,HR%,xHR%,xHR%Df,XBH%,xXBH%,xXBH%Df
63,1245915136,T. Minick,Tyler Minick,Minick,Tyler,3B,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,54,252,16.3%,14.8%,1.5%,4.4%,4.9%,-0.5%,0.8%,0.5%,0.3%,8.7%,6.7%,2.1%,13.9%,10.2%,3.7%
64,1153713408,A. Walton,Aaron Walton,Walton,Aaron,CF,University of Arizona,ARIZ,232,Arizona,BBC,R,R,65,311,13.8%,15.6%,-1.8%,7.1%,6.6%,0.4%,0.6%,0.5%,0.2%,4.5%,6.6%,-2.1%,12.2%,11.2%,1.1%
65,1113915136,C. Higgs,Conor Higgs,Higgs,Conor,LF,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,L,L,58,248,16.1%,12.0%,4.1%,4.8%,3.9%,1.0%,0.8%,0.6%,0.2%,6.5%,6.6%,-0.2%,12.1%,8.8%,3.3%
66,1166430850,G. Ashe,Grayson Ashe,Ashe,Grayson,C,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,R,R,54,217,16.1%,15.5%,0.6%,4.1%,4.8%,-0.7%,0.0%,0.5%,-0.5%,5.5%,6.6%,-1.1%,9.7%,9.8%,-0.1%
67,1310312448,A. Cohall,Aidan Cohall,Cohall,Aidan,LF,Stonehill College,SC,730238464,Stonehill,BBC,L,R,46,207,15.9%,14.1%,1.8%,9.2%,4.5%,4.6%,0.0%,0.7%,-0.7%,6.8%,6.6%,0.2%,15.9%,10.3%,5.6%
68,1288363008,J. Taylor,JT Taylor,Taylor,JT,SS,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,51,223,14.3%,9.5%,4.9%,6.3%,4.7%,1.6%,1.3%,0.3%,1.1%,4.9%,6.6%,-1.6%,12.6%,10.5%,2.1%
69,1310856448,A. Fischer,Andrew Fischer,Fischer,Andrew,1B,University of Tennessee,TENN,730153728,Tennessee,BBC,L,R,65,292,11.3%,12.4%,-1.1%,5.5%,5.7%,-0.2%,0.0%,0.9%,-0.9%,8.6%,6.5%,2.1%,14.0%,9.7%,4.3%
70,1417547191,G. Watkins,Grant Watkins,Watkins,Grant,1B,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,56,257,10.9%,11.7%,-0.8%,6.2%,5.5%,0.7%,0.0%,0.7%,-0.7%,6.2%,6.5%,-0.3%,12.5%,10.4%,2.1%
71,1292066560,E. Petry,Ethan Petry,Petry,Ethan,RF,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,44,190,15.3%,16.1%,-0.8%,5.3%,3.9%,1.4%,0.5%,0.6%,-0.0%,5.3%,6.5%,-1.2%,11.1%,9.0%,2.1%
72,1237035776,B. Blandford,Bobby Blandford,Blandford,Bobby,RF,Fresno State,FRES,730384384,Fresno State,BBC,L,L,60,272,12.9%,12.7%,0.2%,8.5%,4.7%,3.7%,0.7%,0.8%,-0.1%,5.1%,6.5%,-1.3%,14.3%,10.5%,3.8%
73,1204040192,C. Hayslip,Camden Hayslip,Hayslip,Camden,RF,UAB,UAB,730345984,UAB,BBC,L,L,50,206,10.2%,10.8%,-0.6%,3.9%,4.1%,-0.2%,1.0%,0.7%,0.2%,6.8%,6.5%,0.3%,11.7%,10.1%,1.5%
74,1192538624,D. Taylor,Devin Taylor,Taylor,Devin,LF,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,R,55,269,17.5%,16.1%,1.4%,4.8%,5.0%,-0.2%,0.7%,0.8%,-0.0%,6.7%,6.5%,0.2%,12.3%,9.8%,2.5%
75,1092689920,D. Cash,Donovan Cash,Cash,Donovan,3B,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,58,272,12.5%,12.9%,-0.4%,8.5%,5.6%,2.8%,0.0%,0.6%,-0.6%,6.6%,6.5%,0.1%,15.1%,10.8%,4.3%
76,1530212273,J. Allen,J.C. Allen,Allen,J.C.,3B,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,48,218,11.9%,11.7%,0.3%,7.3%,5.2%,2.2%,0.0%,0.7%,-0.7%,6.4%,6.5%,-0.0%,13.8%,10.4%,3.4%
77,1183357952,A. Reese,Ace Reese,Reese,Ace,3B,Mississippi State University,MSST,5080,Mississippi State,BBC,L,R,57,263,15.2%,13.7%,1.5%,6.8%,4.7%,2.1%,0.4%,0.7%,-0.3%,8.0%,6.4%,1.5%,15.2%,10.2%,5.0%
78,1176216576,J. Lebron,Justin Lebron,Lebron,Justin,SS,University of Alabama,ALA,730206976,Alabama,BBC,R,R,59,281,12.8%,12.1%,0.7%,6.4%,5.8%,0.6%,0.4%,0.5%,-0.1%,6.4%,6.4%,-0.0%,13.2%,10.4%,2.7%
79,1196798464,I. Irish,Ike Irish,Irish,Ike,RF,Auburn University,AUB,5466,Auburn,BBC,L,R,55,258,17.1%,16.0%,1.0%,5.0%,4.3%,0.7%,0.8%,0.6%,0.2%,7.4%,6.4%,0.9%,13.2%,9.4%,3.8%
80,1236944640,A. Lodise,Alex Lodise,Lodise,Alex,SS,Florida State University,FSU,101,Florida State,BBC,R,R,58,275,20.7%,17.7%,3.1%,6.5%,5.8%,0.7%,1.1%,0.6%,0.5%,6.2%,6.4%,-0.2%,13.8%,11.2%,2.6%
81,1251292160,R. Hart,River Hart,Hart,River,LF,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,R,R,43,170,8.8%,11.9%,-3.1%,4.7%,4.1%,0.6%,0.0%,0.6%,-0.6%,5.9%,6.4%,-0.5%,10.6%,9.4%,1.2%
82,1334587904,T. Smith,Tyler Smith,Smith,Tyler,1B,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,L,R,42,154,13.6%,16.2%,-2.6%,3.9%,7.0%,-3.1%,0.0%,1.4%,-1.4%,5.8%,6.4%,-0.6%,9.7%,11.8%,-2.1%
