Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,AB,GB/FB,Ground%,Fly%,Line%,Popup%,Bunt%,Ground#,Fly#,Line#,Popup#,Bunt#
103,1086580736,E. Madrigal,Eddie Madrigal,Madrigal,Eddie,1B,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,L,R,62,242,0.40,28.8%,35.8%,26.4%,9.0%,0.9%,61,76,56,19,2
104,1196830209,J. Winnay,Jack Winnay,Winnay,Jack,1B,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,60,226,0.40,28.8%,33.2%,22.8%,15.2%,0.5%,53,61,42,28,1
105,1184596480,C. Vercollone,Conner Vercollone,Vercollone,Conner,RF,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,47,170,0.41,28.8%,38.7%,20.7%,11.7%,0.9%,32,43,23,13,1
106,1332977920,M. O'Shaughnessy,Michael O'Shaughnessy,O'Shaughnessy,Michael,3B,Davidson College,DAV,730363136,Davidson,BBC,L,R,56,218,0.41,28.9%,36.4%,27.7%,6.9%,0.6%,50,63,48,12,1
107,1310950144,S. Scanlon,Sean Scanlon,Scanlon,Sean,P,College of the Holy Cross,HC,730310656,Holy Cross,BBC,L,R,58,192,0.41,28.9%,43.8%,18.0%,9.4%,0.8%,37,56,23,12,1
108,1100871936,R. MacDougall,Ryan MacDougall,MacDougall,Ryan,C,University of Dayton,DAY,730194688,Dayton,BBC,L,R,51,183,0.41,29.1%,41.9%,19.6%,9.5%,0.7%,43,62,29,14,1
109,1212541863,M. Garcia,Mateo Garcia,Garcia,Mateo,LF,Santa Clara University,SCU,730297600,Santa Clara,BBC,L,R,49,165,0.41,29.1%,38.8%,20.1%,11.9%,1.5%,39,52,27,16,2
110,1292550400,T. Moore,Tristan Moore,Moore,Tristan,LF,University of New Orleans,UNO,5380,New Orleans,BBC,L,L,53,196,0.41,29.1%,44.3%,21.5%,5.1%,0.0%,46,70,34,8,0
111,1336579072,A. Gracia,AJ Gracia,Gracia,AJ,CF,Duke University,DUKE,730336256,Duke,BBC,L,L,60,215,0.41,29.2%,33.5%,25.4%,11.9%,1.6%,54,62,47,22,3
112,1085388800,A. Havrilla,AJ Havrilla,Havrilla,AJ,1B,Marshall University,MRSH,730333696,Marshall,BBC,R,R,58,195,0.41,29.2%,32.7%,26.9%,11.1%,0.0%,50,56,46,19,0
113,1310787328,D. Bravo,Damian Bravo,Bravo,Damian,RF,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,53,224,0.41,29.3%,28.2%,32.0%,10.5%,0.0%,53,51,58,19,0
114,1251444480,J. Gauthier,JP Gauthier,Gauthier,JP,RF,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,48,169,0.41,29.3%,41.4%,23.3%,6.0%,0.0%,34,48,27,7,0
115,1273211648,E. Lizama,Ethan Lizama,Lizama,Ethan,RF,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,L,L,60,229,0.41,29.3%,36.1%,24.1%,10.5%,4.2%,56,69,46,20,8
116,1307928832,D. McCann,David McCann,McCann,David,C,Virginia Tech,VT,2293,Virginia Tech,BBC,L,R,52,160,0.42,29.4%,38.9%,26.2%,5.6%,3.2%,37,49,33,7,4
117,1111301120,K. Ritchie,Kollin Ritchie,Ritchie,Kollin,LF,Oklahoma State University,OKST,4245,Oklahoma State,BBC,L,R,42,143,0.42,29.6%,43.5%,20.0%,7.0%,0.0%,34,50,23,8,0
118,1123497984,J. Holder,Jaxon Holder,Holder,Jaxon,SS,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,51,168,0.42,29.6%,35.9%,25.4%,9.2%,0.0%,42,51,36,13,0
119,1136410112,Z. Toglia,Zach Toglia,Toglia,Zach,3B,University of Portland,PORT,730360320,Portland,BBC,R,R,51,186,0.42,29.7%,40.7%,19.3%,10.3%,0.0%,43,59,28,15,0
120,1172733844,A. Richter,Alex Richter,Richter,Alex,3B,Ball State University,BALL,730195456,Ball State,BBC,L,R,58,201,0.42,29.7%,37.4%,20.6%,12.3%,0.0%,46,58,32,19,0
121,1306794496,C. Prout,Cole Prout,Prout,Cole,RF,Central Michigan University,CMU,5342,Central Michigan,BBC,L,L,54,198,0.42,29.7%,36.7%,29.1%,4.4%,3.8%,47,58,46,7,6
122,1679314314,K. Decelle,Kenny Decelle,Decelle,Kenny,CF,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,55,208,0.42,29.8%,36.0%,20.8%,13.5%,0.0%,53,64,37,24,0
123,1500574460,B. Ballinger,Brady Ballinger,Ballinger,Brady,1B,University of Kansas,KU,730360064,Kansas,BBC,L,L,58,224,0.43,29.8%,40.9%,23.8%,5.5%,0.0%,54,74,43,10,0
