Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,Swing%,Miss%,Contact%,Strike%,InPlay%,Foul%,InZone%,Chase%,CallStrk%,SwStrk%,P/PA,MxPPA,CompLoc%,NonCompLoc%
1375,1075203328,M. Robertson,Michael Robertson,Robertson,Michael,CF,Liberty University,LIB,730156288,Liberty,BBC,L,R,56,217,879,34.9%,24.8%,75.2%,58.9%,43.3%,31.9%,47.1%,16.9%,36.9%,8.6%,4.05,10,79.3%,20.7%
1376,1712724103,C. Husser,Collin Husser,Husser,Collin,RF,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,43,170,694,41.5%,33.7%,66.3%,63.0%,31.3%,35.1%,47.1%,24.2%,36.7%,14.0%,4.08,8,77.0%,23.0%
1377,1299973888,J. Casey,Jake Casey,Casey,Jake,RF,Kent State University,KENT,730315008,Kent State,BBC,L,R,56,269,1016,42.1%,28.3%,71.7%,57.6%,35.7%,36.0%,47.1%,20.3%,26.7%,11.9%,3.78,9,75.1%,24.9%
1378,1286782976,W. Hodo,Will Hodo,Hodo,Will,1B,University of Alabama,ALA,730206976,Alabama,BBC,L,R,59,259,990,34.9%,24.3%,75.7%,57.2%,42.2%,33.5%,47.1%,13.5%,34.2%,8.5%,3.82,8,83.0%,17.0%
1379,1257343232,B. Cleary,Ben Cleary,Cleary,Ben,SS,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,49,219,855,37.7%,8.7%,91.3%,58.8%,53.1%,38.2%,47.1%,16.5%,33.8%,3.3%,3.90,10,78.4%,21.6%
1380,1184443392,G. Dill,Garrett Dill,Dill,Garrett,1B,The Citadel,CIT,730366720,The Citadel,BBC,R,R,48,192,697,50.2%,31.1%,68.9%,63.8%,34.3%,34.6%,47.1%,28.0%,27.4%,15.6%,3.63,8,79.8%,20.2%
1381,1070924665,S. Mexico,Sebastian Mexico,Mexico,Sebastian,RF,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,R,52,215,757,44.1%,20.1%,79.9%,61.2%,47.3%,32.6%,47.1%,25.8%,30.5%,8.9%,3.52,8,79.5%,20.5%
1382,1445319767,T. Hardin,Tanner Hardin,Hardin,Tanner,2B,Wofford College,WOF,730176512,Wofford,BBC,L,R,53,186,754,39.1%,13.6%,86.4%,61.7%,48.1%,38.3%,47.1%,21.7%,36.7%,5.3%,4.05,8,81.7%,18.3%
1383,1313787904,C. Shpur,Caleb Shpur,Shpur,Caleb,CF,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,58,278,1039,43.0%,15.4%,84.6%,60.6%,48.1%,36.5%,47.1%,22.1%,30.7%,6.6%,3.74,9,80.3%,19.7%
1384,1184712448,W. Lybrook,William Lybrook,Lybrook,William,1B,Harvard University,HARV,5450,Harvard,BBC,R,R,36,131,512,41.6%,39.0%,61.0%,63.5%,31.5%,29.6%,47.1%,25.4%,37.5%,16.2%,3.91,8,80.8%,19.2%
1385,1162602752,A. Ainsworth,Addison Ainsworth,Ainsworth,Addison,CF,Army West Point,ARMY,4744,Army,BBC,L,R,49,233,879,39.7%,13.5%,86.5%,59.3%,47.3%,39.3%,47.1%,17.6%,32.5%,5.3%,3.77,10,78.7%,21.3%
1386,1717911281,D. Arambula,Daniel Arambula,Arambula,Daniel,3B,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,59,254,979,41.9%,21.7%,78.3%,63.0%,45.1%,33.2%,47.2%,22.2%,35.6%,9.1%,3.85,9,78.0%,22.0%
1387,1083908608,M. Scannell,Matt Scannell,Scannell,Matt,RF,Wake Forest University,WAKE,730373376,Wake Forest,BBC,L,L,59,266,1119,36.9%,19.9%,80.1%,57.0%,41.6%,38.5%,47.2%,19.6%,31.9%,7.3%,4.21,10,79.1%,20.9%
1388,1083279450,G. Nottleman,Grant Nottleman,Nottleman,Grant,C,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,R,52,168,766,30.8%,11.4%,88.6%,57.4%,42.4%,46.2%,47.2%,9.9%,38.5%,3.5%,4.56,10,76.0%,24.0%
1389,1245094656,K. Dutka,Kenny Dutka,Dutka,Kenny,CF,Houston Christian University,HCU,730157824,Houston Christian,BBC,L,L,57,273,957,43.1%,21.8%,78.2%,62.6%,46.4%,31.8%,47.2%,25.9%,26.2%,9.4%,3.51,11,75.5%,24.5%
1390,1577193029,D. Scott,DJ Scott,Scott,DJ,RF,University of the Pacific,PAC,730386944,Pacific,BBC,R,R,46,170,643,46.3%,20.5%,79.5%,62.2%,38.9%,40.6%,47.2%,23.2%,29.1%,9.5%,3.78,9,78.8%,21.2%
1391,1278156800,C. Wildman,Caden Wildman,Wildman,Caden,RF,Cornell University,COR,730298624,Cornell,BBC,R,R,31,142,523,43.8%,26.6%,73.4%,60.6%,40.6%,32.8%,47.2%,19.5%,29.9%,11.7%,3.68,8,76.2%,23.8%
1392,1496800975,B. Jellison,Bruce Jellison,Jellison,Bruce,3B,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,R,R,49,216,802,42.5%,18.2%,81.8%,60.5%,44.6%,37.2%,47.2%,20.3%,30.4%,7.7%,3.71,10,76.3%,23.7%
1393,1153707776,C. Rife,Charlie Rife,Rife,Charlie,C,Bellarmine University,BU,730167552,Bellarmine,BBC,R,R,47,144,563,41.0%,24.7%,75.3%,57.6%,37.7%,37.7%,47.2%,21.4%,27.6%,10.1%,3.91,10,76.9%,23.1%
1394,1328140544,A. Savage,Andrew Savage,Savage,Andrew,C,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,44,151,550,52.7%,28.6%,71.4%,65.6%,35.2%,36.2%,47.2%,32.0%,26.6%,15.1%,3.64,10,78.3%,21.7%
1395,1556013354,D. Willis,Dawson Willis,Willis,Dawson,3B,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,60,239,971,48.8%,27.0%,73.0%,66.3%,31.0%,42.0%,47.2%,29.6%,34.2%,13.2%,4.06,11,78.0%,22.0%
1396,1188602368,A. Whitley,Aaron Whitley,Whitley,Aaron,CF,University of Richmond,RICH,730171904,Richmond,BBC,R,R,51,256,863,44.3%,14.1%,85.9%,60.3%,50.8%,35.1%,47.2%,21.9%,27.6%,6.3%,3.37,10,76.6%,23.4%
1397,1220599040,S. McDuffie,Shamaar McDuffie,McDuffie,Shamaar,SS,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,58,231,848,40.1%,18.2%,81.8%,58.4%,46.8%,35.0%,47.2%,17.9%,30.6%,7.3%,3.67,10,80.5%,19.5%
1398,1310892801,K. Edwards,Kyle Edwards,Edwards,Kyle,SS,Old Dominion University,ODU,3090,Old Dominion,BBC,S,R,53,231,856,46.5%,24.4%,75.6%,60.9%,41.0%,34.7%,47.2%,23.2%,26.5%,11.3%,3.71,9,79.4%,20.6%
1399,1167328256,M. Dieguez,Matthew Dieguez,Dieguez,Matthew,1B,Fordham University,FOR,730324992,Fordham,BBC,R,R,58,252,891,45.8%,23.0%,77.0%,62.9%,44.1%,32.8%,47.2%,22.8%,31.5%,10.5%,3.54,8,76.1%,23.9%
1400,1099858944,Q. Phillips,Q Phillips,Phillips,Q,LF,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,S,L,51,209,913,35.6%,28.0%,72.0%,55.6%,34.8%,37.2%,47.2%,13.2%,31.1%,10.0%,4.37,9,76.2%,23.8%
1401,1205542912,K. Reinertson,Kade Reinertson,Reinertson,Kade,C,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,43,155,580,40.3%,20.1%,79.9%,60.5%,44.9%,35.0%,47.2%,20.7%,33.8%,8.1%,3.74,10,80.9%,19.1%
1402,1264001536,J. Hausser,Justin Hausser,Hausser,Justin,1B,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,L,L,57,261,974,42.1%,15.1%,84.9%,61.7%,47.6%,37.3%,47.2%,27.0%,33.9%,6.4%,3.73,10,78.3%,21.7%
1403,1671286171,J. Long,Jake Long,Long,Jake,LF,University of Utah,UTAH,730328320,Utah,BBC,L,R,45,193,714,43.6%,19.3%,80.7%,60.6%,43.7%,37.0%,47.2%,22.8%,29.6%,8.4%,3.70,8,81.4%,18.6%
1404,1112930048,C. Thacker,Cooper Thacker,Thacker,Cooper,LF,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,43,147,657,37.7%,21.0%,79.0%,60.7%,34.3%,44.8%,47.2%,20.9%,36.9%,7.9%,4.47,9,77.0%,23.0%
1405,1280568832,J. Gustafson,Jaden Gustafson,Gustafson,Jaden,LF,Wichita State University,WICH,730203904,Wichita State,BBC,L,L,54,208,811,43.6%,14.1%,85.9%,61.9%,42.9%,42.9%,47.2%,22.8%,32.4%,6.2%,3.90,10,81.9%,18.1%
1406,1167256832,B. Stressler,Brenden Stressler,Stressler,Brenden,RF,Saint Louis University,SLU,2291,St. Louis,BBC,L,L,59,265,941,43.3%,18.7%,81.3%,59.1%,43.2%,38.1%,47.2%,19.0%,26.6%,8.1%,3.55,9,77.5%,22.5%
1407,1813453419,J. Durso,Joe Durso,Durso,Joe,C,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,54,225,814,43.4%,23.5%,76.5%,58.3%,39.9%,36.5%,47.2%,21.7%,25.3%,10.2%,3.62,11,74.3%,25.7%
1408,1237027328,T. Martinez,Tony Martinez,Martinez,Tony,1B,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,52,248,831,45.4%,16.7%,83.3%,61.1%,52.0%,31.3%,47.3%,24.2%,27.8%,7.6%,3.35,10,77.9%,22.1%
1409,1971003791,J. Stevenson,Jared Stevenson,Stevenson,Jared,RF,Seattle University,SEA,4504,Seattle,BBC,R,R,52,213,848,36.8%,32.1%,67.9%,57.5%,38.1%,29.8%,47.3%,15.4%,32.4%,11.8%,3.98,8,77.6%,22.4%
1410,1207810816,C. Boyd,Cameron Boyd,Boyd,Cameron,RF,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,50,206,731,46.6%,18.5%,81.5%,63.2%,45.2%,36.4%,47.3%,30.0%,30.9%,8.6%,3.55,11,75.5%,24.5%
1411,1212104449,C. Barczi,Colin Barczi,Barczi,Colin,C,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,R,55,215,789,50.4%,29.4%,70.6%,66.7%,38.2%,32.4%,47.3%,31.3%,32.7%,14.8%,3.67,9,81.0%,19.0%
1412,1329021184,T. Marsh,Tanner Marsh,Marsh,Tanner,SS,Liberty University,LIB,730156288,Liberty,BBC,R,R,56,267,1045,45.8%,22.5%,77.5%,61.4%,40.3%,37.2%,47.3%,24.7%,28.8%,10.3%,3.91,9,77.9%,22.1%
1413,1029265660,E. Farina,Ethan Farina,Farina,Ethan,2B,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,41,173,540,46.3%,22.8%,77.2%,60.3%,44.8%,32.4%,47.3%,29.7%,24.3%,10.6%,3.12,9,75.3%,24.7%
1414,1310670336,L. Trippel,Lance Trippel,Trippel,Lance,C,University of South Florida,USF,2292,South Florida,BBC,R,R,51,219,848,37.6%,23.5%,76.5%,59.2%,45.5%,31.0%,47.3%,18.3%,34.6%,8.8%,3.87,10,78.1%,21.9%
1415,1192543232,D. Watts,Dane Watts,Watts,Dane,LF,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,L,52,230,794,42.9%,16.4%,83.6%,61.1%,47.8%,35.8%,47.3%,25.4%,31.8%,7.1%,3.45,9,76.9%,23.1%
1416,1132712448,C. Sorg,Casey Sorg,Sorg,Casey,CF,Bellarmine University,BU,730167552,Bellarmine,BBC,S,R,55,248,928,46.1%,23.8%,76.2%,59.7%,38.8%,37.4%,47.3%,21.1%,24.8%,11.0%,3.74,9,76.0%,24.0%
1417,1901458397,J. Woita,Jase Woita,Woita,Jase,LF,University of South Carolina,SCAR,730348544,South Carolina,BBC,L,R,45,142,576,43.9%,24.9%,75.1%,59.9%,37.5%,37.5%,47.3%,22.1%,28.5%,10.9%,4.06,10,80.5%,19.5%
1418,1322648320,N. Sturino,Nick Sturino,Sturino,Nick,LF,Fairfield University,FAIR,730380544,Fairfield,BBC,L,R,57,250,985,39.1%,25.5%,74.5%,53.5%,36.9%,37.7%,47.3%,15.3%,23.5%,9.9%,3.94,10,74.7%,25.3%
1419,1549740470,N. Book,Nolan Book,Book,Nolan,SS,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,50,218,677,43.0%,14.8%,85.2%,60.4%,55.3%,29.9%,47.3%,20.4%,29.2%,6.4%,3.11,8,72.0%,28.0%
1420,1251444480,J. Gauthier,JP Gauthier,Gauthier,JP,RF,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,48,194,729,47.9%,35.2%,64.8%,61.2%,33.2%,31.5%,47.3%,22.9%,25.4%,16.9%,3.76,9,77.2%,22.8%
1421,1145242880,C. Loupe,Collin Loupe,Loupe,Collin,2B,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,47,164,594,42.8%,32.3%,67.7%,61.1%,37.8%,29.9%,47.3%,25.7%,32.1%,13.8%,3.62,9,76.8%,23.2%
1422,1123748096,A. Masters,Aidan Masters,Masters,Aidan,2B,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,47,173,688,35.5%,26.2%,73.8%,55.6%,43.9%,29.9%,47.3%,15.6%,29.4%,9.3%,3.98,7,73.2%,26.8%
1423,1223725653,C. Berry,Caleb Berry,Berry,Caleb,C,Michigan State University,MSU,1551,Michigan State,BBC,R,R,45,191,664,47.6%,19.9%,80.1%,64.0%,44.9%,35.1%,47.3%,29.6%,31.3%,9.5%,3.48,9,78.0%,22.0%
1424,1100324865,A. Horvath,Andrew Horvath,Horvath,Andrew,C,University of Akron,AKR,540536064,Akron,BBC,R,R,53,236,819,44.3%,16.5%,83.5%,62.4%,48.2%,35.3%,47.3%,22.9%,32.5%,7.3%,3.47,8,79.3%,20.7%
1425,1230312950,B. Loyd,Ben Loyd,Loyd,Ben,SS,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,L,R,50,214,746,45.2%,16.6%,83.4%,61.1%,47.8%,35.6%,47.3%,23.5%,28.2%,7.5%,3.49,10,83.1%,16.9%
1426,1304737025,R. McKay,Ryan McKay,McKay,Ryan,2B,Michigan State University,MSU,1551,Michigan State,BBC,L,R,54,254,1032,38.6%,11.8%,88.2%,59.3%,46.2%,42.0%,47.3%,18.2%,33.8%,4.6%,4.06,10,82.1%,17.9%
1426,1529112206,J. Legrande,Jon Legrande,Legrande,Jon,LF,St. John's University (NY),SJU,4285,St. John's,BBC,L,L,52,222,753,49.9%,20.2%,79.8%,60.7%,44.4%,35.4%,47.3%,22.5%,21.5%,10.1%,3.39,9,79.0%,21.0%
1428,1097334050,C. Fralick,Chase Fralick,Fralick,Chase,C,Auburn University,AUB,5466,Auburn,BBC,L,R,58,250,971,40.2%,14.6%,85.4%,61.5%,44.6%,40.8%,47.3%,22.8%,35.0%,5.9%,3.88,10,80.4%,19.6%
1429,1257342976,I. Landry,Isaiah Landry,Landry,Isaiah,CF,Alabama State University,ALST,4765,Alabama State,BBC,R,R,53,225,790,43.4%,13.4%,86.6%,65.6%,51.9%,34.7%,47.4%,28.1%,36.5%,5.8%,3.51,9,77.5%,22.5%
1430,1184440064,T. Sanders,Travis Sanders,Sanders,Travis,2B,Baylor University,BAY,3033,Baylor,BBC,R,R,47,195,798,43.4%,31.8%,68.2%,61.0%,33.5%,34.7%,47.4%,20.0%,31.2%,13.8%,4.09,9,77.5%,22.5%
1431,1530212273,J. Allen,J.C. Allen,Allen,J.C.,3B,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,48,218,848,44.5%,30.2%,69.8%,62.3%,36.1%,33.7%,47.4%,24.8%,32.1%,13.4%,3.89,8,78.3%,21.7%
1432,1233282048,J. Steidl,Josh Steidl,Steidl,Josh,1B,Jacksonville University,JAC,730335488,Jacksonville,BBC,L,R,54,240,970,37.2%,19.9%,80.1%,56.4%,40.4%,39.6%,47.4%,15.2%,29.4%,7.4%,4.04,10,75.3%,24.7%
1433,1260750336,G. Swansen,Gabe Swansen,Swansen,Gabe,LF,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,52,186,695,46.5%,25.1%,74.9%,62.2%,38.4%,36.5%,47.4%,22.7%,29.3%,11.7%,3.74,9,80.8%,19.2%
1434,1176534272,B. Robichaux,Ben Robichaux,Robichaux,Ben,2B,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,L,R,43,164,633,47.4%,34.0%,66.0%,62.1%,29.7%,36.3%,47.4%,22.3%,27.9%,16.1%,3.86,10,76.7%,23.3%
1435,1236352914,D. Borner,Drew Borner,Borner,Drew,2B,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,38,145,535,43.2%,13.0%,87.0%,61.4%,45.9%,41.1%,47.4%,23.3%,31.7%,5.6%,3.69,10,78.7%,21.3%
1436,1276857856,A. Salgado,AJ Salgado,Salgado,AJ,RF,UCLA,UCLA,5048,UCLA,BBC,L,R,64,282,1089,44.6%,24.9%,75.1%,60.4%,37.4%,37.7%,47.4%,23.8%,28.4%,11.1%,3.86,9,78.8%,21.2%
1436,1761291999,A. Cappell,AJ Cappell,Cappell,AJ,2B,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,37,129,468,47.0%,20.9%,79.1%,64.3%,39.1%,40.0%,47.4%,30.0%,32.7%,9.8%,3.63,10,80.9%,19.1%
1438,1476164141,T. Smith,Tyler Smith,Smith,Tyler,C,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,S,R,52,232,929,41.3%,28.1%,71.9%,59.8%,40.6%,31.3%,47.4%,21.0%,31.6%,11.6%,4.00,9,77.0%,23.0%
1439,1140999168,L. Nixon,Luke Nixon,Nixon,Luke,2B,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,R,56,254,970,43.2%,17.9%,82.1%,60.8%,43.7%,38.4%,47.4%,24.6%,31.0%,7.7%,3.82,12,79.3%,20.7%
1440,1287364608,D. Berkland,Drew Berkland,Berkland,Drew,LF,University of Minnesota,MINN,4864,Minnesota,BBC,R,R,52,240,956,42.1%,26.6%,73.4%,59.5%,40.0%,33.3%,47.4%,20.9%,30.1%,11.2%,3.98,8,76.3%,23.7%
1441,1105460480,T. Rodriguez,Taer Rodriguez,Rodriguez,Taer,3B,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,36,164,624,34.9%,19.7%,80.3%,58.7%,49.1%,31.2%,47.4%,16.1%,36.5%,6.9%,3.80,9,74.0%,26.0%
1442,1268046592,K. Schuessler,Kimble Schuessler,Schuessler,Kimble,1B,University of Texas,TEX,245,Texas,BBC,R,R,58,260,972,41.6%,19.1%,80.9%,63.8%,47.3%,33.7%,47.4%,26.9%,38.0%,7.9%,3.74,9,80.8%,19.2%
1443,1162532096,T. Lopez,Tracer Lopez,Lopez,Tracer,2B,Texas Tech University,TTU,2350,Texas Tech,BBC,L,R,53,243,865,51.9%,18.5%,81.5%,63.5%,41.6%,39.9%,47.4%,27.5%,24.0%,9.6%,3.56,10,83.7%,16.3%
1444,1341412096,C. Kleinman,Casey Kleinman,Kleinman,Casey,SS,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,42,180,647,34.8%,6.7%,93.3%,56.3%,64.0%,29.3%,47.4%,17.5%,33.0%,2.3%,3.59,11,76.6%,23.4%
1445,1104574208,C. Ott,Colby Ott,Ott,Colby,1B,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,53,198,697,49.6%,22.0%,78.0%,64.7%,39.9%,38.2%,47.4%,32.5%,29.6%,10.9%,3.52,10,79.0%,21.0%
1446,1648612133,N. Noonan,Nevan Noonan,Noonan,Nevan,1B,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,59,266,981,41.8%,14.9%,85.1%,62.6%,49.0%,36.1%,47.4%,23.2%,35.1%,6.2%,3.69,9,76.8%,23.2%
1447,1100524800,C. Johnson,Camden Johnson,Johnson,Camden,3B,Wichita State University,WICH,730203904,Wichita State,BBC,L,R,56,273,978,44.5%,17.7%,82.3%,63.7%,45.5%,36.8%,47.4%,26.8%,34.6%,7.9%,3.58,10,79.7%,20.3%
1448,1297521920,M. Sprockett,Michael Sprockett,Sprockett,Michael,C,Belmont University,BEL,730190336,Belmont,BBC,L,R,53,216,748,54.5%,30.6%,69.4%,64.7%,34.3%,35.0%,47.4%,33.2%,21.8%,16.7%,3.46,8,78.7%,21.3%
1449,1248850176,B. DeLamielleure,Blake DeLamielleure,DeLamielleure,Blake,RF,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,56,247,914,44.3%,26.2%,73.8%,60.6%,41.7%,32.1%,47.5%,21.2%,27.7%,11.6%,3.70,8,73.2%,26.8%
1450,1631460682,C. Robson,Colin Robson,Robson,Colin,CF,Rice University,RICE,2352,Rice,BBC,L,R,43,151,535,43.4%,25.9%,74.1%,60.9%,42.2%,31.9%,47.5%,25.8%,31.0%,11.2%,3.54,7,76.5%,23.5%
1451,1310479104,J. Kendro,Jake Kendro,Kendro,Jake,SS,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,48,144,585,40.0%,29.9%,70.1%,60.3%,36.8%,33.3%,47.5%,19.6%,33.9%,12.0%,4.06,8,79.9%,20.1%
1452,1170236928,E. Brown,Eli Brown,Brown,Eli,LF,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,52,205,775,39.2%,31.3%,68.8%,58.9%,40.5%,28.3%,47.5%,17.0%,32.2%,12.3%,3.78,8,76.8%,23.2%
1453,1306879489,D. Ruiz,Damian Ruiz,Ruiz,Damian,RF,Lamar University,LAM,730162432,Lamar,BBC,R,R,56,274,1052,38.4%,17.3%,82.7%,55.6%,47.3%,35.4%,47.5%,15.3%,27.8%,6.7%,3.84,9,75.9%,24.1%
1454,1278153216,B. Wilmes,Ben Wilmes,Wilmes,Ben,LF,University of Iowa,IOWA,1232,Iowa,BBC,R,R,52,234,935,38.2%,19.0%,81.0%,60.7%,47.1%,33.9%,47.5%,19.8%,36.5%,7.3%,4.00,9,80.9%,19.1%
1454,1410969802,F. Forgione,Freddy Forgione,Forgione,Freddy,1B,Binghamton University,BING,730155776,Binghamton,BBC,R,R,55,242,939,39.3%,16.3%,83.7%,57.6%,46.3%,37.4%,47.5%,17.4%,30.2%,6.4%,3.88,10,74.5%,25.5%
1456,1576437199,W. Maginnis,William Maginnis,Maginnis,William,1B,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,56,257,935,35.7%,16.8%,83.2%,60.2%,51.2%,32.0%,47.5%,20.1%,38.0%,6.0%,3.64,9,80.3%,19.7%
1457,1099740416,T. Peterson,Tyler Peterson,Peterson,Tyler,SS,Seattle University,SEA,4504,Seattle,BBC,L,R,52,209,664,43.2%,15.3%,84.7%,59.8%,54.7%,30.0%,47.5%,18.9%,28.8%,6.6%,3.18,8,78.8%,21.2%
1458,1224643840,R. Seymour,Randy Seymour,Seymour,Randy,SS,Michigan State University,MSU,1551,Michigan State,BBC,R,R,55,230,787,53.2%,22.7%,77.3%,67.7%,41.1%,36.3%,47.5%,35.1%,31.0%,12.1%,3.42,12,77.2%,22.8%
1459,1080345344,K. Holm,Kai Holm,Holm,Kai,SS,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,51,227,848,41.9%,18.9%,81.1%,61.7%,46.8%,34.4%,47.5%,24.5%,34.1%,7.9%,3.74,9,77.7%,22.3%
1460,1616456315,O. Wilson,Owen Wilson,Wilson,Owen,SS,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,45,186,721,44.8%,28.5%,71.5%,64.2%,37.5%,34.1%,47.5%,28.4%,35.2%,12.8%,3.88,11,79.2%,20.8%
1461,1274236416,C. Caufield,Casey Caufield,Caufield,Casey,2B,Monmouth University,MONM,4164,Monmouth,BBC,L,R,47,224,829,33.5%,7.6%,92.4%,57.9%,60.1%,32.4%,47.5%,14.0%,36.4%,2.5%,3.70,10,80.3%,19.7%
1462,1296155904,L. Moore,Lucas Moore,Moore,Lucas,CF,University of Louisville,LOU,5467,Louisville,BBC,L,R,66,318,1145,41.9%,12.1%,87.9%,59.2%,51.0%,36.9%,47.5%,19.0%,29.7%,5.1%,3.60,10,82.1%,17.9%
1463,1090286592,J. Doyle,Jack Doyle,Doyle,Jack,3B,Northeastern University,NE,343,Northeastern,BBC,R,R,47,190,729,39.6%,22.1%,77.9%,58.2%,45.0%,32.9%,47.5%,16.7%,30.8%,8.8%,3.84,13,76.5%,23.5%
1464,1156909312,N. Cadena,Nathan Cadena,Cadena,Nathan,1B,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,53,235,892,44.6%,26.4%,73.6%,63.2%,34.4%,39.2%,47.5%,24.0%,33.6%,11.8%,3.80,9,76.1%,23.9%
1465,1830600232,B. Linker,Brody Linker,Linker,Brody,SS,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,47,169,647,47.3%,25.5%,74.5%,64.9%,37.9%,36.6%,47.5%,27.5%,33.4%,12.1%,3.83,9,79.2%,20.8%
1466,1255400842,K. O'Connor,Keegan O'Connor,O'Connor,Keegan,LF,Kansas State University,KSU,730270464,Kansas State,BBC,R,R,54,226,778,55.9%,21.4%,78.6%,67.8%,38.6%,40.0%,47.5%,35.0%,26.3%,12.0%,3.44,10,79.7%,20.3%
1467,1110710272,O. Petrich,Owen Petrich,Petrich,Owen,3B,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,52,243,882,43.7%,16.6%,83.4%,59.7%,48.8%,34.5%,47.5%,23.6%,28.0%,7.3%,3.63,10,75.1%,24.9%
1468,1123968000,K. Schupmann,Kyle Schupmann,Schupmann,Kyle,3B,University of Illinois,ILL,730163456,Illinois,BBC,R,R,52,234,908,41.3%,20.3%,79.7%,59.7%,39.7%,40.0%,47.5%,18.9%,31.3%,8.4%,3.88,10,76.2%,23.8%
1469,1293479424,T. Thompson-Allen,Terrick Thompson-Allen,Thompson-Allen,Terrick,CF,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,54,218,774,47.7%,23.8%,76.2%,61.5%,42.0%,34.1%,47.6%,25.9%,26.4%,11.4%,3.55,8,75.8%,24.2%
1470,1186793728,A. Perez,Aaron Perez,Perez,Aaron,1B,Utah Tech University,UTU,730318592,Utah Tech,BBC,L,L,53,218,822,49.5%,28.0%,72.0%,64.2%,35.4%,36.6%,47.6%,27.5%,29.2%,13.9%,3.77,9,79.0%,21.0%
1471,1972853646,D. Cook,Danny Cook,Cook,Danny,2B,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,41,145,561,50.1%,23.8%,76.2%,66.4%,38.4%,37.7%,47.6%,31.0%,32.6%,11.9%,3.87,9,81.2%,18.8%
1472,1153413120,K. Eddington,Kyle Eddington,Eddington,Kyle,SS,UMBC,UMBC,730210304,UMBC,BBC,R,R,45,157,518,41.7%,24.5%,75.5%,61.3%,45.8%,29.6%,47.6%,24.9%,33.1%,10.2%,3.30,7,78.3%,21.7%
1473,1139998464,P. Call,Phoenix Call,Call,Phoenix,2B,UCLA,UCLA,5048,UCLA,BBC,R,R,60,241,850,45.3%,17.9%,82.1%,64.0%,44.9%,37.1%,47.6%,28.3%,34.2%,8.1%,3.53,9,78.3%,21.7%
1474,1259726848,J. Nunez,Julian Nunez,Nunez,Julian,3B,Pepperdine University,PEPP,730338304,Pepperdine,BBC,R,R,53,224,817,40.3%,14.6%,85.4%,60.7%,49.5%,35.9%,47.6%,18.0%,34.2%,5.9%,3.65,9,79.4%,20.6%
