Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,Inn,FieldOpp,Chances,PO,A,E,ThrowE,FieldE,DropE,FLD%,DP
1,1177004288,T. Motley,Tobias Motley,Motley,Tobias,CF,Rice University,RICE,2352,Rice,BBC,R,R,39,270.0,98,42,40,2,0,0,0,0,1.000,1
1,1218024704,J. Collins,Jack Collins,Collins,Jack,C,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,534.1,20,493,440,53,0,0,0,0,1.000,2
1,1196782080,C. Mercado,Cohl Mercado,Mercado,Cohl,RF,Penn State University,PSU,5326,Penn State,BBC,L,L,44,334.0,125,74,73,1,0,0,0,0,1.000,1
1,1133589199,E. Hammill,Elijha Hammill,Hammill,Elijha,CF,Niagara University,NIAG,730156544,Niagara,BBC,S,R,39,321.1,158,107,103,4,0,0,0,0,1.000,1
1,1360727352,J. Williams,Josh Williams,Williams,Josh,RF,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,R,49,403.1,155,96,92,4,0,0,0,0,1.000,1
1,1196830464,N. Brini,Niko Brini,Brini,Niko,LF,Wofford College,WOF,730176512,Wofford,BBC,L,L,45,364.1,173,79,75,4,0,0,0,0,1.000,1
1,1310307840,M. Elko,Michael Elko,Elko,Michael,2B,University of Richmond,RICH,730171904,Richmond,BBC,L,R,44,354.0,83,171,99,72,0,0,0,0,1.000,29
1,1734825606,C. Watterson,Cole Watterson,Watterson,Cole,CF,Washington State University,WSU,4505,Washington State,BBC,R,R,37,199.1,76,46,45,1,0,0,0,0,1.000,0
1,1471652542,J. Daly,Jamie Daly,Daly,Jamie,CF,Davidson College,DAV,730363136,Davidson,BBC,L,R,50,366.2,177,107,105,2,0,0,0,0,1.000,0
1,1166030864,D. Ford,Donovan Ford,Ford,Donovan,CF,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,43,370.2,167,120,115,5,0,0,0,0,1.000,0
1,1758840332,J. Natili,Jack Natili,Natili,Jack,C,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,51,405.0,8,420,382,38,0,0,0,0,1.000,5
1,1486962578,S. Meth,Sean Meth,Meth,Sean,1B,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,49,414.1,66,404,396,8,0,0,0,0,1.000,35
